observation	delta	shape	constant_bytes	ip_reads	frame_writes	table_reads	calls	rets	events	entries	top_entries	target_entropy	top_targets	top_sites	top_deltas
exact	+0x5	CCCCC	b0=0x7d,b1=0x1a,b2=0x3d,b3=0x01,b4=0x00	+0x4/1,+0x2/2,+0x0/2	0x170,0x71,0x23,0x60,0x0,0xa	dyn/8	0	0	1	1	358@0xc2d37:1	0.000	144@0x95887:1	tail@0xc3403:1	+0x5:1
exact	+0x5	CCCCC	b0=0xf1,b1=0x1b,b2=0xbd,b3=0x3d,b4=0x01	+0x3/2,+0x2/1,+0x0/2	0x170,0x71,0x0,0x60,0xa	dyn/8	0	0	1	1	54@0x837cb:1	0.000	256@0xad849:1	tail@0x83b3d:1	+0x5:1
exact	+0x5	CCCCC	b0=0xff,b1=0xfe,b2=0x3d,b3=0x01,b4=0x00	+0x4/1,+0x2/2,+0x0/2	0x170,0x71,0x0,0x60,0xa	dyn/8	0	0	1	1	188@0x9e336:1	0.000	173@0x9ba74:1	tail@0x9e7ac:1	+0x5:1
exact	+0xa	CCCCCCCCCC	b0=0x2c,b1=0x74,b2=0xfa,b3=0x95,b4=0xff,b5=0xff,b6=0xff,b7=0xff,b8=0x6a,b9=0xbb	+0x0/4,+0x0/8,+0x8/2	0x23,0x170,0x60,0xa	dyn/8	0	0	1	1	314@0xb8fcf:1	0.000	189@0x9e7af:1	tail@0xb944f:1	+0xa:1
exact	+0xa	CCCCCCCCCC	b0=0xc9,b1=0xc7,b2=0xf0,b3=0xc6,b4=0x36,b5=0x38,b6=0x0f,b7=0x39,b8=0x98,b9=0x02	+0x0/4,+0x0/8,+0x8/2	0x170,0x23,0x60,0xa	dyn/8	0	0	1	1	142@0x953b1:1	0.000	83@0x8947b:1	tail@0x957d6:1	+0xa:1
exact	+0xa	CCCCCCCCCC	b0=0xd9,b1=0x69,b2=0xff,b3=0xff,b4=0xff,b5=0xff,b6=0xff,b7=0xff,b8=0xff,b9=0xff	+0x2/4,+0x2/8,+0x0/2	0x170,0x23,0x60,0xa	dyn/8	0	0	1	1	276@0xb1b2d:1	0.000	157@0x98a9a:1	tail@0xb1fd3:1	+0xa:1
exact	+0xa	CCCCCCCCCC	b0=0xe0,b1=0x00,b2=0xff,b3=0xff,b4=0x13,b5=0x05,b6=0x00,b7=0x00,b8=0xec,b9=0xfa	+0x2/4,+0x2/8,+0x0/2	0x23,0x170,0x60,0xa	dyn/8	0	0	1	1	259@0xae332:1	0.000	28@0x7e390:1	tail@0xae909:1	+0xa:1
exact	+0xd	CCCCCCCCCCCCC	b0=0x1e,b1=0x1e,b2=0x02,b3=0x00,b4=0x80,b5=0x00,b6=0x3d,b7=0x01,b8=0x22,b9=0xe8,b10=0x01,b11=0x00	+0x6/2,+0x8/1,+0x0/4,+0x4/2,+0x9/2,+0xb/2	0x12,0x1dc,0xa	dyn/8	0	1	1	1	85@0x89b37:1	0.000	64@0x85059:1	tail@0x8a37d:1	+0xd:1
exact	+0xd	CCCCCCCCCCCCC	b0=0x1e,b1=0x1e,b2=0x02,b3=0x00,b4=0x80,b5=0x00,b6=0x3d,b7=0x01,b8=0x22,b9=0xe8,b10=0x01,b11=0x54	+0x6/2,+0x8/1,+0x0/4,+0x4/2,+0x9/2,+0xb/2	0x12,0x1dc,0x170,0xa	dyn/8	0	1	1	1	101@0x8ceb4:1	0.000	199@0xa0631:1	tail@0x8d71b:1	+0xd:1
exact	+0xd	CCCCCCCCCCCCC	b0=0x1e,b1=0x1e,b2=0x02,b3=0x00,b4=0x80,b5=0x00,b6=0x3d,b7=0x01,b8=0x9a,b9=0xe8,b10=0x01,b11=0xc4	+0x6/2,+0x8/1,+0x0/4,+0x4/2,+0x9/2,+0xb/2	0x12,0x1dc,0x170,0xa	dyn/8	0	1	1	1	284@0xb379b:1	0.000	239@0xa991e:1	tail@0xb3ff1:1	+0xd:1
exact	+0xd	CCCCCCCCCCCCC	b0=0xd5,b1=0xa3,b2=0xe8,b3=0xf5,b4=0xb1,b5=0x34,b6=0x21,b7=0xdf,b8=0xd2,b9=0x33,b10=0x00,b11=0x80	+0x7/4,+0x0/1,+0x1/1,+0x3/4,+0x2/1,+0xb/2,+0x4/1,+0x2/2,+0x0/2	0x170,0x71,0x1dc,0x60,0x23,0x0,0xa	dyn/8	0	1	1	1	78@0x883c0:20	0.000	310@0xb8556:1	dispatch@0xc80b9:1	+0xd:1
