rank	kind	key	priority	events	unique_start_ips	unique_end_ips	sources	targets	deltas	statuses	sites	nearest_recovered	sample_starts	sample_ends	detail
48	uncovered_exact_destination	0x36bb16	1000	10	1	1	160:10	308:10	+0x2:10	exact:10	tail@0x99757:10	prev=396@0x36b8a7-0x36bb16+0x0;next=397@0x36bb1e-0x36bee0-0x8	0x36bb14	0x36bb16	exact positive instruction exits recovered bytecode coverage
49	uncovered_exact_destination	0x33e829	900	9	1	1	245:9	75:9	+0x5:9	exact:9	tail@0xab424:9	prev=315@0x33e718-0x33e829+0x0;next=316@0x33e889-0x33e8d6-0x60	0x33e824	0x33e829	exact positive instruction exits recovered bytecode coverage
50	uncovered_exact_destination	0x33e8d6	900	9	1	1	144:9	117:9	+0x2:9	exact:9	tail@0x95b59:9	prev=316@0x33e889-0x33e8d6+0x0;next=317@0x33e8de-0x33e9e2-0x8	0x33e8d4	0x33e8d6	exact positive instruction exits recovered bytecode coverage
51	uncovered_exact_destination	0x367e8e	900	9	1	1	108:9	302:9	+0x2:9	exact:9	tail@0x8f6cf:9	prev=371@0x367c1f-0x367e8e+0x0;next=372@0x367e96-0x368052-0x8	0x367e8c	0x367e8e	exact positive instruction exits recovered bytecode coverage
52	uncovered_source_start	0x370768	750	25	1	1	302:25	171:25	+0x22:25	prefix_32_of_34:25	tail@0xb7699:25	prev=429@0x370756-0x370768+0x0;next=430@0x370770-0x3707a0-0x8	0x370768	0x37078a	instruction source VM IP is not in an exact recovered segment
53	uncovered_source_start	0x371477	750	25	1	1	334:25	354:25	+0x2a5:25	prefix_32_of_677:25	tail@0xbe55b:25	prev=435@0x370f18-0x371477+0x0;next=436@0x371488-0x37158e-0x11	0x371477	0x37171c	instruction source VM IP is not in an exact recovered segment
54	uncovered_source_start	0x37174c	750	25	1	1	246:25	165:25	+0x78:25	prefix_32_of_120:25	tail@0xabc56:25	prev=438@0x37171c-0x37174c+0x0;next=439@0x3717c4-0x3718ff-0x78	0x37174c	0x3717c4	instruction source VM IP is not in an exact recovered segment
55	uncovered_source_start	0x371a43	750	25	1	1	308:25	171:25	-0x17ed:25	backedge_sample:25	tail@0xb84a4:25	prev=441@0x371a30-0x371a43+0x0;next=442@0x371a63-0x371b85-0x20	0x371a43	0x370256	instruction source VM IP is not in an exact recovered segment
56	uncovered_exact_destination	0x31b343	700	7	1	1	257:7	308:7	+0x2:7	exact:7	tail@0xadf29:7	prev=224@0x31b331-0x31b343+0x0;next=225@0x31b34b-0x31b82c-0x8	0x31b341	0x31b343	exact positive instruction exits recovered bytecode coverage
57	uncovered_exact_destination	0x31c02d	700	7	1	1	108:7	266:7	+0x2:7	exact:7	tail@0x8f6cf:7	prev=230@0x31c01b-0x31c02d+0x0;next=231@0x31c035-0x31c33a-0x8	0x31c02b	0x31c02d	exact positive instruction exits recovered bytecode coverage
58	uncovered_source_start	0x36ef3e	660	22	1	1	302:22	165:22	-0x40:22	backedge_sample:22	tail@0xb7699:22	prev=416@0x36ef2c-0x36ef3e+0x0;next=417@0x36ef46-0x36f427-0x8	0x36ef3e	0x36eefe	instruction source VM IP is not in an exact recovered segment
59	hidden_transition_destination	0x3703d8	650	26	1	1	161:26	311:26	+0x4:26	exact:26	tail@0x99b3a:26	prev=425@0x370256-0x3703d8+0x0;next=426@0x3703e6-0x3704f7-0xe	0x3703d4	0x3703d8	exact positive instruction enters adjacent hidden span; hidden=311->165:+0xe:events=39:obs=exact:39
