block	start	end	size	events	unique_start_ips	unique_sources	top_sources	top_targets	top_deltas	byte_statuses
12	0x120b02	0x121924	0xe22	796	796	96	114:33,189:31,215:30,347:30,18:30,64:27,258:26,66:26	114:33,189:31,215:30,347:30,18:30,64:27,258:26,66:26	+0x4:491,+0x3:198,+0x5:43,+0x2:36,+0x6:22,+0xe:4,+0x238:1,+0x11:1	exact:790,hidden_span_of_14:4,file_span_of_568:1,hidden_span_of_17:1
13	0x121932	0x121c83	0x351	183	183	65	114:9,337:8,18:8,307:7,28:7,189:7,258:7,66:7	114:9,337:8,18:8,307:7,28:7,189:7,258:7,66:7	+0x4:107,+0x3:43,+0x2:12,+0x5:12,+0x6:7,+0x2f:1,+0x77:1	exact:181,file_span_of_47:1,file_span_of_119:1
14	0x121c91	0x121ec6	0x235	150	150	54	340:11,189:10,307:9,28:7,297:7,18:6,305:5,258:5	340:11,189:10,307:9,28:7,297:7,18:6,305:5,258:5	+0x4:95,+0x3:38,+0x5:7,+0x2:6,+0x6:4	exact:150
15	0x121ed4	0x122196	0x2c2	157	157	56	18:9,340:7,189:7,337:6,185:6,347:6,43:6,64:6	18:9,340:7,189:7,337:6,185:6,347:6,43:6,64:6	+0x4:98,+0x3:39,+0x5:8,+0x2:7,+0x6:4,+0x77:1	exact:156,file_span_of_119:1
16	0x1221a4	0x122466	0x2c2	157	157	59	114:9,258:8,347:7,66:7,157:6,307:6,18:6,297:5	114:9,258:8,347:7,66:7,157:6,307:6,18:6,297:5	+0x4:98,+0x3:39,+0x5:8,+0x2:7,+0x6:4,+0x77:1	exact:156,file_span_of_119:1
17	0x122474	0x122c7b	0x807	294	294	83	258:17,28:12,18:11,333:11,340:11,185:10,64:7,189:7	258:17,28:12,18:11,333:11,340:11,185:10,64:7,189:7	+0x4:150,+0x3:61,+0x5:37,+0x2:29,+0x6:14,+0x11:1,+0x380:1,+0x20:1	exact:292,hidden_span_of_17:1,file_span_of_896:1
18	0x122c89	0x122e3c	0x1b3	116	116	40	114:8,28:7,189:6,64:6,18:5,340:5,307:5,176:5	114:8,28:7,189:6,64:6,18:5,340:5,307:5,176:5	+0x4:80,+0x3:32,+0x6:2,+0x2:1,+0x5:1	exact:116
19	0x128952	0x128b72	0x220	145	145	52	185:9,340:8,64:7,347:7,66:7,258:6,307:6,161:6	185:9,340:8,64:7,347:7,66:7,258:6,307:6,161:6	+0x4:95,+0x3:37,+0x2:5,+0x5:5,+0x6:3	exact:145
20	0x128b80	0x128de7	0x267	163	163	59	189:9,28:8,347:7,66:7,340:7,185:6,333:5,243:5	189:9,28:8,347:7,66:7,340:7,185:6,333:5,243:5	+0x4:101,+0x3:40,+0x5:9,+0x2:8,+0x6:5	exact:163
21	0x128df5	0x12906f	0x27a	169	169	60	307:9,18:8,340:8,114:7,215:7,64:6,347:6,199:5	307:9,18:8,340:8,114:7,215:7,64:6,347:6,199:5	+0x4:106,+0x3:41,+0x2:9,+0x5:9,+0x6:4	exact:169
