source_entry	source_target	site	instruction_events	register_trace_events	target_reg	target_events	target_pct	slot_reg	slot_events	slot_pct	byte_index_reg	byte_index_events	byte_index_pct	frame_reg	frame_events	frame_pct	top_targets	top_deltas	byte_statuses
281	0xb2db6	0xb3125	555	108	r12	108	100.0				rcx	108	100.0	rbp	108	100.0	269:257,253:153,322:11,292:9,3:8,105:7,307:7,30:7	+0x4:555	exact:555
278	0xb2342	0xcdac7	549	0													169:366,310:182,323:1	+0xa:548,+0x221770:1	exact:548,prefix_32_of_2234224:1
95	0x8c41c	0xcdac7	548	0													169:365,310:183	+0xa:548	exact:548
317	0xba1e2	0xba680	537	5	r15	5	100.0	rax	5	100.0	rsi	5	100.0	rbp	5	100.0	154:139,70:125,28:34,282:32,330:29,52:28,79:25,3:12	+0x4:537	exact:537
349	0xc140b	0xc1923	503	103	r13	103	100.0							rbp	103	100.0	17:264,105:31,332:26,282:25,28:17,200:15,122:12,3:9	+0x4:503	exact:503
122	0x9170d	0x91a57	498	6	rdx	6	100.0	rbx	6	100.0	r11	6	100.0	rbp	6	100.0	334:155,316:112,258:92,210:59,145:40,246:14,114:12,75:7	+0x5:498	exact:498
291	0xb4edd	0xb540d	479	9	rdx	9	100.0				r10	9	100.0	rbp	9	100.0	79:95,292:77,330:69,18:68,48:25,66:16,345:15,307:11	+0x4:479	exact:479
316	0xb987b	0xba0cc	447	102	rax	102	100.0							rbp	102	100.0	165:258,354:95,171:94	-0x3c4:255,+0x2d:182,+0x30:3,+0x288:2,+0x211:2,+0x58:1,+0x12c3:1,+0x4c3:1	backedge_sample:255,prefix_32_of_45:182,prefix_32_of_48:3,prefix_32_of_648:2,prefix_32_of_529:2,prefix_32_of_88:1,prefix_32_of_4803:1,prefix_32_of_1219:1
118	0x90c23	0x90eb9	398	102	r11	102	100.0	r15	102	100.0	r12	102	100.0	rbp	102	100.0	332:256,217:65,322:64,172:3,208:3,114:3,99:1,189:1	+0x3:398	exact:398
127	0x926c3	0x92998	384	256	r14	256	100.0	rsi	256	100.0	r12	256	100.0	rbp	256	100.0	108:256,144:64,257:64	+0x5:384	exact:384
311	0xb86f8	0xcdac7	368	0													169:184,310:183,42:1	+0xa:367,-0x34ced:1	exact:367,backedge_sample:1
201	0xa0dca	0xa13d3	341	102	r10	102	100.0	r15	102	100.0	rdi	102	100.0	r8	102	100.0	173:257,256:72,160:4,144:4,198:2,257:2	+0x5:341	exact:341
330	0xbc9b8	0xbcfc5	316	3	r15	3	100.0	rdi	3	100.0	r11	3	100.0	rbp	3	100.0	260:91,18:68,140:25,66:13,122:12,291:10,281:9,349:8	+0x5:316	exact:316
92	0x8b8cb	0x8bcec	307	2	r12	2	100.0	r9	2	100.0				rbp	2	100.0	282:67,49:31,17:29,3:26,332:26,18:16,154:14,131:10	+0x4:307	exact:307
48	0x82477	0x8281e	283	12	rdx	12	100.0				r12	12	100.0	rbp	12	100.0	239:31,317:30,269:26,66:25,281:18,18:11,92:11,297:11	+0x5:283	exact:283
