ref_index	program	first_seen_rank	site	text	section_name	role	role_confidence	role_evidence	behavior_tags	opcode_name	source_entry	row_start	semantic_ir
11	041	31	0x315809	zydis_decoder_tree_root	.dynstr	disassembly_metadata_symbol	high	Zydis decoder metadata/name string	crypto_hashing;cxx_runtime;disassembly_metadata	vmop_075_minus0x6d_sampled_backedge_slot_unknown	75	0x310dba	next = table[354], ip += 0x4f0e
12	042	17	0x31b31e	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	libgcc/libstdc++ transactional-memory support symbol	cxx_runtime	vmop_316_minus0x3c4_sampled_backedge_slot_unknown	316	0x31b31b	next = table[165], ip += 0x30
13	042	17	0x31b346	__freelocale	.dynstr	locale_runtime_symbol	medium	libc locale runtime symbol	cxx_runtime	vmop_316_minus0x3c4_sampled_backedge_slot_unknown	316	0x31b31b	next = table[165], ip += 0x30
14	042	17	0x31c008	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	libgcc/libstdc++ transactional-memory support symbol	cxx_runtime	vmop_075_minus0x6d_sampled_backedge_slot_unknown	75	0x31c005	next = table[165], ip += 0x30
15	042	17	0x31c030	__freelocale	.dynstr	locale_runtime_symbol	medium	libc locale runtime symbol	cxx_runtime	vmop_075_minus0x6d_sampled_backedge_slot_unknown	75	0x31c005	next = table[165], ip += 0x30
16	045	29	0x31edb4	pthread_cond_wait	.dynstr	threading_import_symbol	high	pthread synchronization import name	threading_sync	vmop_337_plus0x4_state_add_const_slot_multi_path	337	0x31edb3	next = 301@0xb708d:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
17	046	23	0x331948	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	libgcc/libstdc++ transactional-memory support symbol	cxx_runtime	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown	210	0x331945	next = table[171], ip += 0x30
18	046	23	0x331970	__freelocale	.dynstr	locale_runtime_symbol	medium	libc locale runtime symbol	cxx_runtime	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown	210	0x331945	next = table[171], ip += 0x30
19	048	19	0x334c7e	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	libgcc/libstdc++ transactional-memory support symbol	cxx_runtime	vmop_145_plus0x139_sampled_long_or_sparse_slot_unknown	145	0x334c7b	next = table[354], ip += 0x30
20	048	19	0x334ca6	__freelocale	.dynstr	locale_runtime_symbol	medium	libc locale runtime symbol	cxx_runtime	vmop_145_plus0x139_sampled_long_or_sparse_slot_unknown	145	0x334c7b	next = table[354], ip += 0x30
