source_entry	source_target	events	unique_start_ips	unique_signatures	top_deltas	dominant_delta	dominant_delta_pct	dominant_shape	dominant_word_shape	target_entropy	top_targets	top_sites	top_bytes
310	0xb8556	1614	63	63	+0x4:1614	+0x4	100.0	CCEE	CE	1.549	165@0x9a24c:666,354@0xc2241:566,171@0x9b4b3:382	tail@0xb86f5:1614	e801a500:666,e8016201:566,e801ab00:382
237	0xa8e1f	1537	236	236	+0x5:1537	+0x5	100.0	VVVCC	VV	2.621	352@0xc1ec4:472,108@0x8f24b:350,144@0x95887:218,160@0x994cf:173,256@0xad849:150,257@0xadbfd:77	tail@0xa94a3:1537	00666d3d01:256,00c9f63d01:125,0091bd3d01:91,0001fb3d01:91,0045053d01:91,41202c3d01:91
200	0xa0a9e	1511	294	294	+0x6:1511	+0x6	100.0	VVVVVV	VVV	4.535	297@0xb64d7:228,18@0x7be9b:138,199@0xa0631:111,185@0x9d964:108,333@0xbd8af:104,43@0x8173d:103	tail@0xa0dc7:1511	8c79222c9000:91,a48bc44a680a:91,a4340708c805:91,173067cd3806:91,81c1125f5801:91,d041105f8801:91
283	0xb3612	1438	126	126	+0x5:1438	+0x5	100.0	CCCVV	CV	3.844	333@0xbd8af:186,215@0xa4609:185,168@0x9aa83:184,258@0xadf2c:168,185@0x9d964:98,307@0xb8064:97	tail@0xb3799:1438	10e8011c65:186,10e8016c61:185,10e801f45f:184,10e801c462:168,10e8017c60:98,10e8014c64:97
181	0x9d13f	1407	84	84	+0x6:1407	+0x6	100.0	CCCCVV	CCV	3.536	215@0xa4609:256,189@0x9e7af:189,297@0xb64d7:120,337@0xbec0e:108,347@0xc088d:100,340@0xbf435:98	tail@0x9d24a:1407	3d01e801e00b:256,3d01e8017ae7:92,3d01e801a80b:91,3d01e801a4b4:91,3d01e801b4b3:91,3d01e801aeed:91
128	0x9299b	1158	115	115	+0x5:1158	+0x5	100.0	EVVVV	VV	3.239	268@0xb0007:282,215@0xa4609:268,64@0x85059:262,3@0x78c77:71,196@0x9fbcd:45,347@0xc088d:32	tail@0x92f1f:1158	6279c0b716:256,6269c1bba9:256,627904cf94:256,627b056920:64,3a69057794:26,3a7bc52196:25
52	0x833c7	1103	55	55	+0x5:1103	+0x5	100.0	VVVCC	VV	2.645	316@0xb987b:335,75@0x873fc:297,145@0x95b5c:156,196@0x9fbcd:91,64@0x85059:67,334@0xbdd18:63	tail@0x8371b:1103	82b0473d01:256,63f7ff3d01:256,a6be313d01:125,0aee1b3d01:91,e64b113d01:65,5ab9613d01:42
261	0xaeda2	1074	85	85	+0x6:1074	+0x6	100.0	CCVECC	CVC	3.073	114@0x90319:215,297@0xb64d7:189,347@0xc088d:184,18@0x7be9b:110,337@0xbec0e:101,215@0xa4609:95	tail@0xaeeff:1074	e80167663d01:215,e8011f6c3d01:189,e801af6d3d01:184,e80167633d01:110,e8015f6d3d01:101,e8018f693d01:95
295	0xb60e0	980	112	112	+0x5:980	+0x5	100.0	CCVVC	CV	3.217	258@0xadf2c:218,28@0x7e390:184,66@0x855ff:183,64@0x85059:100,43@0x8173d:97,157@0x98a9a:92	tail@0xb625a:980	e80102d410:218,e801d2cc10:184,e80102ce10:183,e801f2cd10:100,e8014acd10:97,e801dad010:92
40	0x8115d	928	93	93	+0x6:928	+0x6	100.0	CCCCVV	CCV	3.464	66@0x855ff:102,64@0x85059:102,340@0xbf435:100,215@0xa4609:99,297@0xb64d7:97,199@0xa0631:97	tail@0x8129b:928	e8013d014808:92,e8013d0163bc:91,e8013d01b09a:91,e8013d016c03:91,e8013d01ddf9:91,e8013d0145c3:91
119	0x90ebc	922	94	94	+0x6:922	+0x6	100.0	CCCCVV	CCV	3.117	28@0x7e390:190,64@0x85059:187,340@0xbf435:107,337@0xbec0e:99,297@0xb64d7:96,18@0x7be9b:96	tail@0x91067:922	e8013d01138f:91,e8013d015395:91,e8013d01ddea:91,e8013d01c23f:91,e8013d01adb7:91,e8013d01996c:91
208	0xa2361	802	87	87	+0x5:802	+0x5	100.0	EVVVV	VV	3.569	307@0xb8064:225,114@0x90319:91,79@0x885b0:75,49@0x82820:74,340@0xbf435:66,297@0xb64d7:66	tail@0xa2933:802	3aa7f1a516:126,3afc3aa558:91,3a48ca9de2:91,6258af2dd6:64,62e8671553:64,621f11950a:64
17	0x7bae9	758	73	73	+0x5:758	+0x5	100.0	VVEVV	VV	3.141	300@0xb6c36:256,122@0x9170d:150,28@0x7e390:132,18@0x7be9b:31,92@0x8b8cb:31,200@0xa0a9e:30	tail@0x7be98:758	12ff6210a0:256,157f3a809a:150,8efe3ad097:125,d2bc328097:25,6bda32b099:25,51fe3258a1:25
216	0xa4a61	742	22	22	+0xa:742	+0xa	100.0	VVECCCVVEC	VECVE	0.821	310@0xb8556:552,169@0x9af18:190	dispatch@0xcdac7:735,dispatch@0xc80b9:7	d37e31008000b0500200:91,a18631008000949d0200:91,4e8c3100800092330700:91,479331008000949d0200:91,d0943100800092330700:91,189631008000b6340700:91
356	0xc291a	741	17	17	+0xa:741	+0xa	100.0	VVECCCVVEC	VECVE	1.000	310@0xb8556:373,169@0x9af18:368	dispatch@0xcdac7:733,dispatch@0xc80b9:8	6f7431008000428d0300:92,a57531008000548d0300:91,5979310080001c600300:91,357c310080001c600300:91,727d310080001c600300:91,44843100800092330700:91
179	0x9ca8d	737	107	107	+0x5:737	+0x5	100.0	EVVVV	VV	3.704	99@0x8c99a:131,337@0xbec0e:117,268@0xb0007:106,43@0x8173d:103,18@0x7be9b:83,203@0xa1484:22	tail@0x9cf2f:737	32261064fe:125,3a9ebe0caa:91,3a8754bd4e:91,3a7635ac37:91,629e35442e:64,506e1562d4:10
99	0x8c99a	695	26	26	+0x5:695	+0x5	100.0	CVVCC	VV	1.636	198@0xa037e:387,108@0x8f24b:153,173@0x9ba74:132,160@0x994cf:8,256@0xad849:7,144@0x95887:5	tail@0x8cc7f:695	00097a3d01:256,00fae33d01:125,007d363d01:65,00df5e3d01:64,0075353d01:64,00d2e53d01:64
105	0x8e6b4	671	89	89	+0x5:671	+0x5	100.0	VVVVE	VV	3.316	350@0xc1926:256,28@0x7e390:129,291@0xb4edd:72,140@0x94e5a:33,92@0x8b8cb:32,349@0xc140b:13	tail@0x8eb77:671	28a6f00a62:256,6000e00032:125,c226180962:64,5419e00232:25,20fa600462:25,73cee00650:9
292	0xb540f	651	84	84	+0x5:651	+0x5	100.0	EVVVV	VV	3.413	185@0x9d964:259,350@0xc1926:64,307@0xb8064:64,317@0xba1e2:34,90@0x8b334:34,199@0xa0631:28	tail@0xb593d:651	62dc7bd0aa:256,62217e15a8:64,62550089d4:64,3a06002ad5:25,326700c3cf:25,62871993d7:25
146	0x96407	578	101	101	+0x5:578	+0x5	100.0	EVVVV	VV	3.606	258@0xadf2c:186,172@0x9b68a:98,70@0x8610e:64,28@0x7e390:30,199@0xa0631:25,79@0x885b0:21	tail@0x96915:578	3a0974a818:91,3a51e470ad:91,3a7e6e4792:91,6209ac10cf:64,3ae934004d:25,509c8bcb00:10
90	0x8b334	567	96	96	+0x4:567	+0x4	100.0	VVVV	VV	3.343	49@0x82820:257,260@0xae90b:64,140@0x94e5a:34,220@0xa522e:32,3@0x78c77:25,330@0xbc9b8:18	tail@0x8b6db:567	c7eceeaa:256,5ff3bd85:64,1ff226a5:25,57eb6c2f:25,9fef5c4a:25,8ff55a3d:12
95	0x8c41c	562	16	16	+0xa:562	+0xa	100.0	VVECCCVVEC	VECVE	0.919	169@0x9af18:374,310@0xb8556:188	dispatch@0xcdac7:548,dispatch@0xc80b9:14	a87a310080001c600300:91,9881310080008e500200:91,db8231008000588d0300:91,f1873100800092330700:91,da903100800092330700:91,099231008000b6340700:91
281	0xb2db6	555	73	73	+0x4:555	+0x4	100.0	VVVV	VV	2.840	269@0xb045b:257,253@0xacfb1:153,322@0xbb3c9:11,292@0xb540f:9,3@0x78c77:8,30@0x7e849:7	tail@0xb3125:555	8d0d687c:256,ed8b4800:150,a2004797:10,e1f258fb:6,4e61465f:6,9e82c313:5
278	0xb2342	553	13	13	+0xa:553	+0xa	100.0	VVECCCVVEC	VECVE	0.919	169@0x9af18:368,310@0xb8556:185	dispatch@0xcdac7:548,dispatch@0xc80b9:5	2677310080001c600300:91,2c78310080001c600300:91,d28d31008000b6340700:91,71983100800092330700:91,819931008000b6340700:91,e09e31008000469c0200:91
317	0xba1e2	537	85	85	+0x4:537	+0x4	100.0	VVVV	VV	3.672	154@0x97ce6:139,70@0x8610e:125,28@0x7e390:34,282@0xb3128:32,330@0xbc9b8:29,52@0x833c7:28	tail@0xba680:537	e7c808dc:136,47470899:125,b7262829:25,8f8d68ff:25,f78468fc:25,38352b23:25
349	0xc140b	503	99	99	+0x4:503	+0x4	100.0	VVVV	VV	3.151	17@0x7bae9:264,105@0x8e6b4:31,332@0xbd36d:26,282@0xb3128:25,28@0x7e390:17,200@0xa0a9e:15	tail@0xc1923:503	00ad8800:256,9c23600a:25,cc224803:25,7149d003:11,a9214006:9,b10f1800:6
122	0x9170d	498	41	41	+0x5:498	+0x5	100.0	VVCCV	VC	2.582	334@0xbdd18:155,316@0xb987b:112,258@0xadf2c:92,210@0xa2da3:59,145@0x95b5c:40,246@0xab427:14	tail@0x91a57:498	63713d01d7:150,ec6c3d01cd:91,dd9e3d0133:91,f3a73d0175:23,c2af3d0113:18,f27b3d0171:12
291	0xb4edd	479	89	89	+0x4:479	+0x4	100.0	VVVV	VV	3.770	79@0x885b0:95,292@0xb540f:77,330@0xbc9b8:69,18@0x7be9b:68,48@0x82477:25,66@0x855ff:16	tail@0xb540d:479	07c4238e:91,87333b18:64,478e3bcc:64,a60303e0:64,6be51809:25,3ee594b4:10
118	0x90c23	398	12	12	+0x3:398	+0x3	100.0	CVV	V	1.507	332@0xbd36d:256,217@0xa4b11:65,322@0xbb3c9:64,172@0x9b68a:3,114@0x90319:3,208@0xa2361:3	tail@0x90eb9:398	62a62b:256,625890:64,62a852:64,625947:3,620cea:3,62753d:2
127	0x926c3	384	3	3	+0x5:384	+0x5	100.0	EEECC	EE	1.252	108@0x8f24b:256,144@0x95887:64,257@0xadbfd:64	tail@0x92998:384	df22c93d01:256,7bc7793d01:64,99a12b3d01:64
311	0xb86f8	382	13	13	+0xa:382	+0xa	100.0	VVECCCVVEC	VECVE	1.000	169@0x9af18:192,310@0xb8556:190	dispatch@0xcdac7:367,dispatch@0xc80b9:15	21803100800023e74800:91,399731008000949d0200:91,e19a31008000949d0200:91,759d31008000ba340700:91,dff82600800000fd0100:4,e3fc2600800000fd0100:4
201	0xa0dca	341	11	11	+0x5:341	+0x5	100.0	CCEEV	CE	1.019	173@0x9ba74:257,256@0xad849:72,144@0x95887:4,160@0x994cf:4,198@0xa037e:2,257@0xadbfd:2	tail@0xa13d3:341	3d01a1c5e1:256,3d0139c86b:64,3d0139c809:5,3d01b9c4fb:4,3d0139c523:4,3d0139c811:2
330	0xbc9b8	316	89	89	+0x5:316	+0x5	100.0	VVEVV	VV	3.732	260@0xae90b:91,18@0x7be9b:68,140@0x94e5a:25,66@0x855ff:13,122@0x9170d:12,291@0xb4edd:10	tail@0xbcfc5:316	20083a0777:91,9000628777:64,6004321f5f:25,d0033a377e:12,100250ae77:10,c80850be5f:4
92	0x8b8cb	307	81	81	+0x4:307	+0x4	100.0	VVVV	VV	4.109	282@0xb3128:67,49@0x82820:31,17@0x7bae9:29,332@0xbd36d:26,3@0x78c77:26,18@0x7be9b:16	tail@0x8bcec:307	a434c56f:64,4c379917:25,742d09e4:25,6c2e44a5:25,fc2c3829:25,ac31fd87:10
264	0xaf4cf	291	15	15	+0xa:291	+0xa	100.0	VVECCCVVEC	VECVE	0.928	169@0x9af18:191,310@0xb8556:100	dispatch@0xcdac7:280,dispatch@0xc80b9:11	658931008000b6340700:91,fa8a31008000949d0200:91,1b9c3100800078340700:91,84f72600800000fd0100:4,46fe2600800000fd0100:4,2b6e3100800023e74800:1
48	0x82477	283	93	93	+0x5:283	+0x5	100.0	VVEVV	VV	4.571	239@0xa991e:31,317@0xba1e2:30,269@0xb045b:26,66@0x855ff:25,281@0xb2db6:18,297@0xb64d7:11	tail@0x8281e:283	24803a0140:25,a8e5326808:25,34ff62f913:25,d0fd62a93b:25,848050759b:10,c0c13a6ef4:10
282	0xb3128	269	95	95	+0x5:269	+0x5	100.0	VVVVE	VV	4.309	280@0xb2661:64,220@0xa522e:27,90@0x8b334:21,199@0xa0631:13,140@0x94e5a:12,66@0x855ff:12	tail@0xb360f:269	2d22055762:64,d5f8e0a23a:25,9e3b570550:11,3028cc4f3a:11,6f8dc21250:10,a700430a3a:6
107	0x8eef4	256	1	1	+0x5:256	+0x5	100.0	CCCCC	CC	0.000	160@0x994cf:256	tail@0x8f248:256	9ed4a93d01:256
222	0xa5f3c	254	80	80	+0x5:254	+0x5	100.0	VVVVE	VV	4.180	220@0xa522e:67,301@0xb708d:20,268@0xb0007:14,49@0x82820:13,28@0x7e390:12,43@0x8173d:11	tail@0xa646d:254	10f8d94e62:64,a87569ce50:10,5bcbfcfc50:10,f3c392ba3a:10,066bc8be3a:9,52f0310a3a:9
190	0x9eacb	224	10	10	+0x5:224	+0x5	100.0	CCVVV	CV	1.077	352@0xc1ec4:134,257@0xadbfd:86,144@0x95887:4	tail@0x9ede7:224	3d0100f701:125,3d01dd0de3:64,3d01471c57:10,3d017f3e5c:6,3d014587ca:4,3d0193e634:4
217	0xa4b11	215	19	19	+0x5:215	+0x5	100.0	CVVCC	VV	1.928	198@0xa037e:70,352@0xc1ec4:66,144@0x95887:66,108@0x8f24b:7,173@0x9ba74:3,160@0x994cf:1	tail@0xa4df4:215	000cc23d01:64,0000133d01:64,00ed873d01:64,00d6913d01:3,00cc553d01:3,00e30f3d01:2
242	0xaa87d	181	17	17	+0x5:181	+0x5	100.0	CCVVV	CV	1.939	75@0x873fc:92,246@0xab427:38,145@0x95b5c:33,199@0xa0631:9,334@0xbdd18:4,210@0xa2da3:2	tail@0xaab67:181	3d01b3ef3b:92,3d0125a620:26,3d01595345:25,3d018915f3:12,3d0167412a:9,3d01695848:4
331	0xbcfc8	157	7	7	+0x3:157	+0x3	100.0	EEE	E	0.979	340@0xbf435:125,196@0x9fbcd:25,99@0x8c99a:3,222@0xa5f3c:1,168@0x9aa83:1,333@0xbd8af:1	tail@0xbd36a:157	686b32:125,f0b932:25,e8e762:3,40ef62:1,08e562:1,30de62:1
88	0x8aa14	149	11	11	+0x5:149	+0x5	100.0	VVVCC	VV	1.623	352@0xc1ec4:65,257@0xadbfd:64,173@0x9ba74:11,256@0xad849:6,108@0x8f24b:3	tail@0x8b026:149	41eba63d01:64,8709003d01:64,9d472c3d01:4,bdccec3d01:4,d7a06a3d01:3,1ddcf43d01:3
148	0x96b6e	144	18	18	+0x5:144	+0x5	100.0	CCVVV	CV	1.988	160@0x994cf:74,144@0x95887:25,352@0xc1ec4:23,173@0x9ba74:12,257@0xadbfd:6,108@0x8f24b:4	tail@0x96eb1:144	3d01ad7956:64,3d01d37d21:10,3d01297d98:10,3d01f7fd57:9,3d019f1156:5,3d011712af:5
82	0x8920e	142	11	11	+0x3:142	+0x3	100.0	VVC	V	1.446	99@0x8c99a:67,333@0xbd8af:65,217@0xa4b11:4,307@0xb8064:2,168@0x9aa83:2,157@0x98a9a:1	tail@0x89478:142	3eb162:64,20b962:64,de4662:3,8b4662:2,428762:2,d95562:2
129	0x92f21	139	10	10	+0x3:139	+0x3	100.0	VVE	V	1.531	215@0xa4609:64,99@0x8c99a:64,66@0x855ff:3,199@0xa0631:2,217@0xa4b11:2,172@0x9b68a:1	tail@0x931d0:139	f00662:64,2c6362:64,340262:3,5c0e62:2,750532:1,783132:1
125	0x922c4	129	26	26	+0x5:129	+0x5	100.0	VVVCC	VV	1.581	316@0xb987b:96,334@0xbdd18:9,246@0xab427:6,18@0x7be9b:4,114@0x90319:3,210@0xa2da3:3	tail@0x92612:129	2b60213d01:91,47ec853d01:4,9a65033d01:4,be525d3d01:3,d008193d01:3,a8152f3d01:3
62	0x84aa3	120	16	16	+0x4:120	+0x4	100.0	VVVV	VV	1.365	157@0x98a9a:93,307@0xb8064:13,347@0xc088d:3,200@0xa0a9e:2,253@0xacfb1:2,337@0xbec0e:1	tail@0x84e1b:120	f9c9a352:91,d9a77d60:12,9baa6a73:3,f8518dfe:2,a1db1f85:1,ce09f1ca:1
280	0xb2661	108	12	12	+0x5:108	+0x5	100.0	EEVCC	EV	1.843	257@0xadbfd:66,160@0x994cf:12,108@0x8f24b:10,198@0xa037e:8,173@0x9ba74:7,256@0xad849:5	tail@0xb2db4:108	3748c53d01:64,8f43353d01:10,2f457d3d01:6,5f46433d01:5,2f48e13d01:5,2f45c53d01:4
321	0xbb1dd	97	3	3	+0xd:97	+0xd	100.0	EEEEEEEEEECCC	EEEEEC	0.199	169@0x9af18:94,310@0xb8556:3	dispatch@0xcdac7:97	44f22580597854786631008000:91,4ef42eb2cc110d725534008000:3,00d688e7540b46e45634008000:3
94	0x8bd69	91	8	8	+0x5:91	+0x5	100.0	EEECC	EE	0.877	173@0x9ba74:74,144@0x95887:13,160@0x994cf:3,198@0xa037e:1	tail@0x8c41a:91	8ba6eb3d01:64,193ea23d01:10,57a62b3d01:4,a13d323d01:3,01be323d01:3,d9c6eb3d01:3
0	0x78561	89	5	5	+0x5:89	+0x5	100.0	EECCE	EC	1.688	352@0xc1ec4:41,144@0x95887:31,257@0xadbfd:10,108@0x8f24b:7	tail@0x78833:89	8dc23d0135:41,4a343d01a3:17,be063d01e5:14,ef7f3d010f:10,1af63d01b5:7
245	0xab141	75	18	18	+0x5:75	+0x5	100.0	VVCCV	VC	1.939	316@0xb987b:28,145@0x95b5c:28,75@0x873fc:12,210@0xa2da3:3,334@0xbdd18:3,43@0x8173d:1	tail@0xab424:75	cb133d0117:26,968d3d01df:25,a7503d01df:9,24313d012d:1,ef483d01b7:1,63c63d0141:1
250	0xac802	75	6	6	+0x3:75	+0x3	100.0	CEE	E	0.344	43@0x8173d:71,196@0x9fbcd:3,157@0x98a9a:1	tail@0xacbc3:75	62d8c4:64,629e09:4,629977:3,62f901:2,621252:1,622814:1
326	0xbc06d	70	3	3	+0x5:70	+0x5	100.0	EEECC	EE	0.692	108@0x8f24b:57,352@0xc1ec4:13	tail@0xbc31d:70	31deed3d01:39,55deed3d01:18,ddbee53d01:13
131	0x937d0	66	18	18	+0x5:66	+0x5	100.0	VVVCC	VV	2.114	144@0x95887:31,173@0x9ba74:15,108@0x8f24b:10,160@0x994cf:4,352@0xc1ec4:2,198@0xa037e:2	tail@0x93f76:66	c50f583d01:10,4b97803d01:10,e99f093d01:9,5b05443d01:6,b56d623d01:5,dd97bc3d01:4
102	0x8d71d	64	1	1	+0xd:64	+0xd	100.0	CCCCCCCCCCCCC	CCCCCC	0.000	268@0xb0007:64	tail@0x8df99:64	474e040080003d0189e801b994:64
186	0x9dcae	50	13	13	+0x5:50	+0x5	100.0	VCCVV	VV	2.161	257@0xadbfd:25,144@0x95887:9,173@0x9ba74:6,160@0x994cf:4,198@0xa037e:2,256@0xad849:2	tail@0x9e07a:50	553d01b87e:10,9b3d013873:6,e33d0182e3:5,413d01c910:5,c73d0160e5:4,c93d01f57d:4
151	0x97311	45	12	12	+0x5:45	+0x5	100.0	CCVVV	CV	2.155	198@0xa037e:16,173@0x9ba74:12,352@0xc1ec4:7,160@0x994cf:6,144@0x95887:4	tail@0x97689:45	3d01a707c3:6,3d01710f37:5,3d01efb1b9:5,3d0159640b:4,3d014ddd14:4,3d01a910c7:4
336	0xbe8cd	44	14	14	+0x5:44	+0x5	100.0	CCEEV	CE	2.499	256@0xad849:12,108@0x8f24b:8,173@0x9ba74:8,352@0xc1ec4:7,144@0x95887:5,198@0xa037e:4	tail@0xbec0b:44	3d01e80133:4,3d01d80f87:4,3d01880adf:4,3d01e801c1:4,3d01e80137:4,3d01e802ab:4
251	0xacbc5	39	2	2	+0x5:39	+0x5	100.0	CCEEE	CE	0.988	108@0x8f24b:22,198@0xa037e:17	tail@0xacefb:39	3d01833906:22,3d011fefa5:17
348	0xc0d7d	37	16	16	+0x5:37	+0x5	100.0	VVCCV	VC	2.631	352@0xc1ec4:12,257@0xadbfd:7,173@0x9ba74:5,160@0x994cf:5,198@0xa037e:3,108@0x8f24b:3	tail@0xc1409:37	d57c3d0113:6,cf7f3d01d3:5,2d713d0153:4,c57d3d013b:4,17703d016b:3,d7f83d0187:2
74	0x86d43	33	13	13	+0x5:33	+0x5	100.0	VVCCV	VC	2.418	108@0x8f24b:9,160@0x994cf:9,352@0xc1ec4:5,198@0xa037e:4,173@0x9ba74:4,144@0x95887:2	tail@0x873fa:33	4c2c3d017f:5,74a33d0103:5,55a63d0123:4,6af53d01f1:4,3c853d01f7:4,88c93d0113:3
56	0x83e76	27	4	4	+0x5:27	+0x5	100.0	EECCE	EC	1.447	160@0x994cf:13,173@0x9ba74:10,108@0x8f24b:4	tail@0x841f6:27	8d763d014b:11,02f03d011b:10,34753d01b7:4,42663d0127:2
290	0xb4c00	27	3	3	+0x5:27	+0x5	100.0	CCEEE	CE	0.951	257@0xadbfd:17,108@0x8f24b:10	tail@0xb4eda:27	3d015f3cd5:10,3d017794bb:10,3d01467c8f:7
65	0x85371	23	16	16	+0x4:23	+0x4	100.0	VVVV	VV	3.567	253@0xacfb1:4,18@0x7be9b:4,199@0xa0631:2,43@0x8173d:2,337@0xbec0e:2,347@0xc088d:1	tail@0x855fc:23	05575dff:4,f338139b:3,d5d8fd77:2,f4c5e11a:2,ad55fdcc:1,74dcc501:1
248	0xac110	20	7	7	+0x4:20	+0x4	100.0	EEEE	EE	2.295	258@0xadf2c:9,168@0x9aa83:4,189@0x9e7af:2,157@0x98a9a:2,124@0x91e81:1,345@0xc02e4:1	tail@0xac43d:20	8af87b0e:9,60742b03:4,a7b68303:2,8cea8302:2,3be68b05:1,cd7da30c:1
87	0x8a49e	12	3	3	+0x5:12	+0x5	100.0	CCEEE	CE	1.585	257@0xadbfd:4,108@0x8f24b:4,256@0xad849:4	tail@0x8aa11:12	3d01080809:4,3d01600381:4,3d01000847:4
153	0x979ab	10	2	2	+0x5:10	+0x5	100.0	EECCE	EC	1.000	144@0x95887:5,173@0x9ba74:5	tail@0x97ce3:10	daa53d010b:5,b58b3d0197:5
240	0xa9cf7	7	2	2	+0x5:7	+0x5	100.0	ECCEE	EE	0.863	173@0x9ba74:5,108@0x8f24b:2	tail@0xa9ff7:7	993d01629f:5,b93d018727:2
225	0xa6af9	6	1	1	+0x5:6	+0x5	100.0	CCCCC	CC	0.000	144@0x95887:6	tail@0xa6e53:6	ce133d0187:6
357	0xc29cf	6	2	2	+0x5:6	+0x5	100.0	EEECC	EE	1.000	352@0xc1ec4:3,144@0x95887:3	tail@0xc2d35:6	f0fdb13d01:3,116a913d01:3
359	0xc3406	6	2	2	+0x5:6	+0x5	100.0	CCEEC	CE	0.918	108@0x8f24b:4,160@0x994cf:2	tail@0xc3716:6	3d011ffc00:4,3d01c3de00:2
13	0x7aee8	5	2	2	+0x5:5	+0x5	100.0	EECCE	EC	0.722	256@0xad849:4,257@0xadbfd:1	tail@0x7b3bb:5	9e7e3d0125:4,6a753d0111:1
86	0x8a37f	5	2	2	+0x4:5	+0x4	100.0	EECC	EC	0.722	310@0xb8556:4,169@0x9af18:1	tail@0x8a49b:5	36010000:4,a9000000:1
130	0x931d3	5	2	2	+0x5:5	+0x5	100.0	EECCE	EC	0.722	144@0x95887:4,198@0xa037e:1	tail@0x937cd:5	78f53d0100:4,a1c33d014b:1
187	0x9e07d	5	1	1	+0x5:5	+0x5	100.0	CCCCC	CC	0.000	173@0x9ba74:5	tail@0x9e333:5	3d3d018976:5
36	0x800a1	4	1	1	+0x5:4	+0x5	100.0	CCCCC	CC	0.000	108@0x8f24b:4	tail@0x80682:4	5cc2a33d01:4
214	0xa3fe9	4	1	1	+0x5:4	+0x5	100.0	CCCCC	CC	0.000	257@0xadbfd:4	tail@0xa4606:4	d2bdb33d01:4
221	0xa5889	4	1	1	+0x5:4	+0x5	100.0	CCCCC	CC	0.000	256@0xad849:4	tail@0xa5f3a:4	5300083d01:4
231	0xa799b	4	1	1	+0x5:4	+0x5	100.0	CCCCC	CC	0.000	198@0xa037e:4	tail@0xa7ef6:4	3d01036ca7:4
267	0xafa1f	4	1	1	+0x5:4	+0x5	100.0	CCCCC	CC	0.000	144@0x95887:4	tail@0xb0005:4	b7cec93d01:4
313	0xb8b42	4	1	1	+0x5:4	+0x5	100.0	CCCCC	CC	0.000	352@0xc1ec4:4	tail@0xb8fcc:4	3d017e59ff:4
9	0x79da3	3	1	1	+0x5:3	+0x5	100.0	CCCCC	CC	0.000	256@0xad849:3	tail@0x7a04c:3	693d01b44a:3
42	0x815ea	3	3	3	+0x4:3	+0x4	100.0	CCEE	CE	0.918	169@0x9af18:2,310@0xb8556:1	tail@0x8173b:3	0000a900:2,00003601:1
31	0x7ecd2	2	1	1	+0x5:2	+0x5	100.0	CCCCC	CC	0.000	352@0xc1ec4:2	tail@0x7efa6:2	3d01df2eed:2
69	0x85f24	2	1	1	+0xd:2	+0xd	100.0	CCCCCCCCCCCCC	CCCCCC	0.000	310@0xb8556:2	dispatch@0xc80b9:2	0009c98e9a2065ea5536008000:2
112	0x8faec	2	2	2	+0x5:2	+0x5	100.0	ECCEE	EE	1.000	160@0x994cf:1,108@0x8f24b:1	tail@0x9026c:2	003d01f9d3:1,133d01a9f4:1
136	0x9461b	2	1	1	+0x5:2	+0x5	100.0	CCCCC	CC	0.000	198@0xa037e:2	tail@0x94970:2	75d83d015b:2
209	0xa2935	2	2	2	+0x5:2	+0x5	100.0	EECCE	EC	1.000	257@0xadbfd:1,352@0xc1ec4:1	tail@0xa2da1:2	9c9c3d01d9:1,800f3d0185:1
241	0xa9ffa	2	2	2	+0xd:2	+0xd	100.0	EEECCCCCCCCEE	EECCCE	1.000	333@0xbd8af:1,66@0x855ff:1	tail@0xaa87a:2	1e1e020080003d0122e8010a8b:1,c6f1050080003d0122e801b6a2:1
35	0x7fd4d	1	1	1	+0x5:1	+0x5	100.0	CCCCC	CC	0.000	256@0xad849:1	tail@0x8009e:1	69f8003d01:1
54	0x837cb	1	1	1	+0x5:1	+0x5	100.0	CCCCC	CC	0.000	256@0xad849:1	tail@0x83b3d:1	f11bbd3d01:1
78	0x883c0	1	1	1	+0xd:1	+0xd	100.0	CCCCCCCCCCCCC	CCCCCC	0.000	310@0xb8556:1	dispatch@0xc80b9:1	d5a3e8f5b13421dfd233008000:1
85	0x89b37	1	1	1	+0xd:1	+0xd	100.0	CCCCCCCCCCCCC	CCCCCC	0.000	64@0x85059:1	tail@0x8a37d:1	1e1e020080003d0122e8010002:1
101	0x8ceb4	1	1	1	+0xd:1	+0xd	100.0	CCCCCCCCCCCCC	CCCCCC	0.000	199@0xa0631:1	tail@0x8d71b:1	1e1e020080003d0122e80154b0:1
142	0x953b1	1	1	1	+0xa:1	+0xa	100.0	CCCCCCCCCC	CCCCC	0.000	83@0x8947b:1	tail@0x957d6:1	c9c7f0c636380f399802:1
188	0x9e336	1	1	1	+0x5:1	+0x5	100.0	CCCCC	CC	0.000	173@0x9ba74:1	tail@0x9e7ac:1	fffe3d0100:1
229	0xa71fe	1	1	1	+0x5:1	+0x5	100.0	CCCCC	CC	0.000	352@0xc1ec4:1	tail@0xa757c:1	3d01005947:1
259	0xae332	1	1	1	+0xa:1	+0xa	100.0	CCCCCCCCCC	CCCCC	0.000	28@0x7e390:1	tail@0xae909:1	e000ffff13050000ecfa:1
276	0xb1b2d	1	1	1	+0xa:1	+0xa	100.0	CCCCCCCCCC	CCCCC	0.000	157@0x98a9a:1	tail@0xb1fd3:1	d969ffffffffffffffff:1
