program	range	blocks	rows	primary_trace_rows	string_refs	exact_string_contexts	top_string_texts	top_string_opcodes	behavior_tags	confidence	evidence	external_edges	next_action
041	0x30e872..0x316692	13	8444	502501	5	5	_ITM_registerTMCloneTable; __freelocale; blake3_hasher_finalize; unsigned __int128; zydis_decoder_tree_root	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown:2,vmop_199_plus0x3_state_add_const_slot_multi_path:1,vmop_330_plus0x5_state_add_const_slot_u16_0:1,vmop_075_minus0x6d_sampled_backedge_slot_unknown:1	crypto_hashing;cxx_runtime;disassembly_metadata	medium	crypto_hashing:blake3,hasher,hash; cxx_runtime:__freelocale,_itm; disassembly_metadata:zydis	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
042	0x31aa27..0x31ddb5	28	3387	4724	4	4	_ITM_registerTMCloneTable; __freelocale; _ITM_registerTMCloneTable; __freelocale	vmop_316_minus0x3c4_sampled_backedge_slot_unknown:2,vmop_075_minus0x6d_sampled_backedge_slot_unknown:2	cxx_runtime	medium	cxx_runtime:__freelocale,_itm	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
043	0x31df8f..0x31e862	10	554	554	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	3	confirm tags by reducing nearby opcode windows and native/import bridge targets
044	0x31ea5c..0x31eaac	1	14	14	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
045	0x31eae4..0x31f2b1	4	520	520	1	1	pthread_cond_wait	vmop_337_plus0x4_state_add_const_slot_multi_path:1	threading_sync	low_to_medium	threading_sync:pthread,cond	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
046	0x33170b..0x33384d	18	2184	3663	2	2	_ITM_registerTMCloneTable; __freelocale	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown:2	cxx_runtime	medium	cxx_runtime:__freelocale,_itm	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
047	0x333882..0x333bc9	2	220	220	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
048	0x334a3d..0x336d93	13	2333	3590	3	3	_ITM_registerTMCloneTable; __freelocale; long double	vmop_145_plus0x139_sampled_long_or_sparse_slot_unknown:2,vmop_028_plus0x3_state_add_const_slot_u16_0:1	cxx_runtime	medium	cxx_runtime:__freelocale,_itm	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
049	0x336dc8..0x33710f	1	222	222	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
050	0x337e84..0x33a350	15	2416	3926	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
051	0x33a385..0x33a6cc	2	220	220	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
052	0x33b647..0x33d2d9	5	1891	3374	2	2	dropping unexpected ChangeCipherSpec; GLIBC_2.17	vmop_066_plus0x3_state_add_const_slot_multi_path:1,vmop_246_plus0x78_sampled_long_or_sparse_slot_unknown:1	tls_or_ssl;host_environment	medium	tls_or_ssl:changecipherspec; host_environment:glibc	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
053	0x33db28..0x33e849	9	853	7767	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	2	confirm tags by reducing nearby opcode windows and native/import bridge targets
054	0x33e889..0x33ea02	2	92	400	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	2	confirm tags by reducing nearby opcode windows and native/import bridge targets
055	0x33f278..0x34556c	45	6540	11755	17	17	_ITM_registerTMCloneTable; __freelocale; NSt7__cxx118time_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEE; _ITM_registerTMCloneTable; __freelocale; /home/richard/code/mbedtls/library/ssl_tls.c; pthread_cond_timedwait; _ITM_registerTMCloneTable	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown:4,vmop_316_minus0x3c4_sampled_backedge_slot_unknown:3,vmop_334_plus0x2a5_sampled_long_or_sparse_slot_unknown:2,vmop_075_minus0x6d_sampled_backedge_slot_unknown:2,vmop_145_plus0x139_sampled_long_or_sparse_slot_unknown:2,vmop_172_plus0x4_state_add_const_slot_mba_stateful:2	tls_or_ssl;threading_sync;host_environment;cxx_runtime	medium	tls_or_ssl:ssl,tls,mbedtls; threading_sync:pthread,mutex,cond; host_environment:uname,/home/; cxx_runtime:__freelocale,_itm	2	confirm tags by reducing nearby opcode windows and native/import bridge targets
056	0x3603af..0x36525e	22	5215	6962	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
057	0x365458..0x3654a8	1	14	14	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
058	0x3654e0..0x3655e4	1	70	70	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
059	0x3674c3..0x369a93	24	2468	8056	4	4	QmK3TAsJm8V/J5AWpLEV6jAFgRGymGGHnof0DXzVWZidrcZJWTNuGEX90nB3ee2w; _ITM_registerTMCloneTable; __freelocale; basic_string::_S_construct null not valid	vmop_334_plus0x2a5_sampled_long_or_sparse_slot_unknown:2,vmop_199_plus0x3_state_add_const_slot_multi_path:1,vmop_350_plus0x4_state_add_const_slot_mba_stateful:1	cxx_runtime	medium	cxx_runtime:basic_string,__freelocale,_itm	2	confirm tags by reducing nearby opcode windows and native/import bridge targets
060	0x369ad3..0x36a0bc	4	387	429	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	2	confirm tags by reducing nearby opcode windows and native/import bridge targets
