section	offset	end	size	realsz	name	safe_name	kind	nbbs	ninstrs	edges	indegree	outdegree	nlocals	nargs	stackframe	noreturn	signature
.text	0x5071e0	0x507284	164	164	method.std::basic_fstream_wchar_t__std::char_traits_wchar_t___.virtual_0	native_stub_005071e0_method_std_basic_fstream_wchar_t_std_char_traits_wchar_t_virtual_0	native_discovered	1	34	1	0	3	0	1	8	0	method.std::basic_fstream_wchar_t__std::char_traits_wchar_t___.virtual_0 (int64_t arg1);
.text	0x507330	0x5073dc	172	172	method.std::basic_fstream_wchar_t__std::char_traits_wchar_t___.virtual_8	native_stub_00507330_method_std_basic_fstream_wchar_t_std_char_traits_wchar_t_virtual_8	native_discovered	1	36	0	0	4	0	1	8	0	method.std::basic_fstream_wchar_t__std::char_traits_wchar_t___.virtual_8 (int64_t arg1);
.text	0x507540	0x5075c6	134	134	method.std::basic_ofstream_wchar_t__std::char_traits_wchar_t___.virtual_0	native_stub_00507540_method_std_basic_ofstream_wchar_t_std_char_traits_wchar_t_virtual_0	native_discovered	1	29	1	0	3	0	1	8	0	method.std::basic_ofstream_wchar_t__std::char_traits_wchar_t___.virtual_0 (int64_t arg1);
.text	0x507650	0x5076e6	150	150	method.std::basic_ifstream_wchar_t__std::char_traits_wchar_t___.virtual_8	native_stub_00507650_method_std_basic_ifstream_wchar_t_std_char_traits_wchar_t_virtual_8	native_discovered	1	32	0	0	4	0	1	8	0	method.std::basic_ifstream_wchar_t__std::char_traits_wchar_t___.virtual_8 (int64_t arg1);
.text	0x507780	0x5077c0	64	64	method.std::basic_filebuf_wchar_t__std::char_traits_wchar_t___.virtual_8	native_stub_00507780_method_std_basic_filebuf_wchar_t_std_char_traits_wchar_t_virtual_8	native_discovered	1	16	0	0	3	0	1	8	0	method.std::basic_filebuf_wchar_t__std::char_traits_wchar_t___.virtual_8 (int64_t arg1);
.text	0x507980	0x507988	8	8	method.std::moneypunct_wchar_t__false_.virtual_16	native_stub_00507980_method_std_moneypunct_wchar_t_false_virtual_16	native_discovered	1	3	0	0	0	0	1	0	0	method.std::moneypunct_wchar_t__false_.virtual_16 (int64_t arg1);
.text	0x507990	0x507998	8	8	method.std::moneypunct_wchar_t__false_.virtual_24	native_stub_00507990_method_std_moneypunct_wchar_t_false_virtual_24	native_discovered	1	3	0	0	0	0	1	0	0	method.std::moneypunct_wchar_t__false_.virtual_24 (int64_t arg1);
.text	0x5079a0	0x5079a8	8	8	method.std::moneypunct_wchar_t__false_.virtual_64	native_stub_005079a0_method_std_moneypunct_wchar_t_false_virtual_64	native_discovered	1	3	0	0	0	0	1	0	0	method.std::moneypunct_wchar_t__false_.virtual_64 (int64_t arg1);
.text	0x5079b0	0x5079e5	53	53	method.std::moneypunct_wchar_t__false_.virtual_72	native_stub_005079b0_method_std_moneypunct_wchar_t_false_virtual_72	native_discovered	3	12	2	0	1	1	1	24	0	method.std::moneypunct_wchar_t__false_.virtual_72 (int64_t arg1);
.text	0x5079f0	0x507a25	53	53	method.std::moneypunct_wchar_t__false_.virtual_80	native_stub_005079f0_method_std_moneypunct_wchar_t_false_virtual_80	native_discovered	3	12	2	0	1	1	1	24	0	method.std::moneypunct_wchar_t__false_.virtual_80 (int64_t arg1);
.text	0x507a30	0x507a38	8	8	method.std::moneypunct_wchar_t__true_.virtual_16	native_stub_00507a30_method_std_moneypunct_wchar_t_true_virtual_16	native_discovered	1	3	0	0	0	0	1	0	0	method.std::moneypunct_wchar_t__true_.virtual_16 (int64_t arg1);
.text	0x507a40	0x507a48	8	8	method.std::moneypunct_wchar_t__true_.virtual_24	native_stub_00507a40_method_std_moneypunct_wchar_t_true_virtual_24	native_discovered	1	3	0	0	0	0	1	0	0	method.std::moneypunct_wchar_t__true_.virtual_24 (int64_t arg1);
.text	0x507a50	0x507a58	8	8	method.std::moneypunct_wchar_t__true_.virtual_64	native_stub_00507a50_method_std_moneypunct_wchar_t_true_virtual_64	native_discovered	1	3	0	0	0	0	1	0	0	method.std::moneypunct_wchar_t__true_.virtual_64 (int64_t arg1);
.text	0x507a60	0x507a95	53	53	method.std::moneypunct_wchar_t__true_.virtual_72	native_stub_00507a60_method_std_moneypunct_wchar_t_true_virtual_72	native_discovered	3	12	2	0	1	1	1	24	0	method.std::moneypunct_wchar_t__true_.virtual_72 (int64_t arg1);
.text	0x507aa0	0x507ad5	53	53	method.std::moneypunct_wchar_t__true_.virtual_80	native_stub_00507aa0_method_std_moneypunct_wchar_t_true_virtual_80	native_discovered	3	12	2	0	1	1	1	24	0	method.std::moneypunct_wchar_t__true_.virtual_80 (int64_t arg1);
.text	0x507ae0	0x507af3	19	19	method.std::moneypunct_byname_wchar_t__false_.virtual_0	native_stub_00507ae0_method_std_moneypunct_byname_wchar_t_false_virtual_0	native_discovered	1	4	1	0	0	0	1	0	0	method.std::moneypunct_byname_wchar_t__false_.virtual_0 (int64_t arg1);
.text	0x507b00	0x507b13	19	19	method.std::moneypunct_byname_wchar_t__true_.virtual_0	native_stub_00507b00_method_std_moneypunct_byname_wchar_t_true_virtual_0	native_discovered	1	4	1	0	0	0	1	0	0	method.std::moneypunct_byname_wchar_t__true_.virtual_0 (int64_t arg1);
.text	0x507b20	0x507b28	8	8	method.std::numpunct_wchar_t_.virtual_16	native_stub_00507b20_method_std_numpunct_wchar_t_virtual_16	native_discovered	1	3	0	0	0	0	1	0	0	method.std::numpunct_wchar_t_.virtual_16 (int64_t arg1);
.text	0x507b30	0x507b38	8	8	method.std::numpunct_wchar_t_.virtual_24	native_stub_00507b30_method_std_numpunct_wchar_t_virtual_24	native_discovered	1	3	0	0	0	0	1	0	0	method.std::numpunct_wchar_t_.virtual_24 (int64_t arg1);
.text	0x507b40	0x507b53	19	19	method.std::numpunct_byname_wchar_t_.virtual_0	native_stub_00507b40_method_std_numpunct_byname_wchar_t_virtual_0	native_discovered	1	4	1	0	0	0	1	0	0	method.std::numpunct_byname_wchar_t_.virtual_0 (int64_t arg1);
.text	0x507b60	0x507b63	3	3	method.std::time_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_16	native_stub_00507b60_method_std_time_get_wchar_t_std_istreambuf_iterator_wchar_t_std_char_tra	native_discovered	1	2	0	0	0	0	0	0	0	method.std::time_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_16 ();
