section	start	stop	bytes	symbol	normalized_symbol	categories	classification_confidence	classification_reason	provenance
.plt	0x200f0	0x20100	16	iconv_open@plt	iconv_open	locale_i18n	high	locale/i18n import	native_linkage_stub_inventory
.plt	0x20100	0x20110	16	getpwuid@plt	getpwuid	host_environment_inventory	high	host/process environment import	native_linkage_stub_inventory
.plt	0x20110	0x20120	16	__cxa_bad_cast@plt	__cxa_bad_cast	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x20120	0x20130	16	_ZGTtdlPv@plt	_ZGTtdlPv	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x20130	0x20140	16	__cxa_get_globals_fast@plt	__cxa_get_globals_fast	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x20140	0x20150	16	_Unwind_GetLanguageSpecificData@plt	_Unwind_GetLanguageSpecificData	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x20150	0x20160	16	vswprintf@plt	vswprintf	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20160	0x20170	16	ZydisRegisterEncode@plt	ZydisRegisterEncode	disassembly_metadata	high	Zydis disassembly symbol	native_linkage_stub_inventory
.plt	0x20170	0x20180	16	__udivti3@plt	__udivti3	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20180	0x20190	16	_Unwind_Resume_or_Rethrow@plt	_Unwind_Resume_or_Rethrow	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x20190	0x201a0	16	ungetc@plt	ungetc	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x201a0	0x201b0	16	__wcscoll_l@plt	__wcscoll_l	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x201b0	0x201c0	16	__popcountdi2@plt	__popcountdi2	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x201c0	0x201d0	16	fputc@plt	fputc	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x201d0	0x201e0	16	freeaddrinfo@plt	freeaddrinfo	network	high	network libc/syscall import	native_linkage_stub_inventory
.plt	0x201e0	0x201f0	16	free@plt	free	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x201f0	0x20200	16	secure_getenv@plt	secure_getenv	env_check	high	environment-variable import	native_linkage_stub_inventory
.plt	0x20200	0x20210	16	strlen@plt	strlen	memory_string	high	memory/string helper import	native_linkage_stub_inventory
.plt	0x20210	0x20220	16	__cxa_allocate_exception@plt	__cxa_allocate_exception	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x20220	0x20230	16	ferror@plt	ferror	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20230	0x20240	16	pthread_create@plt	pthread_create	threading_sync	high	pthread/semaphore/scheduler import	native_linkage_stub_inventory
.plt	0x20240	0x20250	16	wmemchr@plt	wmemchr	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20250	0x20260	16	opendir@plt	opendir	filesystem_io	high	filesystem/device I/O import	native_linkage_stub_inventory
.plt	0x20260	0x20270	16	__xstat@plt	__xstat	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20270	0x20280	16	pclose@plt	pclose	process_or_shell	high	process/shell import	native_linkage_stub_inventory
.plt	0x20280	0x20290	16	pthread_cond_init@plt	pthread_cond_init	threading_sync	high	pthread/semaphore/scheduler import	native_linkage_stub_inventory
.plt	0x20290	0x202a0	16	__xpg_basename@plt	__xpg_basename	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x202a0	0x202b0	16	_Unwind_RaiseException@plt	_Unwind_RaiseException	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x202b0	0x202c0	16	__ctype_get_mb_cur_max@plt	__ctype_get_mb_cur_max	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x202c0	0x202d0	16	realpath@plt	realpath	filesystem_io	high	filesystem/device I/O import	native_linkage_stub_inventory
.plt	0x202d0	0x202e0	16	wctob@plt	wctob	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x202e0	0x202f0	16	__wcsftime_l@plt	__wcsftime_l	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x202f0	0x20300	16	__iswctype_l@plt	__iswctype_l	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20300	0x20310	16	readdir@plt	readdir	filesystem_io	high	filesystem/device I/O import	native_linkage_stub_inventory
.plt	0x20310	0x20320	16	__tls_get_addr@plt	__tls_get_addr	tls_or_ssl	high	TLS/SSL symbol	native_linkage_stub_inventory
.plt	0x20320	0x20330	16	mbstowcs@plt	mbstowcs	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20330	0x20340	16	fdopen@plt	fdopen	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20340	0x20350	16	syscall@plt	syscall	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20350	0x20360	16	memfd_create@plt	memfd_create	memory_protection	high	memory mapping/protection import	native_linkage_stub_inventory
.plt	0x20360	0x20370	16	iconv@plt	iconv	locale_i18n	high	locale/i18n import	native_linkage_stub_inventory
.plt	0x20370	0x20380	16	dlclose@plt	dlclose	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20380	0x20390	16	ZydisDecoderTreeGetChildNode@plt	ZydisDecoderTreeGetChildNode	disassembly_metadata	high	Zydis disassembly symbol	native_linkage_stub_inventory
.plt	0x20390	0x203a0	16	pthread_self@plt	pthread_self	threading_sync	high	pthread/semaphore/scheduler import	native_linkage_stub_inventory
.plt	0x203a0	0x203b0	16	_ITM_RU8@plt	_ITM_RU8	cxx_runtime	high	GNU transactional-memory runtime symbol	native_linkage_stub_inventory
.plt	0x203b0	0x203c0	16	__cxa_throw@plt	__cxa_throw	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x203c0	0x203d0	16	blake3_hash_many_sse2@plt	blake3_hash_many_sse2	crypto_hashing	high	crypto/hash/random import	native_linkage_stub_inventory
.plt	0x203d0	0x203e0	16	pthread_join@plt	pthread_join	threading_sync	high	pthread/semaphore/scheduler import	native_linkage_stub_inventory
.plt	0x203e0	0x203f0	16	__newlocale@plt	__newlocale	locale_i18n	high	locale/i18n import	native_linkage_stub_inventory
.plt	0x203f0	0x20400	16	poll@plt	poll	network	high	network libc/syscall import	native_linkage_stub_inventory
.plt	0x20400	0x20410	16	pthread_mutex_trylock@plt	pthread_mutex_trylock	threading_sync	high	pthread/semaphore/scheduler import	native_linkage_stub_inventory
.plt	0x20410	0x20420	16	gmtime_r@plt	gmtime_r	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20420	0x20430	16	strerror@plt	strerror	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20430	0x20440	16	epoll_ctl@plt	epoll_ctl	network	high	network libc/syscall import	native_linkage_stub_inventory
.plt	0x20440	0x20450	16	strstr@plt	strstr	memory_string	high	memory/string helper import	native_linkage_stub_inventory
.plt	0x20450	0x20460	16	rewind@plt	rewind	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20460	0x20470	16	getsockopt@plt	getsockopt	network	high	network libc/syscall import	native_linkage_stub_inventory
.plt	0x20470	0x20480	16	__cxa_demangle@plt	__cxa_demangle	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x20480	0x20490	16	blake3_hasher_init@plt	blake3_hasher_init	crypto_hashing	high	crypto/hash/random import	native_linkage_stub_inventory
.plt	0x20490	0x204a0	16	fputs@plt	fputs	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x204a0	0x204b0	16	lseek@plt	lseek	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x204b0	0x204c0	16	readlink@plt	readlink	filesystem_io	high	filesystem/device I/O import	native_linkage_stub_inventory
.plt	0x204c0	0x204d0	16	atoi@plt	atoi	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x204d0	0x204e0	16	connect@plt	connect	network	high	network libc/syscall import	native_linkage_stub_inventory
.plt	0x204e0	0x204f0	16	mbsrtowcs@plt	mbsrtowcs	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x204f0	0x20500	16	towlower@plt	towlower	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20500	0x20510	16	wcrtomb@plt	wcrtomb	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20510	0x20520	16	putwc@plt	putwc	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20520	0x20530	16	blake3_hash_many_avx512@plt	blake3_hash_many_avx512	crypto_hashing	high	crypto/hash/random import	native_linkage_stub_inventory
.plt	0x20530	0x20540	16	putc@plt	putc	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20540	0x20550	16	__cxa_end_catch@plt	__cxa_end_catch	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x20550	0x20560	16	__cxa_guard_acquire@plt	__cxa_guard_acquire	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x20560	0x20570	16	signal@plt	signal	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20570	0x20580	16	memmove@plt	memmove	memory_string	high	memory/string helper import	native_linkage_stub_inventory
.plt	0x20580	0x20590	16	strchr@plt	strchr	memory_string	high	memory/string helper import	native_linkage_stub_inventory
.plt	0x20590	0x205a0	16	ZydisGetElementInfo@plt	ZydisGetElementInfo	disassembly_metadata	high	Zydis disassembly symbol	native_linkage_stub_inventory
.plt	0x205a0	0x205b0	16	socket@plt	socket	network	high	network libc/syscall import	native_linkage_stub_inventory
.plt	0x205b0	0x205c0	16	vsnprintf@plt	vsnprintf	text_formatting	high	formatting/output import	native_linkage_stub_inventory
.plt	0x205c0	0x205d0	16	fread@plt	fread	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x205d0	0x205e0	16	wmemmove@plt	wmemmove	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x205e0	0x205f0	16	ZydisGetOperandDefinitions@plt	ZydisGetOperandDefinitions	disassembly_metadata	high	Zydis disassembly symbol	native_linkage_stub_inventory
.plt	0x205f0	0x20600	16	getenv@plt	getenv	env_check	high	environment-variable import	native_linkage_stub_inventory
.plt	0x20600	0x20610	16	alarm@plt	alarm	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20610	0x20620	16	_ITM_memcpyRnWt@plt	_ITM_memcpyRnWt	cxx_runtime	high	GNU transactional-memory runtime symbol	native_linkage_stub_inventory
.plt	0x20620	0x20630	16	_Unwind_GetIPInfo@plt	_Unwind_GetIPInfo	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x20630	0x20640	16	dl_iterate_phdr@plt	dl_iterate_phdr	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20640	0x20650	16	__errno_location@plt	__errno_location	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20650	0x20660	16	__cxa_get_globals@plt	__cxa_get_globals	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x20660	0x20670	16	__cxa_init_primary_exception@plt	__cxa_init_primary_exception	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x20670	0x20680	16	strdup@plt	strdup	memory_string	high	memory/string helper import	native_linkage_stub_inventory
.plt	0x20680	0x20690	16	sem_init@plt	sem_init	threading_sync	high	pthread/semaphore/scheduler import	native_linkage_stub_inventory
.plt	0x20690	0x206a0	16	pthread_mutexattr_settype@plt	pthread_mutexattr_settype	threading_sync	high	pthread/semaphore/scheduler import	native_linkage_stub_inventory
.plt	0x206a0	0x206b0	16	__uselocale@plt	__uselocale	locale_i18n	high	locale/i18n import	native_linkage_stub_inventory
.plt	0x206b0	0x206c0	16	blake3_compress_xof_sse2@plt	blake3_compress_xof_sse2	crypto_hashing	high	crypto/hash/random import	native_linkage_stub_inventory
.plt	0x206c0	0x206d0	16	__stack_chk_fail@plt	__stack_chk_fail	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x206d0	0x206e0	16	blake3_compress_in_place_sse2@plt	blake3_compress_in_place_sse2	crypto_hashing	high	crypto/hash/random import	native_linkage_stub_inventory
