source_entry	opcode_name	reduction_status	proof_status	original_chars	candidate_chars	candidate_c	smt2	solver_output_excerpt
284	vmop_284_plus0xd_state_add_const_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	28	31	(state0 - 0x14b96a4cu) - u16_11	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_284.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
285	vmop_285_plus0x5_state_add_const_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	41	47	((u16_2 + flags0) - state0) ^ (state0 ^ flags0)	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_285.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
287	vmop_287_plus0x4_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	207	84	((((0x3ab14dd1u + state0) - u16_0) | state0) & (0x238df177u - flags0)) | 0x3035536cu	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_287.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
290	vmop_290_plus0x5_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	80	95	(((u16_2 + state0) & flags0) & 0x3acb356du) | (((flags0 & 0x3acb356du) ^ 0x29d9517bu) | state0)	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_290.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
291	vmop_291_plus0x4_state_add_const_slot_multi_path	translator_or_proof_error	not_proved	429	0			unknown operand 'rdi'
292	vmop_292_plus0x5_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	106	95	(((u16_1 + flags0) - state0) | ((0x628c34bcu + flags0) | state0)) | ((flags0 & u16_3) ^ state0)	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_292.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
295	vmop_295_plus0x5_state_mixed_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	27	30	(u16_2 - 0x396ecbf2u) | state0	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_295.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
297	vmop_297_plus0x3_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	455	209	(((((0x1e2ee079u - (u16_1 + state0)) | (0xb7ddf6beu + state0)) | ((0x283684b4u + flags0) ^ 0x4a5a939au)) | ((flags0 - 0x6c4a4295u) ^ 0x2c0a7a21u)) | (((state0 + b0) + 0x235d2f75u) ^ 0x6650e9bbu)) | 0x6fa2a570u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_297.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
299	vmop_299_minus0x7fe6_sampled_backedge_slot_unknown	compiler_expression_recovered	proved_equivalent	323	239	((((((u16_2 - state0) & (0x515f6307u + flags0)) & ((0x515f6307u + state0) - u16_0)) & 0x23320710u) ^ (flags0 & 0x10108a30u)) | (((((0x515f6307u + state0) - u16_0) & state0) & (0x515f6307u + flags0)) & 0x23320710u)) | (flags0 & 0x10108a30u)	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_299.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
300	vmop_300_plus0x4_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	323	239	((((((u16_2 - state0) & (0x515f6307u + flags0)) & ((0x515f6307u + state0) - u16_0)) & 0x23320710u) ^ (flags0 & 0x10108a30u)) | (((state0 & ((0x515f6307u + state0) - u16_0)) & (0x515f6307u + flags0)) & 0x23320710u)) | (flags0 & 0x10108a30u)	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_300.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
