observation	delta	shape	constant_bytes	skeleton_hash	events	entries	top_entries	top_targets	top_ops	skeleton
exact	+0x4	CCVV	b0=0xe8,b1=0x01	940bf6a47f3b3118	9485	1	20@0x7c62b:9485	114@0x90319:1277,258@0xadf2c:806,337@0xbec0e:720,185@0x9d964:712,347@0xc088d:691,18@0x7be9b:539	WF+0x170/4:6,RF+0x23/4:4,RF+0x81/8:3,WF+0x23/4:3,RF+0x0/8:3,RF+0xa/8:3	RF+0xa/8:mov;RF+0x10f/8:mov;IPADV+0x2;RIP+0x2/2:movzx;RF+0x170/4:xor;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rcx;RF+0xa/8:mov
exact	+0x4	VVCC	b2=0xe8,b3=0x01	f093a6a0bee5ae0f	9482	1	161@0x9975a:9482	28@0x7e390:776,337@0xbec0e:707,340@0xbf435:650,18@0x7be9b:637,64@0x85059:606,258@0xadf2c:559	WF+0x23/4:4,RF+0x81/8:3,RF+0x0/8:2,RF+0xa/8:2,RF+0x170/4:2,RF+0x194/1:1	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rax
exact	+0x4	VVCC	b2=0xe8,b3=0x01	d23a249e7acf6935	9466	1	243@0xaab6a:9466	307@0xb8064:733,189@0x9e7af:698,18@0x7be9b:642,185@0x9d964:578,28@0x7e390:559,337@0xbec0e:510	RF+0x170/4:9,WF+0x23/4:6,WF+0x170/4:5,RF+0x0/8:4,RF+0x81/8:3,RF+0x23/4:3	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rsi
exact	+0x4	CCVV	b0=0xe8,b1=0x01	b997913c8fae65d4	9432	1	158@0x99029:9432	340@0xbf435:989,189@0x9e7af:726,337@0xbec0e:710,18@0x7be9b:695,258@0xadf2c:648,64@0x85059:648	WF+0x170/4:5,RF+0x170/4:3,RF+0x0/8:3,RF+0x23/4:3,RF+0x194/1:2,RF+0xa/8:2	RF+0xa/8:mov;RF+0x10f/8:mov;IPADV+0x2;RIP+0x2/2:movzx;RF+0x170/4:add;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r13
exact	+0x4	CCVV	b0=0xe8,b1=0x01	52e8d4d2b6e2f835	9247	1	33@0x7f7c4:9247	258@0xadf2c:873,307@0xb8064:735,157@0x98a9a:700,114@0x90319:514,167@0x9a8d2:489,64@0x85059:438	WF+0x23/4:5,RF+0x23/4:5,RF+0x194/1:4,RF+0x81/8:4,RF+0x170/4:3,WF+0x170/4:2	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x2;RIP+0x2/2:movzx;RF+0x170/4:add;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rdi
exact	+0x4	VVCC	b2=0xe8,b3=0x01	38a4ef7a6dbd102b	9073	1	346@0xc0535:9073	28@0x7e390:862,168@0x9aa83:678,258@0xadf2c:614,185@0x9d964:572,64@0x85059:531,347@0xc088d:490	RF+0x81/8:6,RF+0x23/4:4,WF+0x23/4:4,RF+0x194/1:2,RF+0x170/4:2,RF+0x71/8:2	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rsi
exact	+0x2	VV	-	bacf12873142d669	5239	1	108@0x8f24b:5239	337@0xbec0e:401,215@0xa4609:378,333@0xbd8af:371,196@0x9fbcd:328,297@0xb64d7:248,345@0xc02e4:227	RF+0x71/8:3,RF+0x194/1:3,WF+0x170/4:3,RF+0x23/4:3,WF+0x23/4:3,RF+0x81/8:2	RF+0xa/8:mov;IPADV+0x0;RF+0x10f/8:mov;RIP+0x0/2:movzx;RF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rcx
exact	+0x2	VV	-	7ababb586f729baf	5218	1	144@0x95887:5218	258@0xadf2c:577,268@0xb0007:365,18@0x7be9b:315,168@0x9aa83:310,114@0x90319:236,347@0xc088d:211	RF+0x0/8:4,WF+0x170/4:4,RF+0x194/1:3,RF+0x81/8:3,RF+0x170/4:3,WF+0x23/4:2	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:xor;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r8
exact	+0x2	VV	-	f633e61ea6db23b4	5207	1	160@0x994cf:5207	185@0x9d964:351,215@0xa4609:346,43@0x8173d:319,18@0x7be9b:310,172@0x9b68a:268,157@0x98a9a:268	WF+0x170/4:5,RF+0x81/8:3,RF+0x71/8:3,RF+0x170/4:2,RF+0x194/1:1,RF+0x16f/1:1	RF+0xa/8:mov;RF+0x10f/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:xor;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r8
exact	+0x2	VV	-	259cab9ead8e0247	5101	1	173@0x9ba74:5101	64@0x85059:483,196@0x9fbcd:369,337@0xbec0e:364,340@0xbf435:287,114@0x90319:283,349@0xc140b:264	WF+0x170/4:5,RF+0x71/8:4,RF+0x81/8:3,RF+0x170/4:2,WF+0x23/4:2,RF+0x194/1:2	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:xor;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r11;RF+0x23/4:mov
