rank	kind	key	priority	events	unique_start_ips	unique_end_ips	sources	targets	deltas	statuses	sites	nearest_recovered	sample_starts	sample_ends	detail
82	uncovered_exact_destination	0x3655e4	100	1	1	1	158:1	195:1	+0x4:1	exact:1	tail@0x992ca:1	prev=79@0x36504c-0x3655e4+0x0;next=80@0x3674c3-0x36a0bc-0x1edf	0x3655e0	0x3655e4	exact positive instruction exits recovered bytecode coverage
83	uncovered_exact_destination	0xd1002	100	1	1	1	174:1	95:1	+0x4:1	exact:1	tail@0x9c08c:1	prev=0@0xd0ac0-0xd1002+0x0;next=1@0xd1010-0xd1284-0xe	0xd0ffe	0xd1002	exact positive instruction exits recovered bytecode coverage
84	uncovered_exact_destination	0xd1284	100	1	1	1	176:1	356:1	+0x4:1	exact:1	tail@0x9c3f4:1	prev=1@0xd1010-0xd1284+0x0;next=2@0xd1292-0xd1445-0xe	0xd1280	0xd1284	exact positive instruction exits recovered bytecode coverage
85	uncovered_exact_destination	0xd1445	100	1	1	1	158:1	175:1	+0x4:1	exact:1	tail@0x992ca:1	prev=2@0xd1292-0xd1445+0x0;next=3@0xd3fac-0xd4889-0x2b67	0xd1441	0xd1445	exact positive instruction exits recovered bytecode coverage
86	uncovered_exact_destination	0xd4889	100	1	1	1	161:1	264:1	+0x4:1	exact:1	tail@0x99b3a:1	prev=3@0xd3fac-0xd4889+0x0;next=4@0xd4897-0xd5ebc-0xe	0xd4885	0xd4889	exact positive instruction exits recovered bytecode coverage
87	uncovered_exact_destination	0xd5ebc	100	1	1	1	123:1	195:1	+0x4:1	exact:1	tail@0x91e7f:1	prev=4@0xd4897-0xd5ebc+0x0;next=5@0xd718e-0xd790a-0x12d2	0xd5eb8	0xd5ebc	exact positive instruction exits recovered bytecode coverage
88	uncovered_exact_destination	0xdaf39	100	1	1	1	184:1	195:1	+0x4:1	exact:1	tail@0x9d961:1	prev=7@0xdac57-0xdaf39+0x0;next=8@0x11ac5e-0x11d6a2-0x3fd25	0xdaf35	0xdaf39	exact positive instruction exits recovered bytecode coverage
89	decoded_long_branch_sample	308->171:-0x584	50	10	1	1	308:10	171:10	-0x584:10	backedge_sample:10	tail@0xb84a4:10	inside=81@0x36b124-0x36db0d+0x46e	0x36bb16	0x36b592	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=10;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[171], ip -= 0x584
90	decoded_long_branch_sample	308->354:-0x40	50	10	1	1	308:10	354:10	-0x40:10	backedge_sample:10	tail@0xb84a4:10	inside=75@0x33f278-0x34556c+0xf03	0x3401bb	0x34017b	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=10;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[354], ip -= 0x40
91	decoded_long_branch_sample	117->165:-0xbc1	45	9	1	1	117:9	165:9	-0xbc1:9	backedge_sample:9	tail@0x90c21:9	inside=74@0x33db28-0x33ea02+0x1ed	0x33e8d6	0x33dd15	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=9;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[165], ip -= 0xbc1
92	decoded_long_branch_sample	302->165:-0x55d	45	9	1	1	302:9	165:9	-0x55d:9	backedge_sample:9	tail@0xb7699:9	inside=80@0x3674c3-0x36a0bc+0x46e	0x367e8e	0x367931	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=9;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[165], ip -= 0x55d
93	decoded_long_branch_sample	117->354:-0x584	30	6	2	2	117:6	354:6	-0x584:6	backedge_sample:6	tail@0x90c21:6	inside=67@0x33170b-0x3334ac+0x46e	0x3320fd,0x34094b	0x331b79,0x3403c7	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=6;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[354], ip -= 0x584
94	decoded_long_branch_sample	117->165:-0x55d	25	5	1	1	117:5	165:5	-0x55d:5	backedge_sample:5	tail@0x90c21:5	inside=82@0x36ecdc-0x371ff7+0x46e	0x36f6a7	0x36f14a	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=5;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[165], ip -= 0x55d
