kind	source_entry	source_target	target_entry	target	delta	events	unique_start_ips	unique_end_ips	source_blocks	target_blocks	source_sites	target_sites	missing_start_ips	missing_end_ips	byte_statuses	operand_min_len	operand_shape	lifted_ir
sampled_operand_forward	95	0x8c41c	86	0x8a37f	+0x2341b	2	1	1	17@0x249468-0x24bd30:1	18@0x26cd71-0x26cf3b:1	17@0x249468-0x24bd30+0x4ee:1	18@0x26cd71-0x26cf3b+0x0:1	0	0	prefix_32_of_144411:2	0xa	u16_0@+0x0,u32_0@+0x0,u16_2@+0x2,u16_4@+0x4,u16_6@+0x6,u32_6@+0x6	sampled operand footprint 0xa; observed target table[86], delta +0x2341b
long_branch_backedge	117	0x90acd	354	0xc2241	-0x50d	1	1	1	33@0x3603af-0x3655ea:1	33@0x3603af-0x3655ea:1	33@0x3603af-0x3655ea+0x2773:1	33@0x3603af-0x3655ea+0x2266:1	0	0	backedge_sample:1	0x8	target_u32@+0,delta_u32@+4	next = table[354], ip -= 0x50d
long_branch_backedge	266	0xaf8af	171	0x9b4b3	-0x2e48f	1	1	1	24@0x2c1156-0x2c13ed:1	20@0x292986-0x293694:1	24@0x2c1156-0x2c13ed+0x277:1	20@0x292986-0x293694+0x5b8:1	0	0	backedge_sample:1	0x8	target_u32@+0,delta_u32@+4	next = table[171], ip -= 0x2e48f
long_branch_backedge	266	0xaf8af	165	0x9a24c	-0x4e0	1	1	1	33@0x3603af-0x3655ea:1	33@0x3603af-0x3655ea:1	33@0x3603af-0x3655ea+0x3eb5:1	33@0x3603af-0x3655ea+0x39d5:1	0	0	backedge_sample:1	0x8	target_u32@+0,delta_u32@+4	next = table[165], ip -= 0x4e0
long_branch_backedge	266	0xaf8af	165	0x9a24c	-0x566	1	1	1	26@0x31aa27-0x31f2b7:1	26@0x31aa27-0x31f2b7:1	26@0x31aa27-0x31f2b7+0x1d78:1	26@0x31aa27-0x31f2b7+0x1812:1	0	0	backedge_sample:1	0x8	target_u32@+0,delta_u32@+4	next = table[165], ip -= 0x566
long_branch_backedge	308	0xb837c	171	0x9b4b3	-0x4e6	1	1	1	32@0x33f278-0x345572:1	32@0x33f278-0x345572:1	32@0x33f278-0x345572+0xb82:1	32@0x33f278-0x345572+0x69c:1	0	0	backedge_sample:1	0x8	target_u32@+0,delta_u32@+4	next = table[171], ip -= 0x4e6
long_branch_backedge	308	0xb837c	354	0xc2241	-0x4e6	1	1	1	26@0x31aa27-0x31f2b7:1	26@0x31aa27-0x31f2b7:1	26@0x31aa27-0x31f2b7+0x100e:1	26@0x31aa27-0x31f2b7+0xb28:1	0	0	backedge_sample:1	0x8	target_u32@+0,delta_u32@+4	next = table[354], ip -= 0x4e6
long_branch_forward	75	0x873fc	165	0x9a24c	+0x1d9	1	1	1	5@0x11ac5e-0x11f4da:1	5@0x11ac5e-0x11f4da:1	5@0x11ac5e-0x11f4da+0x373d:1	5@0x11ac5e-0x11f4da+0x3916:1	0	0	prefix_32_of_473:1	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[165], ip += 0x1d9
long_branch_forward	75	0x873fc	354	0xc2241	+0x211	1	1	1	26@0x31aa27-0x31f2b7:1	26@0x31aa27-0x31f2b7:1	26@0x31aa27-0x31f2b7+0xe05:1	26@0x31aa27-0x31f2b7+0x1016:1	0	0	prefix_32_of_529:1	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[354], ip += 0x211
long_branch_forward	75	0x873fc	354	0xc2241	+0x23e	1	1	1	1@0xd3fac-0xd5ec2:1	1@0xd3fac-0xd5ec2:1	1@0xd3fac-0xd5ec2+0x1828:1	1@0xd3fac-0xd5ec2+0x1a66:1	0	0	prefix_32_of_574:1	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[354], ip += 0x23e
