source_entry	opcode_name	problem_kind	trace_rows	trace_files	dynamic_start_vm_ips	dynamic_target_entries	pre_state_samples	pre_flags_samples	post_state_samples	post_flags_samples	byte_samples	required_inputs	capture_status
183	vmop_183_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	4652	vm_instruction_trace.tsv:2326;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:2326	0xd0ec1;0x11ad6e;0x11b231;0x11bb8f;0x11bc32;0x11be79;0x11bec4;0x11c21c;0x11c513;0x11c799;0x11c7e2;0x11cbcd;0x11ce06;0x11d591;0x11e57a;0x11e7a8;0x11e838;0x11f005;0x1209d8;0x120c07;0x1217dc;0x12262a;0x122a50;0x122b6b;...+355	3;18;28;43;49;64;66;79;83;114;130;157;168;172;185;189;196;199;203;215;220;258;268;269;...+8					e801cec4;e80172df;e8010a80;e801041d;e8011e87;e80174c5;e8012688;e8017cae	pre_state;raw_vm_bytes:u16_2	no_state_samples_in_current_traces
184	vmop_184_plus0x4_state_add_const_slot_multi_path	algebraic_mba	24188	vm_instruction_trace.tsv:12094;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:12094	0xd0c89;0xd0d08;0xd0d1e;0xd0f48;0xd0f64;0xd0f6f;0xd0f90;0xd11ca;0xd1249;0xd125f;0xd13b2;0xd13c8;0xd1420;0xd416d;0xd41f1;0xd41fc;0xd47da;0xd4822;0xd4838;0xd49c9;0xd4a1c;0xd4bff;0xd4c0a;0xd4c5d;...+832	18;28;40;64;66;85;95;102;114;119;181;185;189;195;199;215;216;258;261;264;278;297;307;311;...+5					da7fe801;f864e801;5832e801;ba75e801;3a79e801;d8b8e801;aa7ee801;7426e801	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
185	vmop_185_plus0x3_state_add_const_slot_multi_path	algebraic_mba	43240	vm_instruction_trace.tsv:21620;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:21620	0xd0b33;0xd0b7e;0xd0be5;0xd0c37;0xd0cfa;0xd0d1b;0xd0d53;0xd0f2b;0xd0f9f;0xd1065;0xd1070;0xd10bb;0xd10ec;0xd11d2;0xd12e3;0xd131f;0xd1393;0xd13af;0xd13c5;0xd13cc;0xd13db;0xd4048;0xd4143;0xd4296;...+1861	0;3;17;20;26;30;33;37;43;48;49;52;64;70;74;79;83;90;105;114;121;122;123;124;...+59					e72d3a;3ce53a;b3163a;24ac3a;a3013a;17963a;4b153a;6b0c3a	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
186	vmop_186_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	100	vm_instruction_trace.tsv:50;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:50	0x31b5ab;0x31b748;0x31cb94;0x334ffe;0x33c1b9;0x33fa63;0x340d40;0x34129e;0x342b50;0x3617a8;0x363ed3;0x367a80;0x36f299	108;144;160;173;198;256;257					653d015259;713d01c073;c53d01e473;c73d0160e5;c93d01f57d;313d01fc68;113d015429;e33d0182e3	pre_state;raw_vm_bytes:u16_3	no_state_samples_in_current_traces
187	vmop_187_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	10	vm_instruction_trace.tsv:5;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:5	0x33f701	173					3d3d018976	pre_state;raw_vm_bytes:u16_3	no_state_samples_in_current_traces
188	vmop_188_plus0x5_state_formula_slot_unknown	dispatch_unknown	2	vm_instruction_trace.tsv:1;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:1	0x1a5ac4	173					fffe3d0100	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
189	vmop_189_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	50228	vm_instruction_trace.tsv:25114;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:25114	0xd0ce3;0xd0d69;0xd0d96;0xd0dc3;0xd0dcb;0xd0dde;0xd0eb9;0xd0fe1;0xd0fec;0xd10a0;0xd116f;0xd11ce;0xd11f8;0xd1219;0xd1258;0xd12b9;0xd131b;0xd135b;0xd1427;0xd404b;0xd4097;0xd40b8;0xd4102;0xd4195;...+2257	3;18;20;26;28;30;33;37;43;49;66;70;74;79;83;121;122;123;124;125;128;140;146;148;...+48					f08afc90;930f30a5;eede58d4;95015ce0;72f85cd8;5e92609d;dcfa2ce7;4002509e	pre_state;raw_vm_bytes:u16_2	no_state_samples_in_current_traces
190	vmop_190_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	448	vm_instruction_trace.tsv:224;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:224	0x230d4a;0x30f475;0x338aa8;0x338c40;0x33c098;0x34202d;0x363de0;0x36b946;0x36f1a6;0x3714f4	144;257;352					3d01dd0de3;3d014587ca;3d0193e634;3d01d95dc3;3d01f1f909;3d0175f795;3d0183e354;3d01471c57	pre_state;raw_vm_bytes:u16_3	no_state_samples_in_current_traces
192	vmop_192_plus0x5_state_add_const_slot_multi_path	algebraic_mba	4678	vm_instruction_trace.tsv:2339;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:2339	0xd1179;0x11b4c8;0x11b6dc;0x11bfb8;0x11c305;0x11c88f;0x11ce2d;0x11d09c;0x11d5ad;0x11e7cb;0x11ea98;0x11efd8;0x12264d;0x122692;0x128f65;0x17071a;0x1709d5;0x1715f2;0x171b4d;0x1722e9;0x172783;0x1729ad;0x172ed7;0x172f1f;...+207	108;144;160;173;198;256;257;352					b5343d0100;117b3d0100;5a793d012f;02563d0100;d85a3d0100;ad8b3d0100;73b63d0100;0a313d0100	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
195	vmop_195_minus0x2306_sampled_backedge_slot_unknown	dispatch_unknown	16	vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:13;vm_instruction_trace.tsv:3	0xd5ebc;0xdaf39;0x18c467;0x1ed483;0x2304b8;0x231b74;0x26f077;0x31f2b1;0x333bc9;0x33d2d9;0x3655e4;0x36a09c;0x36daed	86;310			0xfd165f72;0x674d2a10;0xbffd291d	0x523d6055;0x9bd57398;0x6d6bdcfb	7e56060080009c5050ff3424488b04244883c4084883c40848c70424a9000000;517c070080000f92c09c415241564d89d64156415349bb41b8f76d000000004c;ad7e0700800069d2fd4303009c686259b11a41538f04244d89db5148b9360100;7b4d04008000;1e1e02008000;d43002008000;fe2203008000;d84807008000	pre_state;pre_flags	no_state_samples_in_current_traces
196	vmop_196_plus0x4_state_add_const_slot_multi_path	algebraic_mba	28742	vm_instruction_trace.tsv:14371;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:14371	0xd0b24;0xd0b63;0xd0d5a;0xd0e0e;0xd0e51;0xd1052;0xd1082;0xd10b7;0xd10dc;0xd1129;0xd4079;0xd4287;0xd42f4;0xd4306;0xd443f;0xd448e;0xd44bb;0xd4923;0xd4a9a;0xd4ab1;0xd4db1;0xd50e2;0xd511a;0xd5159;...+1114	3;18;26;28;30;33;37;49;64;66;70;79;83;87;88;94;99;114;121;122;124;128;140;146;...+41					496e0cf4;e892bce3;4d59ccc0;d1cbfde0;c98b24f5;c733b596;deedfcff;3f142cb7	pre_state;pre_flags;raw_vm_bytes:u16_2	no_state_samples_in_current_traces
198	vmop_198_plus0x2_state_add_const_slot_mba_stateful	algebraic_mba	9910	vm_instruction_trace.tsv:4955;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:4955	0xd0bed;0xd0ecd;0xd0ee5;0xd1121;0xd47b0;0xd578f;0xd5a3e;0xd72bf;0xd72eb;0xdac9f;0x11ad77;0x11adbf;0x11b031;0x11b245;0x11b25d;0x11b939;0x11bba3;0x11bc5a;0x11bc86;0x11bc9c;0x11bed8;0x11bfbd;0x11c2c4;0x11c534;...+493	17;18;28;30;43;48;62;64;65;66;90;92;105;114;117;121;124;128;140;146;154;157;165;168;...+39					2a36;02dd;50b0;8089;856b;cf3b;b8a4;07da	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
199	vmop_199_plus0x3_state_add_const_slot_multi_path	algebraic_mba	39282	vm_instruction_trace.tsv:19641;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:19641	0xd0b28;0xd0bab;0xd0d10;0xd0d79;0xd0f94;0xd10a8;0xd10ce;0xd119b;0xd11b1;0xd11c3;0xd1216;0xd1242;0xd135f;0xd1424;0xd4010;0xd41a1;0xd41d8;0xd425a;0xd4386;0xd43a7;0xd43e6;0xd4417;0xd448b;0xd4535;...+1778	3;17;20;26;30;33;37;43;48;49;52;64;70;79;83;90;92;105;112;114;121;122;123;124;...+63					562eb1;0f483a;23df06;575c32;b75faa;220b15;a3eca6;6ff022	pre_state;pre_flags;raw_vm_bytes:b2,u16_0	no_state_samples_in_current_traces
201	vmop_201_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	682	vm_instruction_trace.tsv:341;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:341	0x230011;0x230fae;0x30f330;0x332282;0x33bf44;0x33faac;0x33fb56;0x33fcb6;0x33ff7f;0x342aa6;0x36bc9b	144;160;173;198;256;257					3d01a1c5e1;3d0139c86b;3d01a1c57d;3d0139c523;3d0139c811;3d0169c601;3d0141c829;3d0141c873	pre_state;pre_flags;raw_vm_bytes:u16_2	no_state_samples_in_current_traces
203	vmop_203_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	19640	vm_instruction_trace.tsv:9820;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:9820	0xd0adc;0xd0b42;0xd0dad;0xd0e29;0xd1015;0xd12f5;0xd1322;0xd132a;0xd3ff5;0xd403d;0xd406d;0xd4278;0xd42ac;0xd4972;0xd4b6c;0xd4d26;0xd5088;0xd5093;0xd5231;0xd54f8;0xd56bd;0xd56eb;0xd5718;0xd5762;...+1020	3;18;26;28;30;33;37;49;52;64;66;70;79;83;87;94;99;114;121;124;128;140;148;151;...+38					079205a2;7f9f9017;8f9229a3;6f90b0e2;d7922dba;9f9f4fb6;a7925f7f;e798cf3f	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
208	vmop_208_plus0x5_state_add_const_slot_multi_path	algebraic_mba	1604	vm_instruction_trace.tsv:802;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:802	0xd1187;0x11d52a;0x11dedb;0x1778f0;0x18bc3f;0x18bc88;0x18beee;0x1a5636;0x1a5c21;0x1a5c6d;0x230940;0x230985;0x230a43;0x2310d0;0x231152;0x24a167;0x24acab;0x24af4c;0x26e29b;0x2935ad;0x30f18e;0x30f713;0x310615;0x314aa5;...+63	3;18;28;43;49;79;82;83;94;99;114;118;129;157;168;172;185;189;196;199;203;215;220;258;...+8					3a57637d57;3a1883e58f;3a87eb0510;3a689df523;3adbbdc5d1;3af3426550;50532ae50c;3acf17b519	pre_state;pre_flags;raw_vm_bytes:u16_3	no_state_samples_in_current_traces
209	vmop_209_plus0x5_state_add_const_slot_multi_path	algebraic_mba	4	vm_instruction_trace.tsv:2;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:2	0xd11bc;0x177915	257;352					9c9c3d01d9;800f3d0185	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
210	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown	dispatch_unknown	124	vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:109;vm_instruction_trace.tsv:15	0xda5e7;0x11dc27;0x11de14;0x11eeee;0x2935da;0x30eeba;0x30fd84;0x31c596;0x31c963;0x331945;0x332f80;0x3355d0;0x33dcbd;0x340193;0x340b0f;0x3427cd;0x367c0e;0x36b896;0x36c829;0x36d4c4	18;64;114;157;165;171;172;180;183;185;196;199;258;260;297;340;354					a5000000700600003d012239625fb3fe196bb0e801ff822308e4540cd417e73c;62010000110200003d019a1d8f6b018ecf50152e7a6613261cd74754db0ce801;620100008b0200003d010088eced03ef02b9568922ae67c9e8015688476124a6;ab0000008b0200003d01004f8bd3d5af16a644f7150f45349b10e80194096800;ab000000300000003d01221a75809d019cc83d01130048897900979846b69031;ab000000300000003d0122b07513003d019d0180309b6b1a3a210b7d42611abd;ab0000008b0200003d01002d056d82f304e8015d8fa792559e34196800b89c3a;ab000000300000003d012234ec13003d019d0180141a0a637900a88a7900300a	pre_state	no_state_samples_in_current_traces
214	vmop_214_plus0x5_state_add_const_slot_multi_path	algebraic_mba	8	vm_instruction_trace.tsv:4;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:4	0x338ad6	257					d2bdb33d01	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
