source_block	source_range	target_block	target_range	class	events	unique_start_ips	top_sources	top_targets	top_deltas	byte_statuses
86	0x122626-0x1226c6	86	0x122626-0x1226c6	intra_block	40	40	333:4,144:3,347:3,3:2,124:2,28:2,192:2,322:1	333:4,144:3,347:3,3:2,124:2,28:2,192:2,183:1	+0x4:16,+0x5:8,+0x3:7,+0x2:6,+0x6:3	exact:40
323	0x3401a9-0x3401bb	323	0x3401a9-0x3401bb	intra_block	40	4	185:10,347:10,43:10,0:10	347:10,43:10,0:10,257:10	+0x4:20,+0x3:10,+0x5:10	exact:40
333	0x341a5b-0x341a6d	333	0x341a5b-0x341a6d	intra_block	40	4	189:10,66:10,203:10,290:10	66:10,203:10,290:10,257:10	+0x4:20,+0x3:10,+0x5:10	exact:40
347	0x343f22-0x343f34	347	0x343f22-0x343f34	intra_block	40	4	199:10,43:10,114:10,290:10	43:10,114:10,290:10,108:10	+0x4:20,+0x3:10,+0x5:10	exact:40
368	0x3674c3-0x3676fd			out_of_recovered	40	1	52:40	334:40	+0x5:40	exact:40
369	0x367713-0x367725			out_of_recovered	39	1	108:39	302:39	+0x2:39	exact:39
224	0x31b331-0x31b343	224	0x31b331-0x31b343	intra_block	28	4	258:7,307:7,157:7,290:7	307:7,157:7,290:7,257:7	+0x4:14,+0x3:7,+0x5:7	exact:28
230	0x31c01b-0x31c02d	230	0x31c01b-0x31c02d	intra_block	28	4	114:7,28:7,268:7,0:7	28:7,268:7,0:7,108:7	+0x4:14,+0x3:7,+0x5:7	exact:28
425	0x370256-0x3703d8			out_of_recovered	26	1	161:26	311:26	+0x4:26	exact:26
426	0x3703e6-0x3704f7			out_of_recovered	26	1	242:26	145:26	+0x5:26	exact:26
430	0x370770-0x3707a0			out_of_recovered	26	1	245:26	316:26	+0x5:26	exact:26
427	0x370508-0x370624			out_of_recovered	25	1	184:25	95:25	+0x4:25	exact:25
428	0x370632-0x370743			out_of_recovered	25	1	245:25	145:25	+0x5:25	exact:25
429	0x370756-0x370768			out_of_recovered	25	1	198:25	302:25	+0x2:25	exact:25
431	0x3707b1-0x3708e4			out_of_recovered	25	1	161:25	264:25	+0x4:25	exact:25
432	0x3708f2-0x370a81			out_of_recovered	25	1	52:25	246:25	+0x5:25	exact:25
433	0x370a91-0x370cb0			out_of_recovered	25	1	20:25	356:25	+0x4:25	exact:25
434	0x370cbe-0x370f0a			out_of_recovered	25	1	176:25	264:25	+0x4:25	exact:25
438	0x37171c-0x37174c			out_of_recovered	25	1	242:25	246:25	+0x5:25	exact:25
439	0x3717c4-0x3718ff			out_of_recovered	25	1	161:25	311:25	+0x4:25	exact:25
440	0x37190d-0x371a20			out_of_recovered	25	1	52:25	316:25	+0x5:25	exact:25
441	0x371a30-0x371a43			out_of_recovered	25	1	144:25	308:25	+0x2:25	exact:25
415	0x36ecdc-0x36ef16			out_of_recovered	23	1	122:23	145:23	+0x5:23	exact:23
380	0x368de9-0x368e48	380	0x368de9-0x368e48	intra_block	22	22	337:2,66:2,121:1,180:1,307:1,114:1,220:1,198:1	337:2,66:2,180:1,307:1,114:1,220:1,198:1,199:1	+0x4:9,+0x3:4,+0x5:4,+0x2:3,+0x6:1,+0xa:1	exact:22
403	0x36c839-0x36c899	403	0x36c839-0x36c899	intra_block	22	22	172:2,307:2,322:1,91:1,337:1,269:1,256:1,203:1	307:2,322:1,91:1,337:1,269:1,256:1,203:1,140:1	+0x4:10,+0x5:4,+0x2:3,+0x3:3,+0x6:1,+0xa:1	exact:22
416	0x36ef2c-0x36ef3e			out_of_recovered	22	1	108:22	302:22	+0x2:22	exact:22
319	0x33f6f6-0x33f708	319	0x33f6f6-0x33f708	intra_block	20	4	258:5,215:5,196:5,187:5	215:5,196:5,187:5,173:5	+0x4:10,+0x3:5,+0x5:5	exact:20
338	0x34264c-0x3427cd			out_of_recovered	19	1	52:19	210:19	+0x5:19	exact:19
259	0x33170b-0x331945			out_of_recovered	18	1	122:18	210:18	+0x5:18	exact:18
328	0x340d9a-0x340f1b			out_of_recovered	18	1	52:18	75:18	+0x5:18	exact:18
339	0x3427e3-0x3427f5			out_of_recovered	18	1	108:18	266:18	+0x2:18	exact:18
35	0x11bb8f-0x11bbd4	35	0x11bb8f-0x11bbd4	intra_block	17	17	183:1,203:1,297:1,337:1,49:1,198:1,185:1,124:1	203:1,297:1,337:1,49:1,198:1,185:1,124:1,43:1	+0x4:7,+0x5:4,+0x3:3,+0x2:2,+0x6:1	exact:17
38	0x11bec4-0x11bf09	38	0x11bec4-0x11bf09	intra_block	17	17	183:1,66:1,196:1,64:1,79:1,198:1,200:1,203:1	66:1,196:1,64:1,79:1,198:1,200:1,203:1,258:1	+0x4:7,+0x5:4,+0x3:3,+0x2:2,+0x6:1	exact:17
41	0x11c211-0x11c256	41	0x11c211-0x11c256	intra_block	17	17	18:2,168:2,322:1,183:1,49:1,108:1,64:1,28:1	168:2,322:1,183:1,49:1,108:1,64:1,28:1,200:1	+0x4:7,+0x5:4,+0x3:3,+0x2:2,+0x6:1	exact:17
260	0x33195b-0x33196d			out_of_recovered	17	1	144:17	308:17	+0x2:17	exact:17
329	0x340f31-0x340f43			out_of_recovered	17	1	198:17	266:17	+0x2:17	exact:17
277	0x334a3d-0x334c7b			out_of_recovered	15	1	52:15	145:15	+0x5:15	exact:15
212	0x30e872-0x30eeba			out_of_recovered	14	1	52:14	210:14	+0x5:14	exact:14
278	0x334c91-0x334ca3			out_of_recovered	14	1	144:14	117:14	+0x2:14	exact:14
213	0x30eed0-0x30eee2			out_of_recovered	13	1	352:13	117:13	+0x2:13	exact:13
78	0x121a8a-0x121aba	78	0x121a8a-0x121aba	intra_block	12	12	171:2,18:2,333:1,340:1,239:1,3:1,144:1,273:1	18:2,333:1,340:1,239:1,3:1,144:1,171:1,273:1	+0x4:5,+0x2:3,+0x3:2,+0x6:1,+0x5:1	exact:12
205	0x2bf97c-0x2bf9ac	205	0x2bf97c-0x2bf9ac	intra_block	12	12	165:2,157:2,258:1,185:1,124:1,49:1,144:1,322:1	157:2,258:1,185:1,124:1,49:1,144:1,165:1,322:1	+0x4:5,+0x2:3,+0x3:2,+0x6:1,+0x5:1	exact:12
254	0x31ea5c-0x31ea8c	254	0x31ea5c-0x31ea8c	intra_block	12	12	268:2,354:1,18:1,64:1,253:1,269:1,144:1,165:1	268:2,18:1,64:1,253:1,269:1,144:1,165:1,340:1	+0x4:5,+0x2:3,+0x3:2,+0x6:1,+0x5:1	exact:12
309	0x33dcce-0x33de22			out_of_recovered	12	1	123:12	264:12	+0x4:12	exact:12
310	0x33de30-0x33e02a			out_of_recovered	12	1	20:12	80:12	+0x4:12	exact:12
311	0x33e03b-0x33e14c			out_of_recovered	12	1	242:12	246:12	+0x5:12	exact:12
366	0x365458-0x365488	366	0x365458-0x365488	intra_block	12	12	165:2,28:2,189:1,268:1,253:1,220:1,173:1,258:1	28:2,189:1,268:1,253:1,220:1,173:1,165:1,258:1	+0x4:5,+0x2:3,+0x3:2,+0x6:1,+0x5:1	exact:12
322	0x33fe02-0x340193			out_of_recovered	11	1	122:11	210:11	+0x5:11	exact:11
332	0x3416b4-0x341a45			out_of_recovered	11	1	122:11	145:11	+0x5:11	exact:11
346	0x34368f-0x343f0c			out_of_recovered	11	1	122:11	316:11	+0x5:11	exact:11
394	0x36b38e-0x36b693			out_of_recovered	11	1	123:11	78:11	+0x4:11	exact:11
395	0x36b6a4-0x36b896			out_of_recovered	11	1	122:11	210:11	+0x5:11	exact:11
323	0x3401a9-0x3401bb			out_of_recovered	10	1	257:10	308:10	+0x2:10	exact:10
333	0x341a5b-0x341a6d			out_of_recovered	10	1	257:10	266:10	+0x2:10	exact:10
347	0x343f22-0x343f34			out_of_recovered	10	1	108:10	117:10	+0x2:10	exact:10
370	0x36772d-0x367c0e			out_of_recovered	10	1	122:10	210:10	+0x5:10	exact:10
