rank	entry	target	priority_score	priority_class	next_action	selected_start	selected_stop	span_bytes	insns	function_count	covered_bytes	sidecar	function_names	function_ranges	semantics_observation	calls	rets	table_reads	ip_reads	frame_reads	frame_writes
108	22	0x7cb43	3333	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x7cb43	0x7d014	1233	265	3	1223	vm_unobserved_handlers_retdec_batch05.c	function_7cb43,function_7d009,function_7d00c	0x7cb43-0x7d007,0x7d009-0x7d00b,0x7d00c-0x7d00d	unobserved	0	0	dyn/8	+0x2/1,+0x0/2,+0x3/2	0x81,0x194,0x23,0x0,0x170,0xa,0x60,0x71,0x10f	0x23,0x170,0x71,0x60,0x0,0xa
109	81	0x88c3f	3400	tier3_multi_function_shared_range	recover_shared_chunks_or_split_by_entry	0x88c3f	0x8921b	1500	330	2	1490	vm_unobserved_handlers_retdec_batch06.c	function_88c3f,function_89216	0x88c3f-0x8920e,0x89216-0x89219	unobserved	0	0	dyn/8	+0x4/1,+0x2/2,+0x0/2	0x23,0xa,0x0,0x60,0x194,0x81,0x71,0x10f,0x170	0x170,0x71,0x0,0x60,0xa
110	76	0x87d17	3759	tier5_large_static_replay	defer_until_small_static_handlers_are_inlined	0x87d17	0x8813f	1059	234	1	1050	vm_unobserved_handlers_retdec_batch04.c	function_87d17	0x87d17-0x88131	unobserved	0	0	dyn/8	+0x2/4,+0x0/2	0x170,0x71,0x194,0x23,0xa,0x81,0x10f	0x23,0x170,0x16f,0x0,0xa
111	293	0xb593f	3798	tier5_large_static_replay	defer_until_small_static_handlers_are_inlined	0xb593f	0xb5d8a	1098	233	1	1085	vm_unobserved_handlers_retdec_batch05.c	function_b593f	0xb593f-0xb5d7c	unobserved	0	0	dyn/8	+0x0/4,+0x0/8,+0x8/2	0xa,0x23,0x81,0x194,0x10f,0x170	0x23,0x170,0x60,0xa
112	238	0xa94a5	3855	tier5_large_static_replay	defer_until_small_static_handlers_are_inlined	0xa94a5	0xa992c	1155	255	1	1145	vm_unobserved_handlers_retdec_batch05.c	function_a94a5	0xa94a5-0xa991e	unobserved	0	0	dyn/8	+0x2/1,+0x0/2,+0x3/2	0x0,0x23,0xa,0x60,0x81,0x71,0x170,0x194,0x10f	0x170,0x23,0x71,0x60,0x0,0xa
113	306	0xb7bba	3907	tier5_large_static_replay	defer_until_small_static_handlers_are_inlined	0xb7bba	0xb8072	1207	258	1	1194	vm_unobserved_handlers_retdec_batch05.c	function_b7bba	0xb7bba-0xb8064	unobserved	0	0	dyn/8	+0x0/4,+0x4/2	0x23,0x81,0x170,0xa,0x0,0x10f	0x170,0x23,0x16f,0x0,0xa
114	355	0xc240f	4001	tier5_large_static_replay	defer_until_small_static_handlers_are_inlined	0xc240f	0xc2927	1301	283	1	1291	vm_unobserved_handlers_retdec_batch05.c	function_c240f	0xc240f-0xc291a	unobserved	0	0	dyn/8	+0x4/1,+0x2/2,+0x0/2	0x23,0x194,0x81,0xa,0x0,0x60,0x71,0x10f	0x23,0x170,0x71,0x0,0x60,0xa
115	23	0x7d007	4221	tier5_large_static_replay	defer_until_small_static_handlers_are_inlined	0x7d007	0x7d5f9	1521	329	1	1509	vm_unobserved_handlers_retdec_batch06.c	function_7d007	0x7d007-0x7d5ec	unobserved	0	0	dyn/8	+0x2/1,+0x0/2,+0x3/2	0x0,0x81,0x71,0xa,0x23,0x60,0x194,0x170,0x10f	0x170,0x71,0x23,0x0,0x60,0xa
116	325	0xbba0f	4343	tier5_large_static_replay	defer_until_small_static_handlers_are_inlined	0xbba0f	0xbc07b	1643	353	1	1630	vm_unobserved_handlers_retdec_batch06.c	function_bba0f	0xbba0f-0xbc06d	unobserved	0	0	dyn/8	+0x2/1,+0x0/2,+0x3/2	0x71,0xa,0x60,0x81,0x0,0x194,0x23,0x10f	0x170,0x71,0x60,0x0,0xa
117	236	0xa87b6	4354	tier5_large_static_replay	defer_until_small_static_handlers_are_inlined	0xa87b6	0xa8e2d	1654	351	1	1641	vm_unobserved_handlers_retdec_batch06.c	function_a87b6	0xa87b6-0xa8e1f	unobserved	0	0	dyn/8	+0x2/1,+0x3/2,+0x0/2	0x0,0x23,0x170,0x81,0x194,0xa,0x60,0x71,0x10f	0x23,0x170,0x71,0x0,0x60,0xa
118	156	0x98354	4576	tier5_large_static_replay	defer_until_small_static_handlers_are_inlined	0x98354	0x98aa8	1876	408	1	1862	vm_unobserved_handlers_retdec_batch06.c	function_98354	0x98354-0x98a9a	unobserved	0	0	dyn/8	+0x4/1,+0x0/2,+0x2/2	0x23,0x194,0x0,0xa,0x81,0x170,0x60,0x71,0x10f	0x23,0x170,0x71,0x0,0x60,0xa
