rank	offset	end	bytes	semantic_covered_bytes	semantic_uncovered_bytes	coverage_x100	kind	name	nbbs	ninstrs	outdegree	priority_class	next_action	selected_range
2988	0x63d80	0x65248	5320	0	5320	0	r2_discovered	fcn.00063d80	11	1325	1	tier2_large_native_gap	targeted_retdec_with_timeout	0x63d80-0x65248
2989	0x524720	0x525b29	5129	0	5129	0	r2_discovered	fcn.00524720	132	960	46	tier2_large_native_gap	targeted_retdec_with_timeout	0x524720-0x525b29
2990	0x5282e0	0x5295e1	4865	0	4865	0	r2_discovered	fcn.005282e0	323	986	47	tier2_large_native_gap	targeted_retdec_with_timeout	0x5282e0-0x5295e1
2991	0x5378f0	0x538b82	4754	0	4754	0	r2_discovered	fcn.005378f0	93	876	51	tier2_large_native_gap	targeted_retdec_with_timeout	0x5378f0-0x538b82
2992	0x539b70	0x53ae01	4753	0	4753	0	r2_discovered	fcn.00539b70	315	952	49	tier2_large_native_gap	targeted_retdec_with_timeout	0x539b70-0x53ae01
2993	0x53af80	0x53c211	4753	0	4753	0	r2_discovered	fcn.0053af80	315	952	49	tier2_large_native_gap	targeted_retdec_with_timeout	0x53af80-0x53c211
2994	0x49f120	0x4a03ad	4749	0	4749	0	r2_discovered	fcn.0049f120	136	1041	62	tier2_large_native_gap	targeted_retdec_with_timeout	0x49f120-0x4a03ad
2995	0x4cb560	0x4cc7cd	4717	0	4717	0	r2_discovered	fcn.004cb560	1	1384	0	tier2_large_native_gap	targeted_retdec_with_timeout	0x4cb560-0x4cc7cd
2996	0x526ea0	0x528000	4448	0	4448	0	r2_discovered	fcn.00526ea0	292	897	41	tier2_large_native_gap	targeted_retdec_with_timeout	0x526ea0-0x528000
2997	0x55a5d0	0x55b699	4297	0	4297	0	r2_discovered	fcn.0055a5d0	96	818	45	tier2_large_native_gap	targeted_retdec_with_timeout	0x55a5d0-0x55b699
2998	0x4f1be0	0x4f2bd7	4087	0	4087	0	r2_discovered	fcn.004f1be0	10	579	57	tier2_large_native_gap	targeted_retdec_with_timeout	0x4f1be0-0x4f2bd7
2999	0x510590	0x51150e	3966	0	3966	0	r2_discovered	fcn.00510590	65	750	52	tier2_large_native_gap	targeted_retdec_with_timeout	0x510590-0x51150e
3000	0x5cd02	0x5dc67	3941	0	3941	0	r2_discovered	fcn.0005cd02	179	932	16	tier2_large_native_gap	targeted_retdec_with_timeout	0x5cd02-0x5dc67
