program	start_vm_ip	end_vm_ip	source_block	row_kind	source_entry	opcode_name	bytes	state_kind	dispatch_slot_kind	target_entry	target	delta	semantic_ir
000	0xd0b33	0xd0b36	0@0xd0ac0-0xd144b+0x73	exact_instruction	185	vmop_185_plus0x3_state_add_const_slot_multi_path	1c293a	state_add_const	slot_multi_path	258	258@0xadf2c:1	+0x3	next = 258@0xadf2c:1, ip += +0x3; dispatch_model=static_100; state=state_add_const
000	0xd0b36	0xd0b3a	0@0xd0ac0-0xd144b+0x76	exact_instruction	258	vmop_258_plus0x4_state_add_const_slot_multi_path	7d3b28db	state_add_const	slot_multi_path	26	26@0x7dbbb:1	+0x4	next = 26@0x7dbbb:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0b3a	0xd0b3e	0@0xd0ac0-0xd144b+0x7a	exact_instruction	26	vmop_026_plus0x4_state_add_const_slot_multi_path	9211e801	state_add_const	slot_multi_path	347	347@0xc088d:1	+0x4	next = 347@0xc088d:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0b3e	0xd0b42	0@0xd0ac0-0xd144b+0x7e	exact_instruction	347	vmop_347_plus0x4_state_add_const_slot_multi_path	a68c2a00	state_add_const	slot_multi_path	203	203@0xa1484:1	+0x4	next = 203@0xa1484:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0b42	0xd0b46	0@0xd0ac0-0xd144b+0x82	exact_instruction	203	vmop_203_plus0x4_state_add_const_slot_mba_stateful	9f91c096	state_add_const	slot_mba_stateful	307	307@0xb8064:1	+0x4	next = 307@0xb8064:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0b46	0xd0b49	0@0xd0ac0-0xd144b+0x86	exact_instruction	307	vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const	ce8db3	state_add_const	slot_u16_1_sub_const	315	315@0xb9451:1	+0x3	next = 315@0xb9451:1, ip += +0x3; dispatch_model=static_100; state=state_add_const
000	0xd0b49	0xd0b4d	0@0xd0ac0-0xd144b+0x89	exact_instruction	315	vmop_315_plus0x4_state_mixed_slot_mba_stateful	e80161f8	state_mixed	slot_mba_stateful	258	258@0xadf2c:1	+0x4	next = 258@0xadf2c:1, ip += +0x4; dispatch_model=static_100; state=state_mixed
000	0xd0b4d	0xd0b51	0@0xd0ac0-0xd144b+0x8d	exact_instruction	258	vmop_258_plus0x4_state_add_const_slot_multi_path	2b7d1bef	state_add_const	slot_multi_path	168	168@0x9aa83:1	+0x4	next = 168@0x9aa83:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0b51	0xd0b55	0@0xd0ac0-0xd144b+0x91	exact_instruction	168	vmop_168_plus0x4_state_add_const_slot_multi_path	5c5faace	state_add_const	slot_multi_path	28	28@0x7e390:1	+0x4	next = 28@0x7e390:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0b55	0xd0b58	0@0xd0ac0-0xd144b+0x95	exact_instruction	28	vmop_028_plus0x3_state_add_const_slot_u16_0	880980	state_add_const	slot_u16_0	305	305@0xb78b0:1	+0x3	next = 305@0xb78b0:1, ip += +0x3; dispatch_model=static_100; state=state_mixed
000	0xd0b58	0xd0b5c	0@0xd0ac0-0xd144b+0x98	exact_instruction	305	vmop_305_plus0x4_state_add_const_slot_mba_stateful	0ce9e801	state_add_const	slot_mba_stateful	215	215@0xa4609:1	+0x4	next = 215@0xa4609:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0b5c	0xd0b5f	0@0xd0ac0-0xd144b+0x9c	exact_instruction	215	vmop_215_plus0x3_state_mixed_slot_u16_0	880a08	state_mixed	slot_u16_0	337	337@0xbec0e:1	+0x3	next = 337@0xbec0e:1, ip += +0x3; dispatch_model=static_100; state=state_mixed
000	0xd0b5f	0xd0b63	0@0xd0ac0-0xd144b+0x9f	exact_instruction	337	vmop_337_plus0x4_state_add_const_slot_multi_path	4074900b	state_add_const	slot_multi_path	196	196@0x9fbcd:1	+0x4	next = 196@0x9fbcd:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0b63	0xd0b67	0@0xd0ac0-0xd144b+0xa3	exact_instruction	196	vmop_196_plus0x4_state_add_const_slot_multi_path	4d091ce0	state_add_const	slot_multi_path	315	315@0xb9451:1	+0x4	next = 315@0xb9451:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0b67	0xd0b6b	0@0xd0ac0-0xd144b+0xa7	exact_instruction	315	vmop_315_plus0x4_state_mixed_slot_mba_stateful	e80131f5	state_mixed	slot_mba_stateful	168	168@0x9aa83:1	+0x4	next = 168@0x9aa83:1, ip += +0x4; dispatch_model=static_100; state=state_mixed
000	0xd0b6b	0xd0b6f	0@0xd0ac0-0xd144b+0xab	exact_instruction	168	vmop_168_plus0x4_state_add_const_slot_multi_path	6071aecf	state_add_const	slot_multi_path	28	28@0x7e390:1	+0x4	next = 28@0x7e390:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0b6f	0xd0b72	0@0xd0ac0-0xd144b+0xaf	exact_instruction	28	vmop_028_plus0x3_state_add_const_slot_u16_0	100890	state_add_const	slot_u16_0	258	258@0xadf2c:1	+0x3	next = 258@0xadf2c:1, ip += +0x3; dispatch_model=static_100; state=state_add_const
000	0xd0b72	0xd0b76	0@0xd0ac0-0xd144b+0xb2	exact_instruction	258	vmop_258_plus0x4_state_add_const_slot_multi_path	c42c81eb	state_add_const	slot_multi_path	26	26@0x7dbbb:1	+0x4	next = 26@0x7dbbb:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0b76	0xd0b7a	0@0xd0ac0-0xd144b+0xb6	exact_instruction	26	vmop_026_plus0x4_state_add_const_slot_multi_path	a221e801	state_add_const	slot_multi_path	333	333@0xbd8af:1	+0x4	next = 333@0xbd8af:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0b7a	0xd0b7e	0@0xd0ac0-0xd144b+0xba	exact_instruction	333	vmop_333_plus0x4_state_add_const_slot_multi_path	bfe49100	state_add_const	slot_multi_path	185	185@0x9d964:1	+0x4	next = 185@0x9d964:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0b7e	0xd0b81	0@0xd0ac0-0xd144b+0xbe	exact_instruction	185	vmop_185_plus0x3_state_add_const_slot_multi_path	a0ff3a	state_add_const	slot_multi_path	64	64@0x85059:1	+0x3	next = 64@0x85059:1, ip += +0x3; dispatch_model=static_100; state=state_add_const
000	0xd0b81	0xd0b85	0@0xd0ac0-0xd144b+0xc1	exact_instruction	64	vmop_064_plus0x4_state_add_const_slot_multi_path	02de44ca	state_add_const	slot_multi_path	287	287@0xb45d2:1	+0x4	next = 287@0xb45d2:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0b85	0xd0b89	0@0xd0ac0-0xd144b+0xc5	exact_instruction	287	vmop_287_plus0x4_state_add_const_slot_multi_path	062ae801	state_add_const	slot_multi_path	215	215@0xa4609:1	+0x4	next = 215@0xa4609:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0b89	0xd0b8c	0@0xd0ac0-0xd144b+0xc9	exact_instruction	215	vmop_215_plus0x3_state_mixed_slot_u16_0	58015f	state_mixed	slot_u16_0	43	43@0x8173d:1	+0x3	next = 43@0x8173d:1, ip += +0x3; dispatch_model=static_100; state=state_add_const
000	0xd0b8c	0xd0b90	0@0xd0ac0-0xd144b+0xcc	exact_instruction	43	vmop_043_plus0x4_state_add_const_slot_mba_stateful	c8c2acbc	state_add_const	slot_mba_stateful	337	337@0xbec0e:1	+0x4	next = 337@0xbec0e:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0b90	0xd0b94	0@0xd0ac0-0xd144b+0xd0	exact_instruction	337	vmop_337_plus0x4_state_add_const_slot_multi_path	10942744	state_add_const	slot_multi_path	346	346@0xc0535:1	+0x4	next = 346@0xc0535:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0b94	0xd0b98	0@0xd0ac0-0xd144b+0xd4	exact_instruction	346	vmop_346_plus0x4_state_add_const_slot_multi_path	ccfde801	state_add_const	slot_multi_path	43	43@0x8173d:1	+0x4	next = 43@0x8173d:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0b98	0xd0b9c	0@0xd0ac0-0xd144b+0xd8	exact_instruction	43	vmop_043_plus0x4_state_add_const_slot_mba_stateful	3ed342ad	state_add_const	slot_mba_stateful	340	340@0xbf435:1	+0x4	next = 340@0xbf435:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
