program	start_vm_ip	end_vm_ip	source_block	row_kind	source_entry	opcode_name	bytes	state_kind	dispatch_slot_kind	target_entry	target	delta	semantic_ir
000	0xd0bc4	0xd0bc8	0@0xd0ac0-0xd144b+0x104	exact_instruction	121	vmop_121_plus0x4_state_add_const_slot_mba_stateful	4b60b68a	state_add_const	slot_mba_stateful	43	43@0x8173d:1	+0x4	next = 43@0x8173d:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0bc8	0xd0bcc	0@0xd0ac0-0xd144b+0x108	exact_instruction	43	vmop_043_plus0x4_state_add_const_slot_mba_stateful	eea832dd	state_add_const	slot_mba_stateful	64	64@0x85059:1	+0x4	next = 64@0x85059:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0bcc	0xd0bd0	0@0xd0ac0-0xd144b+0x10c	exact_instruction	64	vmop_064_plus0x4_state_add_const_slot_multi_path	f05cb836	state_add_const	slot_multi_path	79	79@0x885b0:1	+0x4	next = 79@0x885b0:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0bd0	0xd0bd5	0@0xd0ac0-0xd144b+0x110	exact_instruction	79	vmop_079_plus0x5_state_add_const_slot_multi_path	dec43d0100	state_add_const	slot_multi_path	144	144@0x95887:1	+0x5	next = 144@0x95887:1, ip += +0x5; dispatch_model=static_100; state=state_add_const
000	0xd0bd5	0xd0bd7	0@0xd0ac0-0xd144b+0x115	exact_instruction	144	vmop_144_plus0x2_state_mixed_slot_mba_stateful	af97	state_mixed	slot_mba_stateful	43	43@0x8173d:1	+0x2	next = 43@0x8173d:1, ip += +0x2; dispatch_model=static_100; state=state_mixed
000	0xd0bd7	0xd0bdb	0@0xd0ac0-0xd144b+0x117	exact_instruction	43	vmop_043_plus0x4_state_add_const_slot_mba_stateful	cc7f7801	state_add_const	slot_mba_stateful	347	347@0xc088d:1	+0x4	next = 347@0xc088d:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0bdb	0xd0bdf	0@0xd0ac0-0xd144b+0x11b	exact_instruction	347	vmop_347_plus0x4_state_add_const_slot_multi_path	19042907	state_add_const	slot_multi_path	124	124@0x91e81:1	+0x4	next = 124@0x91e81:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0bdf	0xd0be5	0@0xd0ac0-0xd144b+0x11f	exact_instruction	124	vmop_124_plus0x6_state_add_const_slot_multi_path	141970af4fc4	state_add_const	slot_multi_path	185	185@0x9d964:1	+0x6	next = 185@0x9d964:1, ip += +0x6; dispatch_model=static_100; state=state_add_const
000	0xd0be5	0xd0be8	0@0xd0ac0-0xd144b+0x125	exact_instruction	185	vmop_185_plus0x3_state_add_const_slot_multi_path	23953a	state_add_const	slot_multi_path	37	37@0x80685:1	+0x3	next = 37@0x80685:1, ip += +0x3; dispatch_model=static_100; state=state_add_const
000	0xd0be8	0xd0bed	0@0xd0ac0-0xd144b+0x128	exact_instruction	37	vmop_037_plus0x5_state_add_const_slot_mba_stateful	7d66003d01	state_add_const	slot_mba_stateful	198	198@0xa037e:1	+0x5	next = 198@0xa037e:1, ip += +0x5; dispatch_model=static_100; state=state_add_const
