start_vm_ip	source_entry	source_target	delta	bytes	byte_status	count	top_targets	top_site	state_class	state_events	top_state_add	top_flag_add	top_byte_add	state_affine_status	state_affine_cv_status	state_affine_cv_pct	state_affine_terms	state_static_pct	state_static_mismatches	static_dispatch_pct	static_dispatch_mismatches	static_ip_pct	static_ip_mismatches	dispatch_model	dispatch_model_pct	target_reg	slot_kind	slot_reg_or_temp	byte_index_reg	static_load_site	static_index_add_site	tail_role_events	dispatch_formula	dispatch_formula_class	dispatch_formula_pct	dispatch_affine_status	dispatch_affine_pct	dispatch_affine_terms	dispatch_affine_cv_status	dispatch_affine_cv_pct
0x230011	201	0xa0dca	+0x5	3d01a1c5e1	exact	256	173@0x9ba74:256	0xa13d3	state_add_const	256	-0x48afc25c:256	-0x4321964b:256	+0x0:256	fit	partial	99.1	139	100.0	0	100.0	0	100.0	0	static_100	100.0	r10	live_slot	r15	rdi			340	constant:0x568	constant_target	75.6	fit	100.0	48	partial	99.1
0x230016	173	0x9ba74	+0x2	ce8c	exact	256	196@0x9fbcd:256	0x9bd8c	state_add_const	256	+0x30daf844:256	+0x34daaf09:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r11	live_slot	r12	r9			2374	constant:0x200	constant_target	14.4	inconsistent	0.0	0	no_train_fit	0.0
0x230018	196	0x9fbcd	+0x4	237754f0	exact	256	66@0x855ff:256	0xa0068	state_add_const	256	+0x30121902:256	+0x73460826:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r10	live_slot	rdi	r11			4957	constant:0xaa0	constant_target	11.5	inconsistent	0.0	0	no_train_fit	0.0
0x23001c	66	0x855ff	+0x3	e2c138	exact	256	300@0xb6c36:256	0x859f9	state_add_const	256	-0xf42dab3:256	-0x417c3c42:256	+0xea:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r8	live_slot	r11	rdx			7189	constant:0xa88	constant_target	8.0	inconsistent	0.0	0	no_train_fit	0.0
0x23001f	300	0xb6c36	+0x4	270979bc	exact	256	337@0xbec0e:256	0xb708a	state_add_const	256	-0x20d082d6:256	-0x21c844c8:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r12	live_slot	r14	rcx			2214	constant:0x810	constant_target	23.4	inconsistent	0.0	0	no_train_fit	0.0
0x230023	337	0xbec0e	+0x4	402def44	exact	256	79@0x885b0:256	0xbf126	state_add_const	256	+0x2070f701:256	+0x61f749a7:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	rbx	live_slot	r10	r11			7506	constant:0x210	constant_target	6.4	inconsistent	0.0	0	no_train_fit	0.0
0x230027	79	0x885b0	+0x5	36283d0100	exact	256	257@0xadbfd:256	0x88a55	state_add_const	256	-0x3428a3c:256	+0xb8dd3bf:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r10	live_slot	r9	r14			1337	constant:0x808	constant_target	28.8	inconsistent	0.0	0	no_train_fit	0.0
0x23002c	257	0xadbfd	+0x2	27b5	exact	256	172@0x9b68a:256	0xadf29	state_mixed	257	-0x1d2e7d97:256,-0x5f581d97:1	+0x504040:256,+0x6800a880:1	+0x0:257	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r14	live_slot	rcx				2408	constant:0x560	constant_target	32.1	inconsistent	0.0	0	no_train_fit	0.0
0x23002e	172	0x9b68a	+0x4	5a71ab03	exact	256	307@0xb8064:256	0x9ba72	state_add_const	256	+0x79e0af53:256	-0x1dd40cb:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	rsi	live_slot	r8	r15			4531	constant:0xe0	constant_target	7.9	fit	100.0	13	robust	100.0
0x230032	307	0xb8064	+0x3	3615b4	exact	256	332@0xbd36d:256	0xb837a	state_add_const	256	-0x77deb9e2:256	-0x286904a4:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	rcx	live_slot	rdx	r13			7052	constant:0x570	constant_target	6.4	inconsistent	0.0	0	no_train_fit	0.0
0x230035	332	0xbd36d	+0x4	0bd7ffc7	exact	256	347@0xc088d:256	0xbd8ad	state_add_const	256	+0x400da144:256	-0x43508e13:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	rsi	live_slot	r8	r11			1880	constant:0xad8	constant_target	14.1	inconsistent	0.0	0	no_train_fit	0.0
0x230039	347	0xc088d	+0x4	8d0b6f82	exact	256	37@0x80685:256	0xc0d7b	state_add_const	256	-0x3415d824:256	-0x7b75e685:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	rdi	live_slot	r8	r11			8166	constant:0x540	constant_target	8.0	inconsistent	0.0	0	no_train_fit	0.0
0x23003d	37	0x80685	+0x5	743e003d01	exact	256	256@0xad849:256	0x80d77	state_add_const	256	+0x2f66c1ba:256	+0x5a35993b:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	rdx	live_slot	r15	r9			1003	constant:0x800	constant_target	32.9	inconsistent	0.0	0	no_train_fit	0.0
0x230042	256	0xad849	+0x2	3d27	exact	256	340@0xbf435:256	0xadbfa	state_add_const	256	-0x1a4f2ad2:256	+0x26eaffa9:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r9	consumed_slot	r10	r14	0xadbd0	0xadbae	1516	constant:0xaa0	constant_target	19.5	inconsistent	0.0	0	no_train_fit	0.0
0x230044	340	0xbf435	+0x4	4c0eab00	exact	256	28@0x7e390:256	0xbf886	state_const_post	257	-0x2c198801:256,-0x4b8987f1:1	+0x45584ff2:256,-0x36572fee:1	+0x0:257	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r15	live_slot	r8	r14			7554	constant:0xe0	constant_target	6.9	inconsistent	0.0	0	no_train_fit	0.0
0x230048	28	0x7e390	+0x3	00049a	exact	256	128@0x9299b:256	0x7e7ca	state_add_const	256	-0x46223400:256	-0xc20ded6:256	+0x28:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r11	live_slot	rbx	r14			8351	u16_0	direct_u16	100.0	fit	100.0	9	robust	100.0
0x23004b	128	0x9299b	+0x5	6279c0b716	exact	256	268@0xb0007:256	0x92f1f	state_add_const	256	-0x5dd043bf:256	-0x1a4f949c:256	+0x0:256	fit	partial	97.0	569	100.0	0	100.0	0	100.0	0	static_100	100.0	rdx	live_slot	r13	rcx			955	constant:0x200	constant_target	27.2	fit	100.0	216	partial	97.0
0x230050	268	0xb0007	+0x4	c0c5726b	exact	256	301@0xb708d:256	0xb0458	state_add_const	256	+0x108a2789:256	+0x75e0855d:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r15	live_slot	r13	r10			3696	constant:0x798	constant_target	11.1	inconsistent	0.0	0	no_train_fit	0.0
0x230054	301	0xb708d	+0x5	003d019018	exact	256	198@0xa037e:256	0xb7583	state_add_const	256	+0x305df8c8:256	+0x354aaedc:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r8	live_slot	rax	rbx			2037	constant:0x500	constant_target	26.4	inconsistent	0.0	0	no_train_fit	0.0
0x230059	198	0xa037e	+0x2	e3ef	exact	256	215@0xa4609:256	0xa062e	state_add_const	256	+0x2c2332b9:256	+0x15b2dfa5:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r14	live_slot	rbx	rdi			2441	constant:0x960	constant_target	13.4	inconsistent	0.0	0	no_train_fit	0.0
