source_block	source_start_vm_ip	source_terminal_vm_ip	target_block	target_vm_ip	edge_kind	target_coverage_statuses	events	terminal_kind	source_entry	target_entry	delta	semantic_ir
19	0xd5b25	0xd5cf7		0xd5cfb	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	123	356	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
20	0xd5d09	0xd5eb8		0xd5ebc	covered_synthetic_fallthrough	target_footprint_of_6:1	1	exact_instruction	123	195	+0x4	next = 195@0x9fb50:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
21	0xd718e	0xd73aa		0xd73ae	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	174	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
22	0xd73bc	0xd75ed		0xd75f1	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	158	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
23	0xd75ff	0xd77c4		0xd77c8	covered_synthetic_fallthrough	hidden_span_of_17:1	1	exact_instruction	158	69	+0x4	next = 69@0x85f24:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
24	0xd77d9	0xd78ea	25	0xda38f	decoded_control		1	long_branch_forward	75	171	+0x2aa5	next = table[171], ip += 0x2aa5
25	0xda38f	0xda4ac		0xda4b0	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	184	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
26	0xda4be	0xda5e7	27	0xdac57	decoded_control		1	long_branch_forward	210	165	+0x670	next = table[165], ip += 0x670
27	0xdac57	0xdad74		0xdad78	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	176	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
28	0xdad86	0xdaf35		0xdaf39	covered_synthetic_fallthrough	target_footprint_of_6:1	1	exact_instruction	184	195	+0x4	next = 195@0x9fb50:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
29	0x11ac5e	0x11aedc		0x11aee0	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	20	311	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100; state=state_mixed
30	0x11aeee	0x11b11e		0x11b122	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	176	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
31	0x11b130	0x11b360		0x11b364	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	174	311	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
32	0x11b372	0x11b5a2		0x11b5a6	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	176	356	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
33	0x11b5b4	0x11b7e4		0x11b7e8	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	174	311	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
34	0x11b7f6	0x11ba26		0x11ba2a	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	176	356	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
35	0x11ba38	0x11bb79		0x11bb7e	covered_synthetic_fallthrough	hidden_span_of_17:1	1	exact_instruction	52	145	+0x5	next = 145@0x95b5c:1, ip += +0x5; dispatch_model=static_100; state=state_add_const
36	0x11bb8f	0x11bbd4	37	0x11bc28	decoded_control		1	long_branch_forward	308	171	+0x54	next = table[171], ip += 0x54
37	0x11bc28	0x11bd5b		0x11bd5f	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	123	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
38	0x11bd6d	0x11beae		0x11beb3	covered_synthetic_fallthrough	hidden_span_of_17:1	1	exact_instruction	52	334	+0x5	next = 334@0xbdd18:1, ip += +0x5; dispatch_model=static_100; state=state_add_const
39	0x11bec4	0x11bf09	40	0x11bf5d	decoded_control		1	long_branch_forward	266	354	+0x54	next = table[354], ip += 0x54
40	0x11bf5d	0x11c0a8		0x11c0ac	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	20	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
41	0x11c0ba	0x11c1fb		0x11c200	covered_synthetic_fallthrough	hidden_span_of_17:1	1	exact_instruction	122	334	+0x5	next = 334@0xbdd18:1, ip += +0x5; dispatch_model=static_100; state=state_add_const
