source_entry	source_target	delta	events	source_event_pct	unique_start_ips	unique_signatures	shape	word_shape	target_entropy	top_targets	top_sites	top_byte_values	byte_layout	word_layout
37	0x80685	+0x5	2035	100.0	221	221	VVVCC	VV	2.771	160@0x994cf:437,257@0xadbfd:427,256@0xad849:373,144@0x95887:276,352@0xc1ec4:163,108@0x8f24b:159	tail@0x80d77:2035	743e003d01:256,c15c693d01:256,d860003d01:125,7315003d01:92,994f003d01:92,3636003d01:91	b0=var141(top=0xc1:12.7%);b1=var150(top=0x3e:12.6%);b2=var27(top=0x00:78.2%);b3=0x3d;b4=0x01	w0=var220(top=0x3e74:12.6%);w1=var27(top=0x3d00:78.2%)
254	0xad32c	+0x4	1988	100.0	242	242	VVVV	VV	3.929	180@0x9cf32:282,66@0x855ff:270,183@0x9d495:207,28@0x7e390:197,91@0x8b6de:184,297@0xb64d7:160	tail@0xad766:1988	749cb243:256,5c478242:125,80015a47:92,e4907a44:91,e3fee246:91,9a2ca243:91	b0=var150(top=0x74:15.5%);b1=var153(top=0x9c:13.1%);b2=var24(top=0x42:14.4%);b3=var12(top=0x47:31.7%)	w0=var236(top=0x9c74:12.9%);w1=var44(top=0x4742:14.2%)
253	0xacfb1	+0x6	1984	100.0	332	332	VVVVVV	VVV	4.436	297@0xb64d7:269,199@0xa0631:208,337@0xbec0e:194,28@0x7e390:173,17@0x7bae9:151,340@0xbf435:125	tail@0xad329:1984	46c134a10408:256,86b88ac6a9c6:150,36bef88e1eb5:92,36be8557860d:91,deb890f2c34d:91,86c2739d775a:91	b0=var26(top=0x86:22.2%);b1=var11(top=0xc2:20.1%);b2=var177(top=0x34:17.8%);b3=var157(top=0xa1:13.2%);b4=var160(top=0x04:13.3%);b5=var155(top=0x08:13.9%)	w0=var48(top=0xc146:13.6%);w1=var326(top=0xa134:13.1%);w2=var288(top=0x0804:13.0%)
345	0xc02e4	+0x6	1883	100.0	305	305	VVVVVV	VVV	4.347	52@0x833c7:345,196@0x9fbcd:333,172@0x9b68a:109,189@0x9e7af:104,37@0x80685:98,192@0x9f00a:86	tail@0xc0532:1883	693f111cc434:256,f99a1dd68333:125,a99295e9f443:92,a802eed25516:91,8d36c8ec00fe:91,2960cfa1fa7f:91	b0=var164(top=0x69:13.6%);b1=var150(top=0x3f:13.6%);b2=var165(top=0x11:13.6%);b3=var164(top=0x1c:13.6%);b4=var162(top=0xc4:13.6%);b5=var157(top=0x34:13.6%)	w0=var305(top=0x3f69:13.6%);w1=var303(top=0x1c11:13.6%);w2=var283(top=0x34c4:13.6%)
354	0xc2241	+0x2	1872	100.0	178	178	VE	V	3.872	185@0x9d964:251,268@0xb0007:225,168@0x9aa83:197,340@0xbf435:195,157@0x98a9a:190,189@0x9e7af:188	tail@0xc240d:1872	b900:251,0c01:225,a800:197,5401:195,9d00:190,bd00:188	b0=var33(top=0xb9:13.4%);b1=enum2(0x00:1252,0x01:620)	w0=var34(top=0x00b9:13.4%)
319	0xba72f	+0x5	1850	100.0	225	225	CCVVV	CV	2.742	173@0x9ba74:559,257@0xadbfd:324,144@0x95887:250,108@0x8f24b:207,198@0xa037e:186,160@0x994cf:161	tail@0xbada2:1850	3d01862e00:260,3d01e6c300:256,3d01e62b00:167,3d01ab2c00:152,3d01ee2900:102,3d01e66b71:91	b0=0x3d;b1=0x01;b2=var42(top=0xe6:28.4%);b3=var47(top=0x2e:17.5%);b4=var21(top=0x00:79.0%)	w0=0x013d;w1=var140(top=0x2e86:14.1%)
180	0x9cf32	+0x4	1848	100.0	382	382	VVCC	VC	4.169	168@0x9aa83:355,79@0x885b0:232,337@0xbec0e:148,269@0xb045b:134,157@0x98a9a:129,297@0xb64d7:117	tail@0x9d13d:1848	3b0be801:355,7308e801:232,8310e801:148,630ee801:134,e30ae801:129,430fe801:117	b0=var20(top=0x3b:19.2%);b1=var11(top=0x0b:23.6%);b2=0xe8;b3=0x01	w0=var31(top=0x0b3b:19.2%);w1=0x01e8
322	0xbb3c9	+0x4	1847	100.0	213	213	VVVV	VV	3.819	91@0x8b6de:280,347@0xc088d:276,157@0x98a9a:257,183@0x9d495:172,337@0xbec0e:134,64@0x85059:98	tail@0xbb6e3:1847	13005796:256,77beac94:92,e83bb144:91,4e13944a:91,0981d493:91,1c9e2f37:91	b0=var132(top=0x13:14.0%);b1=var123(top=0x00:19.2%);b2=var119(top=0x57:13.9%);b3=var104(top=0x96:14.7%)	w0=var202(top=0x0013:13.9%);w1=var187(top=0x9657:13.9%)
351	0xc1d48	+0x5	1844	100.0	114	114	CCVVC	CV	4.039	297@0xb64d7:256,258@0xadf2c:188,189@0x9e7af:185,172@0x9b68a:182,28@0x7e390:102,254@0xad32c:98	tail@0xc1ec2:1844	e8011b2210:256,e801783d10:92,e801f0b110:91,e801296e10:91,e801203d10:91,e801d83910:91	b0=0xe8;b1=0x01;b2=var81(top=0x1b:13.9%);b3=var76(top=0x22:13.9%);b4=0x10	w0=0x01e8;w1=var109(top=0x221b:13.9%)
165	0x9a24c	+0x2	1825	100.0	159	159	VE	V	3.577	114@0x90319:356,333@0xbd8af:215,340@0xbf435:198,268@0xb0007:188,203@0xa1484:186,18@0x7be9b:159	tail@0x9a46b:1825	7200:356,4d01:215,5401:198,0c01:188,cb00:186,1200:159	b0=var30(top=0x72:19.5%);b1=enum2(0x00:1070,0x01:755)	w0=var31(top=0x0072:19.5%)
