entry	target	observed_target	target_hits	tail_site	tail_reg	tail_distance	tail_site_hits	source_events	unique_vm_ips	top_ip_deltas	top_targets	top_sites	static_stop	insns	span_bytes	cond_jumps	jmps	calls	rets	frame_reads	frame_writes	ip_reads	table_reads	top_mnemonics
62	0x84aa3	1	120	0x84e1b	rax	0x378	120	120	16	+0x4:120	157@0x98a9a:93,307@0xb8064:13,347@0xc088d:3,200@0xa0a9e:2,253@0xacfb1:2	tail@0x84e1b:120	0x84e2b	194	903	1	2	0	0	0xa:2,0x81:2,0x23:1,0xbb:1,0x194:1,0x71:1,0x10f:1,0x170:1	0x170:3,0x23:2,0x81:1,0xa:1	+0x2/2:1,+0x0/2:1	dyn/8:1	add:55,mov:46,sub:24,and:23,xor:22,or:18,movzx:2,jmp:2
63	0x84e1d	0	0	0x85056	r9	0x239	0	0	0				0x85066	126	584	2	2	0	0	0xa:8,0x81:1,0x199:1,0x10f:1,0x170:1,0x194:1	0x170:1,0xa:1	+0x0/2:2,+0x4/2:2,+0x7/2:1,+0x6/1:1,+0x9/2:1,+0x2/2:1	dyn/8:1	mov:42,add:37,xor:11,and:10,movzx:6,sub:6,or:6,cmp:2
64	0x85059	1	23676	0x8536e	r13	0x315	23679	23676	2222	+0x4:23676	18@0x7be9b:2091,28@0x7e390:1633,199@0xa0631:1345,184@0x9d694:1255,215@0xa4609:1065	tail@0x8536e:23676	0x8537e	170	801	2	1	0	0	0x23:4,0x170:3,0x0:3,0x194:2,0xa:2,0x81:1,0x71:1,0x10f:1	0x23:4,0x170:3,0x0:1,0x16f:1,0xa:1	+0x2/2:1,+0x0/2:1	dyn/8:1	mov:59,add:55,xor:14,sub:13,and:11,or:8,cmp:5,je:2
65	0x85371	1	23	0x855fc	r13	0x28b	23	23	16	+0x4:23	18@0x7be9b:4,253@0xacfb1:4,199@0xa0631:2,43@0x8173d:2,337@0xbec0e:2	tail@0x855fc:23	0x8560c	155	667	0	1	0	0	0xa:2,0x170:2,0x23:2,0x81:2,0xbb:1,0x10f:1	0x23:2,0x81:1,0xa:1	+0x2/2:1,+0x0/2:1	dyn/8:1	add:43,mov:33,xor:24,sub:19,or:17,and:16,movzx:2,jmp:1
66	0x855ff	1	22733	0x859f9	r8	0x3fa	22734	22733	2180	+0x3:22733	337@0xbec0e:1650,64@0x85059:1561,340@0xbf435:1335,184@0x9d694:1324,189@0x9e7af:1320	tail@0x859f9:22733	0x85a09	221	1031	4	4	0	0	0x81:7,0x170:5,0x0:3,0x23:2,0xa:2,0x194:1,0x10f:1	0x170:6,0x23:3,0x194:1,0xa:1	+0x2/1:1,+0x0/2:1	dyn/8:1	mov:63,add:58,and:30,or:21,sub:18,xor:14,cmp:7,je:4
67	0x859fc	0	0	0x85b87	rax	0x18b	0	0	0				0x85b97	91	409	1	2	0	0	0xa:4,0x23:2,0x10f:1,0x170:1	0x170:4,0xa:1	+0x4/2:1,+0x6/2:1,+0x0/2:1,+0x2/2:1	dyn/8:1	mov:32,add:30,or:7,and:5,sub:4,movzx:4,xor:3,jmp:2
68	0x85b89	0	0	0x85f22	rsi	0x399	0	0	0				0x85f32	210	936	6	1	0	0	0xa:5,0x60:2,0x0:2,0x23:2,0x194:1,0x71:1,0x10f:1,0x170:1	0x71:2,0x23:2,0x60:1,0x0:1,0x170:1,0xa:1	+0x3/2:2,+0x2/1:1,+0x0/2:1	dyn/8:1	mov:57,add:54,and:23,xor:16,sub:16,or:14,cmp:6,jne:4
69	0x85f24	1	23	0x86763	r8	0x83f	1629	2	1	+0xd:2	310@0xb8556:2	dispatch@0xc80b9:2	0x86773	474	2127	10	3	0	1	0xa:14,0xbb:6,0x23:5,0x81:4,0x170:4,0x71:3,0x50:2,0x60:2,0x0:2,0x194:1,0x10f:1	0x23:6,0x170:5,0x71:2,0x1dc:1,0x60:1,0x0:1,0xa:1	+0x7/4:4,+0x0/1:2,+0x1/1:2,+0x2/1:2,+0x3/4:1,+0xb/2:1,+0x3/2:1,+0x0/2:1	dyn/8:1	mov:144,add:140,or:41,xor:37,sub:33,and:29,pop:16,cmp:10
70	0x8610e	1	1629	0x86763	r8	0x655	1629	1629	229	+0x5:1629	108@0x8f24b:577,198@0xa037e:236,144@0x95887:215,256@0xad849:181,160@0x994cf:165	tail@0x86763:1629	0x86773	354	1637	6	2	0	0	0x23:5,0x81:4,0x170:4,0x71:3,0xa:3,0x60:2,0x0:2,0x194:1,0x10f:1	0x23:6,0x170:5,0x71:2,0x60:1,0x0:1,0xa:1	+0x2/1:1,+0x3/2:1,+0x0/2:1	dyn/8:1	add:98,mov:97,or:41,xor:37,sub:31,and:29,cmp:6,jne:4
71	0x86766	0	0	0x868bb	rsi	0x155	0	0	0				0x868cb	74	353	1	2	0	0	0xa:4,0x170:1,0x10f:1	0xa:1	+0x4/2:1,+0x6/2:1,+0x0/2:1,+0x2/2:1	dyn/8:1	add:25,mov:24,sub:6,movzx:4,or:4,and:3,jmp:2,xor:2
72	0x868bd	0	0	0x86be2	rdx	0x325	0	0	0				0x86bf2	183	819	2	2	0	0	0xa:8,0x199:1,0x81:1,0x10f:1,0x170:1	0x170:2,0xa:1	+0x9/2:2,+0x3/2:2,+0x7/2:1,+0x2/1:1,+0x5/2:1,+0x0/2:1	dyn/8:1	add:48,mov:47,xor:22,and:20,sub:17,or:15,movzx:6,cmp:2
73	0x86be4	0	0	0x86d40	r13	0x15c	0	0	0				0x86d50	80	364	1	2	0	0	0xa:4,0x10f:1,0x170:1	0x170:2,0xa:1	+0x4/2:1,+0x6/2:1,+0x0/2:1,+0x2/2:1	dyn/8:1	mov:24,add:23,sub:7,xor:7,and:6,movzx:4,or:3,jmp:2
74	0x86d43	1	33	0x873fa	rsi	0x6b7	33	33	13	+0x5:33	160@0x994cf:9,108@0x8f24b:9,352@0xc1ec4:5,198@0xa037e:4,173@0x9ba74:4	tail@0x873fa:33	0x8740a	380	1734	7	2	0	0	0x170:6,0x0:4,0x71:3,0x81:3,0xa:3,0x23:2,0x194:2,0x60:2,0x10f:1	0x23:7,0x170:3,0x71:2,0x60:1,0x0:1,0xa:1	+0x4/1:1,+0x2/2:1,+0x0/2:1	dyn/8:1	add:103,mov:90,sub:50,xor:44,and:37,or:31,cmp:9,jne:4
75	0x873fc	1	411	0x87c25	r14	0x829	276	276	14	-0x6d:255,+0x60:9,+0x30:2,+0x288:2,+0x28b:2	171@0x9b4b3:256,165@0x9a24c:16,354@0xc2241:4	tail@0x87c25:276	0x87c35	442	2105	39	3	0	0	0xa:4,0x10f:1,0x12:1	0x12:19,0xa:2	+0x8/2:1,+0xa/1:1,+0x0/2:1,+0x4/4:1	dyn/8:1	mov:93,add:73,and:59,sub:51,or:51,xor:39,jne:25,cmp:23
76	0x87d17	0	0	0x8812f	rdi	0x418	0	0	0				0x8813f	234	1059	0	1	0	0	0x170:4,0x71:3,0x194:3,0x23:3,0xa:2,0x81:1,0x10f:1	0x23:5,0x170:4,0x16f:1,0x0:1,0xa:1	+0x2/4:1,+0x0/2:1	dyn/8:1	add:59,mov:53,sub:37,xor:34,and:28,or:21,movzx:1,jmp:1
77	0x88131	0	0	0x883be	rbx	0x28d	0	0	0				0x883ce	147	668	1	1	0	0	0xa:4,0x0:2,0x71:1,0x10f:1	0x71:2,0x0:1,0x23:1,0x170:1,0xa:1	+0x2/1:1,+0x3/2:1,+0x0/2:1	dyn/8:1	mov:40,add:40,sub:19,xor:16,or:12,and:11,cmp:2,movzx:2
78	0x883c0	1	20	0x88a55	r10	0x695	3633	1	1	+0xd:1	310@0xb8556:1	dispatch@0xc80b9:1	0x88a65	384	1701	7	3	0	1	0xa:15,0xbb:6,0x23:4,0x81:3,0x0:3,0x170:3,0x50:2,0x60:2,0x71:2,0x194:1,0x10f:1	0x170:8,0x71:2,0x1dc:1,0x60:1,0x23:1,0x0:1,0xa:1	+0x7/4:4,+0x0/1:2,+0x1/1:2,+0x3/4:1,+0x2/1:1,+0xb/2:1,+0x4/1:1,+0x2/2:1,+0x0/2:1	dyn/8:1	mov:122,add:120,xor:31,or:26,sub:24,and:18,pop:16,cmp:9
79	0x885b0	1	3633	0x88a55	r10	0x4a5	3633	3633	417	+0x5:3633	257@0xadbfd:865,198@0xa037e:745,160@0x994cf:451,108@0x8f24b:397,144@0x95887:373	tail@0x88a55:3633	0x88a65	264	1205	3	2	0	0	0x23:4,0xa:4,0x81:3,0x0:3,0x170:3,0x60:2,0x71:2,0x194:1,0x10f:1	0x170:8,0x71:2,0x60:1,0x23:1,0x0:1,0xa:1	+0x4/1:1,+0x2/2:1,+0x0/2:1	dyn/8:1	add:78,mov:75,xor:31,or:26,sub:22,and:18,cmp:5,je:3
80	0x88a58	1	18	0x8920b	r15	0x7b3	0	0	0				0x8921b	450	1987	10	3	0	1	0xa:14,0xbb:6,0x23:3,0x50:2,0x0:2,0x60:2,0x194:2,0x81:2,0x71:1,0x10f:1,0x170:1	0x170:6,0x71:2,0x1dc:1,0x0:1,0x60:1,0xa:1	+0x7/4:4,+0x0/1:2,+0x1/1:2,+0x3/4:1,+0x2/1:1,+0xb/2:1,+0x4/1:1,+0x2/2:1,+0x0/2:1	dyn/8:1	add:121,mov:119,and:51,xor:47,sub:41,or:21,pop:16,cmp:10
81	0x88c3f	0	0	0x8920b	r15	0x5cc	0	0	0				0x8921b	330	1500	6	2	0	0	0x23:3,0xa:3,0x0:2,0x60:2,0x194:2,0x81:2,0x71:1,0x10f:1,0x170:1	0x170:6,0x71:2,0x0:1,0x60:1,0xa:1	+0x4/1:1,+0x2/2:1,+0x0/2:1	dyn/8:1	add:79,mov:72,and:51,xor:47,sub:39,or:21,cmp:6,jne:4
82	0x8920e	1	142	0x89478	r8	0x26a	142	142	11	+0x3:142	99@0x8c99a:67,333@0xbd8af:65,217@0xa4b11:4,307@0xb8064:2,168@0x9aa83:2	tail@0x89478:142	0x89488	136	634	5	4	0	0	0x81:3,0x23:3,0x71:2,0xa:2,0x170:2,0x0:1,0x10f:1	0x23:2,0x170:2,0xe1:1,0xa:1	+0x2/1:1,+0x0/2:1	dyn/8:1	mov:43,add:42,and:11,xor:10,sub:8,cmp:6,or:6,je:5
83	0x8947b	1	2508	0x89839	rdi	0x3be	2508	2508	432	+0x5:2508	173@0x9ba74:548,108@0x8f24b:441,160@0x994cf:336,257@0xadbfd:286,352@0xc1ec4:284	tail@0x89839:2508	0x89849	206	973	4	3	0	0	0x81:3,0xa:3,0x0:2,0x60:2,0x23:2,0x170:2,0x71:1,0x10f:1	0x170:5,0x71:2,0x23:2,0x0:1,0x60:1,0xa:1	+0x2/1:1,+0x3/2:1,+0x0/2:1	dyn/8:1	add:60,mov:57,sub:24,xor:18,or:16,and:15,cmp:5,je:4
84	0x8983b	0	0	0x89b35	rsi	0x2fa	0	0	0				0x89b45	179	777	5	1	0	0	0xa:4,0x0:3,0x170:2,0x194:1,0x23:1,0x71:1,0x10f:1	0x170:3,0x71:2,0x0:1,0xa:1	+0x3/2:2,+0x2/1:1,+0x0/2:1	dyn/8:1	mov:46,add:44,xor:17,and:16,sub:16,or:12,cmp:6,jne:4
85	0x89b37	1	1	0x8a37d	rdi	0x846	1	1	1	+0xd:1	64@0x85059:1	tail@0x8a37d:1	0x8a38d	466	2133	38	3	0	1	0xa:6,0x12:1,0xbb:1,0x10f:1,0x194:1	0x12:19,0x1dc:1,0xa:1	+0x6/2:1,+0x8/1:1,+0x0/4:1,+0x4/2:1,+0x9/2:1,+0xb/2:1	dyn/8:1	mov:107,add:89,and:60,or:43,xor:38,sub:37,jne:25,cmp:22
86	0x8a37f	1	5	0x8a49b	r8	0x11c	13	5	2	+0x4:5	310@0xb8556:4,169@0x9af18:1	tail@0x8a49b:5	0x8a4ab	63	297	0	1	0	0	0x194:1,0xa:1,0x10f:1	0xa:1	+0x0/2:1	dyn/8:1	add:24,mov:17,and:10,or:5,sub:3,xor:2,shl:1,jmp:1
87	0x8a49e	1	12	0x8aa11	r14	0x573	12	12	3	+0x5:12	257@0xadbfd:4,108@0x8f24b:4,256@0xad849:4	tail@0x8aa11:12	0x8aa21	296	1405	5	1	0	0	0x23:3,0x0:3,0xa:3,0x81:2,0x60:2,0x170:1,0x194:1,0x71:1,0x10f:1	0x170:7,0x71:2,0x23:1,0x60:1,0x0:1,0xa:1	+0x4/1:1,+0x0/2:1,+0x2/2:1	dyn/8:1	mov:81,add:75,and:42,or:29,xor:29,sub:21,cmp:6,jne:4
88	0x8aa14	1	149	0x8b026	rsi	0x612	149	149	11	+0x5:149	352@0xc1ec4:65,257@0xadbfd:64,173@0x9ba74:11,256@0xad849:6,108@0x8f24b:3	tail@0x8b026:149	0x8b036	337	1566	6	2	0	0	0x194:4,0x170:3,0x0:3,0xa:3,0x60:2,0x81:2,0x71:2,0x23:1,0x10f:1	0x170:3,0x71:2,0x60:1,0x0:1,0xa:1	+0x0/1:1,+0x3/2:1,+0x1/2:1	dyn/8:1	mov:79,add:64,xor:51,sub:42,or:40,and:39,cmp:7,jne:4
89	0x8b028	0	0	0x8b332	rcx	0x30a	0	0	0				0x8b342	174	793	3	3	0	0	0xa:8,0x199:1,0x81:1,0x10f:1,0x170:1,0x23:1	0x170:1,0xa:1	+0x1/2:2,+0x5/2:2,+0x3/2:1,+0x0/1:1,+0x7/2:1,+0x9/2:1	dyn/8:1	add:44,mov:42,or:25,xor:16,and:16,sub:14,movzx:6,cmp:3
90	0x8b334	1	567	0x8b6db	r12	0x3a7	567	567	96	+0x4:567	49@0x82820:257,260@0xae90b:64,140@0x94e5a:34,220@0xa522e:32,3@0x78c77:25	tail@0x8b6db:567	0x8b6eb	204	950	0	1	0	0	0x23:5,0xa:2,0x0:1,0x170:1,0x194:1,0x10f:1,0x81:1	0x170:9,0x23:2,0x81:1,0xa:1	+0x2/2:1,+0x0/2:1	dyn/8:1	add:62,mov:59,or:26,sub:20,and:17,xor:16,movzx:2,cmp:1
91	0x8b6de	1	2251	0x8b8c9	rdx	0x1eb	2251	2251	363	+0x4:2251	340@0xbf435:205,258@0xadf2c:201,337@0xbec0e:180,220@0xa522e:171,199@0xa0631:144	tail@0x8b8c9:2251	0x8b8d9	113	506	1	2	0	0	0x170:3,0xa:2,0x71:2,0x81:1,0x0:1,0x10f:1,0x23:1	0x23:1,0x170:1,0xa:1	+0x2/2:1,+0x0/2:1	dyn/8:1	mov:31,add:29,xor:16,and:14,sub:12,or:4,cmp:2,jmp:2
92	0x8b8cb	1	307	0x8bcec	r13	0x421	307	307	81	+0x4:307	282@0xb3128:67,49@0x82820:31,17@0x7bae9:29,3@0x78c77:26,332@0xbd36d:26	tail@0x8bcec:307	0x8bcfc	233	1070	5	4	0	0	0x170:5,0x23:4,0x81:4,0x0:4,0xa:2,0x10f:1	0x170:5,0x23:3,0x81:1,0xa:1	+0x2/2:1,+0x0/2:1	dyn/8:1	mov:62,add:61,xor:25,and:23,or:23,sub:19,cmp:9,je:5
93	0x8bcef	0	0	0x8c41a	rbx	0x72b	91	0	0				0x8c42a	414	1847	6	1	0	1	0x170:6,0xa:5,0x0:4,0x23:3,0x194:3,0x60:2,0x71:2,0xbb:1,0x81:1,0x10f:1	0x23:5,0x170:4,0x71:2,0x1dc:1,0x60:1,0x0:1,0xa:1	+0x2/4:1,+0x0/2:1,+0x0/1:1,+0x3/2:1,+0x1/2:1	dyn/8:1	mov:101,add:96,or:53,xor:45,and:44,sub:36,pop:16,cmp:8
94	0x8bd69	1	91	0x8c41a	rbx	0x6b1	91	91	8	+0x5:91	173@0x9ba74:74,144@0x95887:13,160@0x994cf:3,198@0xa037e:1	tail@0x8c41a:91	0x8c42a	377	1725	6	1	0	0	0x170:6,0x0:4,0x23:3,0x194:3,0xa:3,0x60:2,0x71:2,0x81:1,0x10f:1	0x23:5,0x170:4,0x71:2,0x60:1,0x0:1,0xa:1	+0x0/1:1,+0x3/2:1,+0x1/2:1	dyn/8:1	mov:89,add:88,or:53,xor:45,and:44,sub:36,cmp:8,jne:4
95	0x8c41c	1	630	0x8c5b7	rdi	0x19b	0	565	18	+0xa:562,+0x2341b:2,+0x1d02e:1	169@0x9af18:374,310@0xb8556:188,86@0x8a37f:2,42@0x815ea:1	dispatch@0xcdac7:548,dispatch@0xc80b9:17	0x8c5c7	103	425	1	2	0	1	0xa:7,0xbb:2,0x10f:1	0x1dc:1,0x170:1,0xa:1	+0x4/2:2,+0x6/4:1,+0x0/4:1,+0x6/2:1,+0x2/2:1,+0x0/2:1	dyn/8:1	mov:38,add:32,pop:16,movzx:4,and:3,jmp:2,xor:2,popfq:1
96	0x8c4cf	0	0	0x8c5b7	rdi	0xe8	0	0	0				0x8c5c7	55	246	1	2	0	0	0xa:4,0x10f:1	0x170:1,0xa:1	+0x6/2:1,+0x2/2:1,+0x0/2:1,+0x4/2:1	dyn/8:1	mov:20,add:19,movzx:4,and:3,jmp:2,xor:2,push:1,pop:1
97	0x8c5b9	0	0	0x8c8e9	r11	0x330	0	0	0				0x8c8f9	174	829	4	1	0	0	0xa:3,0x60:2,0x0:2,0x194:2,0x23:1,0x71:1,0x10f:1,0x170:1	0x170:2,0x71:2,0x60:1,0x0:1,0xa:1	+0x0/1:1,+0x1/2:1,+0x3/2:1	dyn/8:1	mov:51,add:42,and:19,or:16,sub:15,xor:13,cmp:4,jne:3
98	0x8c8ec	0	0	0x8cc7f	rax	0x393	695	0	0				0x8cc8f	207	930	3	1	0	1	0xa:6,0x0:2,0x60:2,0xbb:1,0x81:1,0xe1:1,0x71:1,0x10f:1,0x170:1	0x71:2,0x1dc:1,0x0:1,0x60:1,0x170:1,0xa:1	+0x6/2:1,+0x4/2:1,+0x0/4:1,+0x0/1:1,+0x3/2:1,+0x1/2:1	dyn/8:1	mov:64,add:57,xor:19,pop:16,and:14,sub:13,or:10,movzx:4
99	0x8c99a	1	695	0x8cc7f	rax	0x2e5	695	695	26	+0x5:695	198@0xa037e:387,108@0x8f24b:153,173@0x9ba74:132,160@0x994cf:8,256@0xad849:7	tail@0x8cc7f:695	0x8cc8f	159	756	3	1	0	0	0xa:3,0x0:2,0x60:2,0x81:1,0xe1:1,0x71:1,0x10f:1,0x170:1	0x71:2,0x0:1,0x60:1,0x170:1,0xa:1	+0x0/1:1,+0x3/2:1,+0x1/2:1	dyn/8:1	mov:45,add:45,xor:19,and:14,sub:13,or:10,movzx:4,cmp:3
100	0x8cc81	0	0	0x8ceb2	rdi	0x231	0	0	0				0x8cec2	124	572	2	2	0	0	0xa:8,0x170:2,0x0:1,0x199:1,0x10f:1	0x170:1,0xa:1	+0x0/2:2,+0x2/2:2,+0x6/2:1,+0x8/1:1,+0x4/2:1,+0x9/2:1	dyn/8:1	add:40,mov:37,and:12,sub:8,xor:7,movzx:6,or:5,cmp:3
101	0x8ceb4	1	1	0x8d71b	rcx	0x867	1	1	1	+0xd:1	199@0xa0631:1	tail@0x8d71b:1	0x8d72b	477	2165	38	3	0	1	0xa:6,0x12:1,0xbb:1,0x10f:1,0x170:1	0x12:19,0x1dc:1,0x170:1,0xa:1	+0x6/2:1,+0x8/1:1,+0x0/4:1,+0x4/2:1,+0x9/2:1,+0xb/2:1	dyn/8:1	mov:100,add:88,and:77,xor:46,sub:39,or:35,jne:25,cmp:22
102	0x8d71d	1	65	0x8df99	r11	0x87c	64	64	1	+0xd:64	268@0xb0007:64	tail@0x8df99:64	0x8dfa9	466	2187	38	3	0	1	0xa:6,0x12:1,0xbb:1,0x10f:1,0x170:1	0x12:19,0x1dc:1,0xa:1	+0x6/2:1,+0x8/1:1,+0x0/4:1,+0x4/2:1,+0x9/2:1,+0xb/2:1	dyn/8:1	mov:102,add:90,and:66,sub:45,xor:36,or:35,jne:25,cmp:22
103	0x8df9c	0	0	0x8e2ed	rcx	0x351	0	0	0				0x8e2fd	193	863	5	1	0	0	0xa:4,0x0:2,0x60:2,0x81:1,0x194:1,0x71:1,0x10f:1,0x170:1	0x71:2,0x0:1,0x60:1,0x170:1,0xa:1	+0x3/2:2,+0x2/1:1,+0x0/2:1	dyn/8:1	mov:48,add:43,xor:25,and:19,or:16,sub:14,cmp:5,jne:4
104	0x8e2ef	0	0	0x8e6b2	rsi	0x3c3	0	0	0				0x8e6c2	208	975	6	1	0	0	0x23:3,0xa:3,0x60:2,0x0:2,0x194:1,0x71:1,0x10f:1,0x170:1	0x23:3,0x71:2,0x60:1,0x0:1,0xa:1	+0x0/1:1,+0x1/2:1,+0x3/2:1	dyn/8:1	mov:58,add:53,sub:21,xor:20,and:19,or:15,cmp:6,jne:3
105	0x8e6b4	1	671	0x8eb77	rdx	0x4c3	671	671	89	+0x5:671	350@0xc1926:256,28@0x7e390:129,291@0xb4edd:72,140@0x94e5a:33,92@0x8b8cb:32	tail@0x8eb77:671	0x8eb87	261	1230	5	1	0	0	0x71:3,0x23:3,0xa:3,0x170:2,0x81:1,0x0:1,0x194:1,0x10f:1	0x23:3,0x170:3,0x16f:1,0x0:1,0xa:1	+0x0/2:1,+0x4/1:1,+0x2/2:1	dyn/8:1	add:67,mov:58,or:36,and:33,sub:28,xor:25,cmp:6,jne:4
106	0x8eb79	0	0	0x8eef1	r9	0x378	0	0	0				0x8ef01	196	904	4	1	0	0	0xa:3,0x0:2,0x60:2,0x194:1,0x71:1,0x10f:1	0x71:2,0x0:1,0x60:1,0x23:1,0x170:1,0xa:1	+0x0/1:1,+0x1/2:1,+0x3/2:1	dyn/8:1	add:51,mov:48,xor:22,sub:20,or:19,and:18,cmp:4,jne:3
107	0x8eef4	1	256	0x8f248	r9	0x354	256	256	1	+0x5:256	160@0x994cf:256	tail@0x8f248:256	0x8f258	202	868	5	1	0	0	0xa:4,0x0:2,0x194:1,0x71:1,0x10f:1,0x170:1	0x71:2,0x0:1,0x23:1,0x170:1,0xa:1	+0x3/2:2,+0x2/1:1,+0x0/2:1	dyn/8:1	add:51,mov:44,sub:23,and:23,or:18,xor:16,cmp:5,jne:4
108	0x8f24b	1	5237	0x8f6cf	rcx	0x484	5237	5237	719	+0x2:5237	337@0xbec0e:401,215@0xa4609:378,333@0xbd8af:371,196@0x9fbcd:328,297@0xb64d7:247	tail@0x8f6cf:5237	0x8f6df	244	1171	8	2	0	0	0x71:3,0x194:3,0x23:3,0x81:2,0x0:1,0x16f:1,0xa:1,0x10f:1,0x170:1	0x170:3,0x23:3,0xa:1	+0x0/2:1	dyn/8:1	mov:62,add:54,xor:35,sub:26,and:24,or:23,cmp:9,jne:4
109	0x8f6d1	0	0	0x8f831	r8	0x160	0	0	0				0x8f841	77	365	1	2	0	0	0xa:4,0x194:1,0x10f:1,0x170:1	0x170:1,0xa:1	+0x2/2:1,+0x6/2:1,+0x4/2:1,+0x0/2:1	dyn/8:1	mov:25,add:22,or:7,sub:6,movzx:4,and:4,xor:3,jmp:2
110	0x8f834	0	0	0x8faea	rdi	0x2b6	0	0	0				0x8fafa	164	709	1	1	0	1	0xa:5,0x0:3,0x170:2,0xbb:1,0x71:1,0x10f:1	0x170:2,0x71:2,0x1dc:1,0x0:1,0xa:1	+0x2/4:1,+0x0/2:1,+0x0/1:1,+0x1/2:1,+0x3/2:1	dyn/8:1	mov:51,add:43,pop:16,xor:15,sub:11,and:10,or:7,cmp:3
111	0x8f8ae	0	0	0x8faea	rdi	0x23c	0	0	0				0x8fafa	127	587	1	1	0	0	0x0:3,0xa:3,0x170:2,0x71:1,0x10f:1	0x170:2,0x71:2,0x0:1,0xa:1	+0x0/1:1,+0x1/2:1,+0x3/2:1	dyn/8:1	mov:39,add:35,xor:15,sub:11,and:10,or:7,cmp:3,movzx:2
112	0x8faec	1	2	0x9026c	r9	0x780	2	2	2	+0x5:2	108@0x8f24b:1,160@0x994cf:1	tail@0x9026c:2	0x9027c	416	1933	5	1	0	0	0x170:5,0x194:4,0x23:4,0x0:3,0xa:3,0x60:2,0x81:1,0x71:1,0x10f:1	0x170:6,0x23:5,0x71:2,0x0:1,0x60:1,0xa:1	+0x0/1:1,+0x1/2:1,+0x3/2:1	dyn/8:1	mov:105,add:101,xor:50,or:50,and:46,sub:45,cmp:6,jne:4
113	0x9026f	0	0	0x90893	rdi	0x624	25307	0	0				0x908a3	350	1587	5	2	0	1	0x23:8,0x170:7,0xa:5,0x81:3,0x0:3,0x194:2,0xbb:1,0x71:1,0x10f:1	0x23:11,0x170:7,0x1dc:1,0x0:1,0x16f:1,0xa:1	+0x6/2:1,+0x4/2:1,+0x0/4:1,+0x2/2:1,+0x0/2:1	dyn/8:1	mov:106,add:97,and:31,sub:31,or:26,xor:25,pop:15,cmp:8
114	0x90319	1	25296	0x90893	rdi	0x57a	25307	25296	2254	+0x4:25296	66@0x855ff:2041,185@0x9d964:1516,215@0xa4609:1499,18@0x7be9b:1307,20@0x7c62b:1184	tail@0x90893:25296	0x908a3	303	1417	5	2	0	0	0x23:8,0x170:7,0x81:3,0x0:3,0x194:2,0xa:2,0x71:1,0x10f:1	0x23:11,0x170:7,0x0:1,0x16f:1,0xa:1	+0x2/2:1,+0x0/2:1	dyn/8:1	mov:88,add:85,and:31,sub:31,or:26,xor:25,cmp:8,je:5
115	0x90895	0	0	0x90a18	r12	0x183	0	0	0				0x90a28	92	403	1	2	0	0	0xa:5,0x23:2,0x170:1,0x0:1,0x10f:1	0x170:3,0xa:1	+0x2/2:1,+0x0/2:1,+0x4/2:1,+0x6/2:1	dyn/8:1	mov:30,add:28,and:8,xor:7,movzx:4,sub:4,or:4,cmp:2
116	0x90a1b	0	0	0x90c21	rax	0x206	122	0	0				0x90c31	127	533	3	3	0	1	0xa:4,0x10f:1	0xa:2,0x1dc:1	+0x0/4:2,+0x0/2:1,+0x4/4:1	dyn/8:1	mov:33,add:26,pop:17,and:13,xor:9,sub:8,cmp:3,je:3
117	0x90acd	1	122	0x90c21	rax	0x154	122	122	18	-0x40:83,-0xbc1:9,-0x584:6,-0xbc0:6,-0x2ce:5	354@0xc2241:71,165@0x9a24c:48,171@0x9b4b3:3	tail@0x90c21:122	0x90c31	73	355	1	2	0	0	0xa:2,0x10f:1	0xa:2	+0x0/2:1,+0x4/4:1	dyn/8:1	mov:19,add:16,and:13,xor:9,sub:8,or:3,jmp:2,shl:1
118	0x90c23	1	398	0x90eb9	r11	0x296	398	398	12	+0x3:398	332@0xbd36d:256,217@0xa4b11:65,322@0xbb3c9:64,172@0x9b68a:3,208@0xa2361:3	tail@0x90eb9:398	0x90ec9	141	678	3	2	0	0	0x81:2,0x23:2,0x170:2,0xa:2,0x71:1,0x194:1,0x0:1,0x10f:1	0x23:5,0xe1:1,0x170:1,0xa:1	+0x0/1:1,+0x1/2:1	dyn/8:1	mov:37,add:36,sub:16,and:16,xor:13,or:13,cmp:4,je:3
119	0x90ebc	1	921	0x91067	r11	0x1ab	921	921	94	+0x6:921	28@0x7e390:190,64@0x85059:187,340@0xbf435:107,337@0xbec0e:99,18@0x7be9b:96	tail@0x91067:921	0x91077	95	440	1	1	0	0	0xa:3,0x23:1,0x10f:1,0x170:1	0x23:2,0x170:1,0xa:1	+0x2/2:1,+0x0/2:1,+0x4/2:1	dyn/8:1	add:27,mov:21,sub:13,or:13,and:8,xor:6,movzx:3,cmp:1
120	0x9106a	0	0	0x91377	rbx	0x30d	0	0	0				0x91387	174	796	2	2	0	0	0xa:8,0x71:1,0x199:1,0x10f:1	0x23:1,0x170:1,0xa:1	+0x4/2:2,+0x6/2:2,+0x9/2:1,+0x8/1:1,+0x2/2:1,+0x0/2:1	dyn/8:1	add:50,mov:49,or:23,sub:15,and:13,xor:10,movzx:6,cmp:2
