source_block	source_range	target_block	target_range	class	events	unique_start_ips	top_sources	top_targets	top_deltas	byte_statuses
344	0x334cab-0x33518c	344	0x334cab-0x33518c	intra_block	886	322	28:29,173:27,347:26,203:25,108:24,340:24,183:23,352:23	28:29,173:27,347:26,203:25,108:24,340:24,183:23,352:23	+0x4:359,+0x5:179,+0x2:142,+0x3:141,+0x6:65	exact:886
232	0x30eeea-0x30f3c5	232	0x30eeea-0x30f3c5	intra_block	882	321	199:28,347:28,108:27,173:26,352:26,301:25,333:24,337:23	199:28,347:28,108:27,173:26,352:26,301:25,333:24,337:23	+0x4:359,+0x5:179,+0x2:142,+0x3:141,+0x6:61	exact:882
505	0x36b38e-0x36b693	505	0x36b38e-0x36b693	intra_block	882	202	18:56,337:55,66:47,189:46,114:37,340:36,215:35,184:33	18:56,337:55,66:47,189:46,123:44,114:37,340:36,215:35	+0x4:484,+0x3:230,+0x5:71,+0x2:66,+0x6:31	exact:882
390	0x33e03b-0x33e14c	390	0x33e03b-0x33e14c	intra_block	852	71	215:48,258:48,18:48,337:48,333:48,340:48,28:36,287:36	215:48,258:48,18:48,337:48,333:48,340:48,28:36,287:36	+0x4:612,+0x3:204,+0x2:12,+0x6:12,+0x5:12	exact:852
445	0x360afc-0x361133	445	0x360afc-0x361133	intra_block	837	413	66:34,337:31,18:30,203:29,173:29,189:21,256:20,64:19	66:34,337:31,18:30,203:29,173:29,189:21,256:20,64:19	+0x4:366,+0x5:157,+0x3:139,+0x2:124,+0x6:51	exact:837
530	0x36f438-0x36f6a7	530	0x36f438-0x36f6a7	intra_block	805	161	18:45,168:30,114:25,220:25,199:25,43:25,337:25,198:20	18:45,168:30,114:25,220:25,199:25,43:25,337:25,144:25	+0x4:330,+0x5:175,+0x3:130,+0x2:125,+0x6:45	exact:805
201	0x26e8ba-0x26ebb3	201	0x26e8ba-0x26ebb3	intra_block	796	199	307:44,28:40,114:40,337:32,347:28,64:28,189:24,196:24	307:44,28:40,114:40,337:32,347:28,64:28,189:24,196:24	+0x4:452,+0x3:184,+0x5:68,+0x2:56,+0x6:36	exact:796
196	0x26dc7b-0x26dee4	196	0x26dc7b-0x26dee4	intra_block	648	162	18:40,337:28,64:28,297:24,347:24,258:24,66:20,215:20	18:40,337:28,64:28,297:24,347:24,258:24,66:20,215:20	+0x4:396,+0x3:160,+0x5:36,+0x2:32,+0x6:24	exact:648
197	0x26deee-0x26e157	197	0x26deee-0x26e157	intra_block	648	162	340:44,258:36,28:32,185:32,157:28,307:24,66:20,347:20	340:44,258:36,28:32,185:32,157:28,307:24,66:20,347:20	+0x4:396,+0x3:160,+0x5:36,+0x2:32,+0x6:24	exact:648
198	0x26e161-0x26e3ca	198	0x26e161-0x26e3ca	intra_block	648	162	66:36,64:32,18:28,258:28,268:24,340:24,114:24,185:20	66:36,64:32,18:28,258:28,268:24,340:24,114:24,185:20	+0x4:396,+0x3:160,+0x5:36,+0x2:32,+0x6:24	exact:648
