block	start	end	size	events	unique_start_ips	unique_sources	top_sources	top_targets	top_deltas	byte_statuses
58	0x11dc37	0x11dcf5	0xbe	51	51	20	28:5,114:4,337:4,161:4,176:4,20:4,340:3,297:3	28:5,337:4,161:4,176:4,20:4,340:3,297:3,114:3	+0x4:34,+0x3:16,+0x6:1	exact:51
59	0x11dd03	0x11de14	0x111	72	72	31	347:6,340:5,297:5,315:4,18:4,168:4,43:3,33:3	347:6,340:5,297:5,315:4,18:4,168:4,43:3,33:3	+0x4:51,+0x3:17,+0x5:2,+0x2:1,+0x6:1	exact:72
60	0x11de27	0x11de39	0x12	5	5	5	157:1,258:1,185:1,3:1,256:1	258:1,185:1,3:1,256:1,266:1	+0x4:2,+0x3:1,+0x5:1,+0x2:1	exact:5
61	0x11de9f	0x11e02d	0x18e	105	105	53	297:7,199:5,18:5,114:5,184:5,189:4,337:4,347:4	297:7,199:5,18:5,114:5,184:5,189:4,337:4,347:4	+0x4:54,+0x3:25,+0x5:13,+0x2:9,+0x6:4	exact:105
62	0x11e03e	0x11e14f	0x111	72	72	34	337:5,346:4,333:4,64:4,243:4,157:4,199:4,28:3	337:5,346:4,333:4,64:4,243:4,157:4,199:4,28:3	+0x4:51,+0x3:17,+0x5:2,+0x2:1,+0x6:1	exact:72
63	0x11e15f	0x11e27c	0x11d	76	76	39	123:6,347:6,185:4,258:4,307:4,199:4,337:3,297:3	123:6,347:6,185:4,258:4,307:4,199:4,337:3,297:3	+0x4:45,+0x3:20,+0x5:5,+0x2:4,+0x6:2	exact:76
64	0x11e28a	0x11e39b	0x111	72	72	35	333:6,315:4,114:4,347:4,168:3,18:3,26:3,258:3	333:6,315:4,114:4,347:4,168:3,18:3,26:3,258:3	+0x4:51,+0x3:17,+0x5:2,+0x2:1,+0x6:1	exact:72
65	0x11e574	0x11e695	0x121	78	78	40	340:5,337:4,28:4,161:4,20:4,215:4,18:3,189:3	340:5,337:4,28:4,161:4,20:4,215:4,18:3,189:3	+0x4:46,+0x3:21,+0x2:5,+0x5:4,+0x6:2	exact:78
66	0x11e6a3	0x11e962	0x2bf	187	187	62	18:11,347:10,337:10,340:7,268:6,64:6,203:6,185:6	18:11,347:10,337:10,340:7,268:6,64:6,203:6,185:6	+0x4:113,+0x3:44,+0x5:13,+0x2:12,+0x6:5	exact:187
67	0x11e970	0x11eb8c	0x21c	144	144	48	64:11,199:8,189:8,307:6,340:6,28:5,18:5,215:5	64:11,199:8,189:8,307:6,340:6,28:5,18:5,215:5	+0x4:94,+0x3:37,+0x2:5,+0x5:5,+0x6:3	exact:144
68	0x11eb9a	0x11edcf	0x235	150	150	55	258:8,347:7,18:7,340:7,28:6,337:6,123:6,307:5	258:8,347:7,18:7,340:7,28:6,337:6,123:6,307:5	+0x4:95,+0x3:38,+0x5:7,+0x2:6,+0x6:4	exact:150
69	0x11eddd	0x11eeee	0x111	72	72	32	189:4,28:4,258:4,337:4,185:4,196:4,33:3,43:3	189:4,28:4,258:4,337:4,185:4,196:4,33:3,43:3	+0x4:51,+0x3:17,+0x5:2,+0x2:1,+0x6:1	exact:72
70	0x11ef65	0x11f1b9	0x254	158	158	62	114:8,189:7,297:7,28:6,337:6,43:6,160:5,66:5	114:8,189:7,297:7,28:6,337:6,43:6,160:5,66:5	+0x4:78,+0x3:34,+0x5:22,+0x2:18,+0x6:6	exact:158
71	0x11f1c5	0x11f39b	0x1d6	125	125	43	340:8,307:7,66:7,347:6,114:6,215:5,26:5,258:5	340:8,307:7,66:7,347:6,114:6,215:5,26:5,258:5	+0x4:84,+0x3:34,+0x6:3,+0x2:2,+0x5:2	exact:125
72	0x11f3a9	0x11f4ba	0x111	72	72	30	64:5,114:5,196:4,215:4,297:4,199:3,347:3,26:3	64:5,114:5,196:4,215:4,297:4,199:3,347:3,26:3	+0x4:51,+0x3:17,+0x5:2,+0x2:1,+0x6:1	exact:72
73	0x1209d2	0x120af4	0x122	78	78	38	114:6,258:5,18:5,28:4,174:4,184:4,176:4,297:3	114:6,258:5,18:5,28:4,174:4,184:4,176:4,297:3	+0x4:45,+0x3:21,+0x2:5,+0x5:5,+0x6:2	exact:78
74	0x120b02	0x120d67	0x265	163	163	60	18:7,340:7,64:7,258:6,215:6,157:6,297:6,189:6	18:7,340:7,64:7,258:6,215:6,157:6,297:6,189:6	+0x4:100,+0x3:41,+0x5:10,+0x2:8,+0x6:4	exact:163
75	0x120d75	0x120e9e	0x129	78	78	32	185:6,287:6,347:5,346:4,340:4,268:3,64:3,297:3	185:6,287:6,347:5,346:4,340:4,268:3,64:3,297:3	+0x4:53,+0x3:18,+0x5:3,+0x2:2,+0x6:2	exact:78
76	0x1210d6	0x121199	0xc3	53	53	21	258:6,123:5,174:5,307:4,199:4,114:4,64:3,176:3	258:6,123:5,174:5,307:4,199:4,114:4,64:3,176:3	+0x4:34,+0x3:17,+0x2:1,+0x6:1	exact:53
77	0x1211a7	0x121435	0x28e	174	174	62	347:10,18:9,114:8,28:8,307:7,43:7,189:6,157:6	347:10,18:9,114:8,28:8,307:7,43:7,189:6,157:6	+0x4:106,+0x3:42,+0x5:12,+0x2:10,+0x6:4	exact:174
78	0x121443	0x121690	0x24d	156	156	54	215:9,337:8,189:8,114:7,199:7,66:6,185:5,315:5	215:9,337:8,189:8,114:7,199:7,66:6,185:5,315:5	+0x4:97,+0x3:39,+0x5:8,+0x2:7,+0x6:5	exact:156
79	0x12169e	0x1217c7	0x129	78	78	36	268:5,258:4,157:4,189:4,28:3,33:3,18:3,337:3	268:5,258:4,157:4,189:4,28:3,33:3,18:3,337:3	+0x4:53,+0x3:18,+0x5:3,+0x2:2,+0x6:2	exact:78
80	0x1217d8	0x121924	0x14c	88	88	42	215:6,64:4,18:4,189:4,114:4,199:4,123:4,176:4	215:6,64:4,18:4,189:4,114:4,199:4,123:4,176:4	+0x4:48,+0x3:23,+0x5:7,+0x2:6,+0x6:4	exact:88
81	0x121932	0x121a5b	0x129	78	78	34	26:5,114:5,64:4,307:4,315:4,258:4,157:3,28:3	26:5,114:5,64:4,307:4,315:4,258:4,157:3,28:3	+0x4:53,+0x3:18,+0x5:3,+0x2:2,+0x6:2	exact:78
