source_entry	source_target	count	unique_vm_ips	top_sites	top_targets	top_ip_deltas	top_w0	top_w1	top_w2	top_w3	top_w4	top_w5
317	0xba1e2	66	44	tail@0xba680:66	28@0x7e390:8,18@0x7be9b:5,83@0x8947b:5,282@0xb3128:5,239@0xa991e:5	+0x4:66	0xd585:4,0x2108:4,0xb3:4,0x4e5:4,0x3d0:4	0x3d00:6,0x1981:5,0x2e1a:4,0x83c1:4,0xbb78:4	0x406a:4,0xa97c:4,0x5c5c:4,0x4f3a:4,0x3dc7:4	0x13d:4,0x7e01:4,0xf75a:4,0xd293:4,0x2ab0:4		
117	0x90acd	58	11	tail@0x90c21:58	165@0x9a24c:39,354@0xc2241:16,171@0x9b4b3:3	-0x40:32,-0xbc1:9,-0x584:6,-0x2ce:5,-0x767:4	0x14d:14,0xb9:13,0x7c:9,0x1c:6,0x15b:6	0xe0eb:14,0xa3c3:13,0x9de1:9,0xac8:5,0x32c9:4	0x79:14,0xcd3a:13,0x2e07:9,0x1e8:7,0x931:6	0x25c2:14,0x2c18:13,0x80ff:9,0xc1fb:5,0xc1d:4		
264	0xaf4cf	49	7	dispatch@0xcdac7:40,dispatch@0xc80b9:9	169@0x9af18:31,310@0xb8556:18	+0xa:49	0x1e8:18,0xa5:17,0x162:14	0x1e8:31,0xab:13,0xa5:5	0x40:26,0xc7:13,0x154:4,0x1c:4,0x2b:1	0xa81d:13,0xa2bd:13,0x4f47:13,0x17d4:4,0xa68:4	0x99:32,0x2c3a:13,0x7310:4	0x620:13,0x1b17:13,0xae89:13,0xef7f:4,0x99e9:4
0	0x78561	48	4	tail@0x78833:48	144@0x95887:31,257@0xadbfd:10,108@0x8f24b:7	+0x5:48	0x9f3f:17,0x9557:14,0x97f:10,0x26bc:7	0xab:24,0xa5:14,0x162:10	0x0:48	0x40:48		
242	0xaa87d	43	8	tail@0xaab67:43	75@0x873fc:14,246@0xab427:12,199@0xa0631:9,145@0x95b5c:4,210@0xa2da3:2	+0x5:43	0xa5:18,0x162:15,0x57ea:9,0x814a:1	0x0:33,0x69d:9,0x4953:1	0x4f0e:14,0x792:12,0xa36c:9,0xbec:4,0xcc61:1	0x0:33,0x29e6:9,0x69de:1		
62	0x84aa3	36	11	tail@0x84e1b:36	157@0x98a9a:16,307@0xb8064:13,66@0x855ff:1,200@0xa0a9e:1,297@0xb64d7:1	+0x4:36	0xce03:14,0xf57c:12,0xbff3:2,0x6c35:1,0xb409:1	0x68:16,0x28ae:12,0x530a:1,0x5f6d:1,0xba7a:1	0x27ed:14,0x6e7:12,0x6cd6:2,0x68c6:1,0x158:1	0x7273:14,0xa7d5:12,0x1f8f:2,0xe600:1,0xe034:1		
151	0x97311	34	9	tail@0x97689:34	198@0xa037e:16,173@0x9ba74:6,144@0x95887:4,160@0x994cf:4,352@0xc1ec4:4	+0x5:34	0xaa39:5,0x9507:5,0x98df:4,0x14f:4,0x2a90:4	0xea0d:5,0xc3d:5,0xf9d:4,0xd70b:4,0xcdf3:4	0xd694:5,0x1c4:5,0x15e:4,0xb047:4,0x359c:4	0x8bec:5,0xf680:5,0x1e8:4,0x5ca8:4,0xf5d3:4		
336	0xbe8cd	33	10	tail@0xbec0b:33	256@0xad849:12,108@0x8f24b:6,144@0x95887:5,352@0xc1ec4:4,198@0xa037e:4	+0x5:33	0xb252:4,0xe74e:4,0xe1f7:4,0xd62:4,0xe015:4	0x9dec:4,0xd14c:4,0x34a0:4,0xe3cf:4,0xe9d0:4	0x6d14:4,0xb314:4,0xfe60:4,0xd3:4,0xfef2:4	0x45a9:4,0xf037:4,0x3877:4,0x1dec:4,0x1063:4		
326	0xbc06d	31	2	tail@0xbc31d:31	108@0x8f24b:18,352@0xc1ec4:13	+0x5:31	0x9aa5:18,0x45e:13	0xab:18,0xa5:13	0x0:31	0x40:31		
186	0x9dcae	29	9	tail@0x9e07a:29	144@0x95887:9,257@0xadbfd:9,160@0x994cf:4,173@0x9ba74:3,198@0xa037e:2	+0x5:29	0x9e0f:5,0xf027:5,0x9e9f:4,0xf707:4,0x84b2:3	0x8231:5,0x1348:5,0xd69c:4,0x71c:4,0x22d:3	0x3fa6:5,0xb022:5,0xd4df:4,0x2952:4,0xe7bc:3	0x670:5,0x30ee:5,0x1e8:4,0xa1f6:4,0x77fc:3		
