source_entry	source_target	count	unique_vm_ips	top_sites	top_targets	top_ip_deltas	top_w0	top_w1	top_w2	top_w3	top_w4	top_w5
352	0xc1ec4	455	58	tail@0xc21c0:455	292@0xb540f:256,258@0xadf2c:106,345@0xc02e4:7,66@0x855ff:7,189@0x9e7af:6	+0x2:455	0xdc62:256,0x7ab4:102,0x3e0:6,0x13e0:4,0x270b:4	0xd07b:256,0x4709:102,0xdc2c:4,0xec46:4,0x3eb1:4	0x8baa:256,0xf9b7:102,0xed08:4,0x3ce9:4,0x8148:4	0x6228:256,0xf6cc:102,0xca3a:4,0xe83c:4,0x9610:4	0x87ad:256,0xcaab:102,0xf73f:4,0xa01:4,0xffa5:4	0x73b:256,0x32ce:102,0xc803:4,0xeb80:4,0x68c7:4
123	0x91a59	435	119	tail@0x91e7f:435	18@0x7be9b:105,50@0x82e76:102,337@0xbec0e:26,307@0xb8064:20,189@0x9e7af:19	+0x4:435	0xe58:102,0xa5f7:102,0x1e8:20,0xaa0:8,0x390:8	0xe8aa:102,0xdfd6:102,0x13d:11,0x26:8,0xf6d3:4	0x51d9:102,0x4437:102,0x80:13,0xa0:10,0x13d:9	0xe84c:102,0xbe16:102,0xfd00:8,0x8a7d:6,0xe8af:6	0x8201:102,0x2304:102,0x1:8,0xe83e:8,0xe83a:6	0xd82e:102,0x8000:102,0xe801:16,0x1e8:5,0xecbf:4
20	0x7c62b	430	126	tail@0x7ca96:430	114@0x90319:119,181@0x9d13f:102,189@0x9e7af:20,337@0xbec0e:20,185@0x9d964:17	+0x4:430	0x13d:102,0x3e23:102,0x1e8:21,0x22a0:6,0x5e8:6	0x1e8:102,0x747c:102,0x13d:18,0xe674:6,0xe72c:5	0xbe0:102,0xf869:102,0x508:8,0x80:8,0x4f0:8	0x5e8:102,0x443e:102,0xe800:10,0xe88b:8,0xe83a:6	0xe896:103,0x1cbc:102,0xb3:8,0xe864:6,0x1501:6	0xf701:103,0x3463:102,0xa001:11,0x10e5:4,0xb701:4
173	0x9ba74	409	50	tail@0x9bd8c:409	64@0x85059:107,196@0x9fbcd:102,349@0xc140b:102,340@0xbf435:9,185@0x9d964:9	+0x2:409	0x8a33:102,0x7723:102,0xad00:102,0x9e62:4,0x1eb4:4	0xfd93:102,0xf054:102,0x88:102,0x9309:4,0xb3:4	0x937b:102,0xc1e2:102,0xff12:102,0xef07:4,0xb728:4	0x2f37:102,0x2738:102,0x1062:102,0xfc79:4,0xa9e6:4	0x9d70:102,0x7909:102,0x12a0:102,0xb3c7:4,0xe80e:4	0x87ae:102,0x40bc:102,0xf513:102,0x6200:4,0xd201:4
305	0xb78b0	396	102	tail@0xb7bb8:396	189@0x9e7af:117,199@0xa0631:105,258@0xadf2c:23,347@0xc088d:20,340@0xbf435:17	+0x4:396	0x890f:102,0xffa3:102,0x1e8:6,0x8d45:4,0xf98b:4	0xd13a:102,0xe0ac:102,0x13d:9,0x89:8,0x19d:8	0xee67:102,0xb6a9:102,0x540:8,0x54bd:4,0x4a5a:4	0x2e1a:102,0x561d:102,0x1e8:8,0x78c9:4,0x89:4	0x9aa2:102,0x4dc8:102,0xad0:8,0xd0:6,0xebb5:4	0x3d29:102,0xe8c0:102,0xe800:5,0xe803:4,0xf148:4
171	0x9b4b3	395	24	tail@0x9b687:395	322@0xbb3c9:256,196@0x9fbcd:104,297@0xb64d7:7,66@0x855ff:6,337@0xbec0e:5	+0x2:395	0x13:256,0x6e4f:104,0xe31:4,0x93e8:4,0x93b1:4	0x9657:256,0xeeb4:102,0x99:7,0xc2eb:4,0xf13a:4	0x8b7b:256,0xd92:102,0x6129:4,0xcf63:4,0x3464:4	0x68:256,0xdbd4:102,0x99:5,0x403a:4,0x96fe:4	0xd5f3:256,0x3cbb:102,0xaea4:4,0xb0d0:4,0x8df9:4	0x87ce:256,0x8aff:102,0xde6c:4,0x3622:4,0xe8c3:4
52	0x833c7	360	4	tail@0x8371b:360	75@0x873fc:256,316@0xb987b:102,145@0x95b5c:1,334@0xbdd18:1	+0x5:360	0xab:257,0xa5:103	0x0:360	0x6d:256,0x3c4:102,0x5e:2	0x8000:358,0x0:2	0x13d:360	0x5a9a:256,0x6c9a:102,0xd022:1,0x322:1
128	0x9299b	330	15	tail@0x92f1f:330	268@0xb0007:102,64@0x85059:102,215@0xa4609:102,220@0xa522e:5,185@0x9d964:4	+0x5:330	0xc5c0:102,0xefab:102,0x188:102,0x3d00:7,0x75e3:4	0x6b72:102,0xd87b:102,0xc:102,0xce3a:4,0xb8a6:4	0x3d00:102,0x5427:102,0xa74a:102,0xba8f:4,0x31f3:4	0x9001:102,0x7a:102,0x13d:102,0xf302:4,0xa770:4	0xe318:102,0x13d:102,0xc83b:102,0x434c:4,0xf377:4	0xd8ef:102,0xedf:102,0x3830:102,0x70d1:4,0xca01:4
33	0x7f7c4	321	116	tail@0x7fba1:321	297@0xb64d7:114,18@0x7be9b:17,307@0xb8064:17,66@0x855ff:17,168@0x9aa83:11	+0x4:321	0x2e89:102,0x5e8:6,0x1e8:5,0x2570:4,0xd065:4	0x9fad:102,0x13d:15,0x19d:8,0xfdb:7,0x812a:5	0xe5f1:102,0x1e8:10,0x200:6,0xd657:4,0x9dc9:4	0x65c8:102,0x1e8:13,0xd4d9:4,0x95af:4,0x72f4:4	0x385b:102,0x1399:4,0x5c01:4,0x5cf8:4,0xd2b5:4	0x8600:102,0xe800:10,0xe8f0:6,0xe8e0:5,0xe897:5
176	0x9c10b	318	117	tail@0x9c3f4:318	28@0x7e390:126,18@0x7be9b:23,114@0x90319:21,337@0xbec0e:19,66@0x855ff:16	+0x4:318	0xad8:107,0xaa0:11,0x810:8,0x5e8:6,0x78c6:4	0x5f40:102,0x24:8,0xc009:4,0x6b4e:4,0x90c0:4	0x5b8f:102,0x80:20,0x508:10,0xa0:10,0x570:5	0x8c02:102,0xfd00:8,0xe808:6,0xe632:4,0xe8fd:4	0xe842:102,0xe875:8,0x1:8,0xe877:7,0xfa01:6	0x4701:102,0xe801:12,0x1e8:10,0x9001:9,0x162:8
243	0xaab6a	313	115	tail@0xaaf3c:313	307@0xb8064:107,347@0xc088d:20,337@0xbec0e:18,338@0xbf128:18,64@0x85059:17	+0x4:313	0xd53a:102,0x560:8,0xfaeb:6,0x1e8:5,0xb550:4	0xfdaf:102,0x13d:23,0x91:6,0x7608:4,0x7e51:4	0xc6e:102,0x1e8:18,0xf493:4,0xf38d:4,0x1316:4	0x3ef4:102,0x91:15,0x1e8:14,0xe810:9,0xd708:4	0xecf7:102,0xd0:8,0x9d8:6,0x3807:6,0x7c01:5	0x40d6:102,0xe83a:7,0xe800:6,0xdc3a:4,0x1aba:4
253	0xacfb1	306	28	tail@0xad329:306	297@0xb64d7:260,28@0x7e390:12,43@0x8173d:6,70@0x8610e:4,83@0x8947b:4	+0x6:306	0xa7fc:256,0x768:5,0x8ffb:4,0x50f9:4,0xa633:4	0xa726:256,0x3d00:8,0x69ea:4,0xc351:4,0x330b:4	0x3f99:256,0x25:4,0x6701:4,0xfe01:4,0x7b11:4	0x82ba:256,0x13d:17,0x2d97:4,0xe8db:4,0xf87a:2	0x47b0:256,0x13d:5,0x5a96:4,0x2a86:4,0x3604:4	0x13d:259,0x33c7:4,0x7835:4,0xe263:4,0x9890:4
237	0xa8e1f	290	18	tail@0xa94a3:290	352@0xc1ec4:257,108@0x8f24b:12,198@0xa037e:9,160@0x994cf:6,144@0x95887:3	+0x5:290	0xdb16:256,0x362a:4,0x28f0:4,0x6b85:4,0xab51:4	0xdc62:256,0x92a7:4,0xafe:4,0x411c:4,0x64f0:4	0xd07b:256,0x7f5f:4,0x45d9:4,0x1101:4,0xd3:4	0x8baa:256,0x1ce4:4,0x7488:4,0xa9c6:4,0x3cb4:4	0x6228:256,0xd3:4,0x147:4,0xad4e:4,0x462:4	0x87ad:256,0x6402:4,0xd69d:4,0xd283:4,0x7d91:4
79	0x885b0	289	41	tail@0x88a55:289	160@0x994cf:119,257@0xadbfd:114,256@0xad849:15,173@0x9ba74:14,352@0xc1ec4:12	+0x5:289	0xb527:102,0x2f59:102,0xb3f7:4,0xb087:4,0x2ed1:4	0x715a:102,0x225b:102,0x4952:4,0xa88:4,0x31c4:4	0x3ab:102,0xfa3a:102,0xb3:6,0xba21:4,0x5f4d:4	0x1536:102,0x135b:102,0x9897:5,0xeecf:4,0xae7a:4	0xbb4:102,0x6002:102,0x3aa5:4,0xcce2:4,0x1a45:4	0xffd7:102,0x9003:102,0x68:6,0x39:4,0x425a:4
