site	events	target_reg	target_events	target_pct	slot_reg	slot_events	slot_pct	byte_index_reg	byte_index_events	byte_index_pct	entry_index_reg	entry_index_events	entry_index_pct	table_reg	table_events	table_pct	frame_reg	frame_events	frame_pct	top_targets
0x9170b	142	rdx	142	100.0	r10	142	100.0	rsi	142	100.0							rbp	142	100.0	307:103,91:9,180:6,64:4,189:3,43:3,18:2,301:2
0xc1ec2	142	rsi	142	100.0	rax	142	100.0										rbp	142	100.0	297:102,28:7,121:4,337:4,66:4,333:3,203:3,300:2
0xb1545	140	r12	140	100.0				rsi	140	100.0							rbp	140	100.0	199:102,183:13,91:6,66:5,114:3,172:2,64:2,180:1
0x9aa81	139	rdx	139	100.0	rsi	139	100.0	rcx	139	100.0							rbp	139	100.0	351:120,283:14,295:5
0xad766	137	rsi	137	100.0	r10	137	100.0	r8	137	100.0							rbp	137	100.0	66:106,91:6,183:5,297:4,172:2,185:2,79:2,220:2
0x9a46b	133	r9	133	100.0	rcx	133	100.0										rbp	133	100.0	114:103,199:6,28:6,18:5,66:4,340:4,64:2,268:2
0x9d24a	114	rax	114	100.0	r10	114	100.0	r13	114	100.0							rbp	114	100.0	215:102,337:3,114:3,64:3,347:2,66:1
0xb3125	108	r12	108	100.0				rcx	108	100.0							rbp	108	100.0	269:102,292:4,300:2
0x8cc7f	106	rax	106	100.0	r9	106	100.0										rbp	106	100.0	198:102,160:4
0x7be98	106	r14	106	100.0	rsi	106	100.0	r15	106	100.0							rbp	106	100.0	300:102,220:4
0xc1923	103	r13	103	100.0													rbp	103	100.0	17:102,282:1
0x8eb77	103	rdx	103	100.0	rdi	103	100.0	r10	103	100.0							rbp	103	100.0	350:102,83:1
0xa13d3	102	r10	102	100.0	r15	102	100.0	rdi	102	100.0							r8	102	100.0	173:102
0x90eb9	102	r11	102	100.0	r15	102	100.0	r12	102	100.0				r9	102	100.0	rbp	102	100.0	332:102
0x8f248	102	r15	102	100.0	rax	102	100.0	r8	102	100.0							rbp	102	100.0	160:102
