site	reg	role	events	site_events	coverage_pct	top_entries	top_values	top_site_targets
0x91a57	rbx	slot_pointer	6	6	100.0	246:5,334:1	0x735389ec3ec8:5,0x735389ec4188:1	246:5,334:1
0x91a57	rbx	table_slot_match	6	6	100.0	246:5,334:1	0x735389ec3ec8:5,0x735389ec4188:1	246:5,334:1
0x91a57	rdx	target_value	6	6	100.0	246:5,334:1	0x735389eab427:5,0x735389ebdd18:1	246:5,334:1
0x9d24a	r8	table_slot_other	6	114	5.3	181:6	0x735389ec3cc0:6	215:102,337:3,114:3,64:3,347:2,66:1
0xa9cf4	r15	byte_index	5	62	8.1	64:5	0x200:5	320:8,28:6,64:5,18:4,66:4,291:4,157:4,215:4
0xaab67	r8	target_value	5	5	100.0	145:4,114:1	0x735389e95b5c:4,0x735389e90319:1	145:4,114:1
0xaab67	rbp	frame_pointer	5	5	100.0	145:4,114:1	0x735389e7836d:5	145:4,114:1
0xaab67	rcx	byte_index	5	5	100.0	145:4,114:1	0x488:4,0x390:1	145:4,114:1
0xaab67	rsi	slot_pointer	5	5	100.0	145:4,114:1	0x735389ec3ba0:4,0x735389ec3aa8:1	145:4,114:1
0xaab67	rsi	table_slot_match	5	5	100.0	145:4,114:1	0x735389ec3ba0:4,0x735389ec3aa8:1	145:4,114:1
0xb625a	rsi	table_slot_other	5	24	20.8	295:5	0x735389ec4050:5	258:4,114:4,268:4,189:2,254:2,64:2,273:2,300:1
0xba680	r15	target_value	5	5	100.0	121:2,18:1,48:1,199:1	0x735389e91379:2,0x735389e7be9b:1,0x735389e82477:1,0x735389ea0631:1	121:2,18:1,48:1,199:1
0xba680	rax	slot_pointer	5	5	100.0	121:2,18:1,48:1,199:1	0x735389ec3ae0:2,0x735389ec37a8:1,0x735389ec3898:1,0x735389ec3d50:1	121:2,18:1,48:1,199:1
0xba680	rax	table_slot_match	5	5	100.0	121:2,18:1,48:1,199:1	0x735389ec3ae0:2,0x735389ec37a8:1,0x735389ec3898:1,0x735389ec3d50:1	121:2,18:1,48:1,199:1
0xba680	rbp	frame_pointer	5	5	100.0	121:2,18:1,48:1,199:1	0x735389e7836d:5	121:2,18:1,48:1,199:1
0xba680	rsi	byte_index	5	5	100.0	121:2,18:1,48:1,199:1	0x3c8:2,0x90:1,0x180:1,0x638:1	121:2,18:1,48:1,199:1
0x8129b	rsi	byte_index	4	35	11.4	66:4	0x210:4	340:6,215:5,66:4,189:4,337:4,64:4,297:3,18:2
0x855fc	r13	target_value	4	4	100.0	199:2,43:2	0x735389ea0631:2,0x735389e8173d:2	199:2,43:2
0x855fc	r8	slot_pointer	4	4	100.0	199:2,43:2	0x735389ec3d50:2,0x735389ec3870:2	199:2,43:2
0x855fc	r8	table_slot_match	4	4	100.0	199:2,43:2	0x735389ec3d50:2,0x735389ec3870:2	199:2,43:2
0x855fc	r9	byte_index	4	4	100.0	199:2,43:2	0x638:2,0x158:2	199:2,43:2
0x855fc	rbp	frame_pointer	4	4	100.0	199:2,43:2	0x735389e7836d:4	199:2,43:2
0x9170b	r13	byte_index	4	142	2.8	64:4	0x200:4	307:103,91:9,180:6,64:4,189:3,43:3,18:2,301:2
0x937cd	r13	target_value	4	4	100.0	144:4	0x735389e95887:4	144:4
0x937cd	r9	slot_pointer	4	4	100.0	144:4	0x735389ec3b98:4	144:4
0x937cd	r9	table_slot_match	4	4	100.0	144:4	0x735389ec3b98:4	144:4
0x937cd	rbp	frame_pointer	4	4	100.0	144:4	0x735389e7836d:4	144:4
0x9634f	r12	target_value	4	4	100.0	165:4	0x735389e9a24c:4	165:4
0x9634f	r13	entry_index	4	4	100.0	165:4	0xa5:4	165:4
0x9634f	rbp	frame_pointer	4	4	100.0	165:4	0x735389e7836d:4	165:4
0xa9cf4	r14	table_slot_other	4	62	6.5	239:4	0x735389ec3e90:4	320:8,28:6,64:5,18:4,66:4,291:4,157:4,215:4
0xa9cf4	r9	table_slot_other	4	62	6.5	239:4	0x735389ec3e90:4	320:8,28:6,64:5,18:4,66:4,291:4,157:4,215:4
0xac43d	r11	target_value	4	4	100.0	189:2,157:2	0x735389e9e7af:2,0x735389e98a9a:2	189:2,157:2
0xac43d	r12	slot_pointer	4	4	100.0	189:2,157:2	0x735389ec3d00:2,0x735389ec3c00:2	189:2,157:2
0xac43d	r12	table_slot_match	4	4	100.0	189:2,157:2	0x735389ec3d00:2,0x735389ec3c00:2	189:2,157:2
0xac43d	r13	byte_index	4	4	100.0	189:2,157:2	0x5e8:2,0x4e8:2	189:2,157:2
0xac43d	rbp	frame_pointer	4	4	100.0	189:2,157:2	0x735389e7836d:4	189:2,157:2
0xacbc3	r10	byte_index	4	4	100.0	43:4	0x158:4	43:4
0xacbc3	r14	slot_pointer	4	4	100.0	43:4	0x735389ec3870:4	43:4
0xacbc3	r14	table_slot_match	4	4	100.0	43:4	0x735389ec3870:4	43:4
0xacbc3	r15	target_value	4	4	100.0	43:4	0x735389e8173d:4	43:4
0xacbc3	rbp	frame_pointer	4	4	100.0	43:4	0x735389e7836d:4	43:4
0xacbc3	rbx	target_value	4	4	100.0	43:4	0x735389e8173d:4	43:4
0xb7699	r10	slot_pointer	4	4	100.0	354:4	0x735389ec4228:4	354:4
0xb7699	r10	table_slot_match	4	4	100.0	354:4	0x735389ec4228:4	354:4
0xb7699	r12	target_value	4	4	100.0	354:4	0x735389ec2241:4	354:4
0xb7699	r8	target_value	4	4	100.0	354:4	0x735389ec2241:4	354:4
0xb7699	rbp	frame_pointer	4	4	100.0	354:4	0x735389e7836d:4	354:4
0x95b59	rdx	entry_index	3	554	0.5	18:3	0x12:3	258:256,18:103,168:102,64:11,347:9,66:8,297:8,28:8
0xbcfc5	r11	byte_index	3	3	100.0	269:2,49:1	0x868:2,0x188:1	269:2,49:1
0xbcfc5	r15	target_value	3	3	100.0	269:2,49:1	0x735389eb045b:2,0x735389e82820:1	269:2,49:1
0xbcfc5	rbp	frame_pointer	3	3	100.0	269:2,49:1	0x735389e7836d:3	269:2,49:1
0xbcfc5	rdi	slot_pointer	3	3	100.0	269:2,49:1	0x735389ec3f80:2,0x735389ec38a0:1	269:2,49:1
0xbcfc5	rdi	table_slot_match	3	3	100.0	269:2,49:1	0x735389ec3f80:2,0x735389ec38a0:1	269:2,49:1
0x8173b	rax	target_value	2	2	100.0	169:2	0x735389e9af18:2	169:2
0x8173b	rbp	frame_pointer	2	2	100.0	169:2	0x735389e7836d:2	169:2
0x8173b	rcx	slot_pointer	2	2	100.0	169:2	0x735389ec3c60:2	169:2
0x8173b	rcx	table_slot_match	2	2	100.0	169:2	0x735389ec3c60:2	169:2
0x84e1b	r11	slot_pointer	2	2	100.0	157:2	0x735389ec3c00:2	157:2
0x84e1b	r11	table_slot_match	2	2	100.0	157:2	0x735389ec3c00:2	157:2
0x84e1b	rax	target_value	2	2	100.0	157:2	0x735389e98a9a:2	157:2
0x84e1b	rbp	frame_pointer	2	2	100.0	157:2	0x735389e7836d:2	157:2
0x84e1b	rbx	byte_index	2	2	100.0	157:2	0x4e8:2	157:2
0x8b8c9	rax	table_slot_other	2	50	4.0	91:2	0x735389ec39f0:2	189:6,18:6,333:6,168:5,185:4,43:4,3:3,347:3
0x8bcec	r12	target_value	2	2	100.0	330:1,301:1	0x735389ebc9b8:1,0x735389eb708d:1	330:1,301:1
0x8bcec	r13	target_value	2	2	100.0	330:1,301:1	0x735389ebc9b8:1,0x735389eb708d:1	330:1,301:1
0x8bcec	r9	slot_pointer	2	2	100.0	330:1,301:1	0x735389ec4168:1,0x735389ec4080:1	330:1,301:1
0x8bcec	r9	table_slot_match	2	2	100.0	330:1,301:1	0x735389ec4168:1,0x735389ec4080:1	330:1,301:1
0x8bcec	rbp	frame_pointer	2	2	100.0	330:1,301:1	0x735389e7836d:2	330:1,301:1
0x931d0	r11	target_value	2	2	100.0	172:1,300:1	0x735389e9b68a:1,0x735389eb6c36:1	172:1,300:1
