source_entry	source_target	events	unique_targets	full_status	full_terms	full_state_terms	full_post_terms	full_byte_terms	tested_folds	train_fit_folds	test_events	matched_events	coverage_pct	cv_status	top_targets	full_bit_formulas
52	0x833c7	726	11	fit	147	142	0	0	5	5	726	717	98.8	partial	0x258:286,0x9e0:265,0x200:65,0x690:41,0x488:26,0xa70:18,0x620:13,0x7b0:8	y0=0;y1=0;y2=0;y3=state.1^state.4^state.5^state.6^state.7^state.9^state.10^state.11^state.13^state.14^...+8;y4=state.1^state.2^state.4^state.7^state.9^state.10^state.12^state.14^state.16^state.18^...+4;y5=1^state.1^state.2^state.4^state.5^state.6^state.13^state.14^state.19^state.21^...+5;y6=1^state.0^state.3^state.4^state.5^state.7^state.9^state.11^state.12^state.15^...+5;y7=1^state.1^state.2^state.6^state.10^state.12^state.13^state.15^state.16^state.21^...+2;y8=1^state.0^state.1^state.2^state.3^state.5^state.6^state.8^state.9^state.11^...+13;y9=state.0^state.2^state.4^state.6^state.7^state.9^state.11^state.12^state.14^state.15^...+7;y10=state.0^state.3^state.4^state.5^state.7^state.9^state.10^state.15^state.16^state.19^...+4;y11=1^state.0^state.2^state.3^state.4^state.5^state.6^state.7^state.8^state.11^...+9;y12=0
167	0x9a8d2	726	3	fit	17	6	0	6	5	5	726	726	100.0	robust	0xaf8:432,0x8d8:206,0x938:88	y0=0;y1=0;y2=0;y3=1;y4=1;y5=state.5^b4.5;y6=state.6^b4.6;y7=state.6^b4.6;y8=1^state.6^b4.6;y9=1^state.5^state.6^b4.5^b4.6;y10=0;y11=1;y12=0
83	0x8947b	714	8	inconsistent	0	0	0	0	5	0	714	0	0.0	no_train_fit	0x568:147,0x500:134,0x360:102,0x630:75,0xb00:71,0x800:68,0x480:62,0x808:55	
253	0xacfb1	708	47	inconsistent	0	0	0	0	5	0	708	0	0.0	no_train_fit	0x948:266,0xe0:43,0xa88:32,0x638:31,0x390:30,0x768:23,0x90:22,0xaa0:21	
237	0xa8e1f	706	8	inconsistent	0	0	0	0	5	0	706	0	0.0	no_train_fit	0xb00:346,0x360:110,0x500:54,0x800:53,0x480:51,0x630:40,0x568:29,0x808:23	
70	0x8610e	697	8	inconsistent	0	0	0	0	5	0	697	0	0.0	no_train_fit	0x360:363,0x800:90,0x630:63,0x480:54,0x500:41,0xb00:39,0x808:27,0x568:20	
124	0x91e81	639	41	inconsistent	0	0	0	0	5	0	639	0	0.0	no_train_fit	0x158:102,0x4e8:76,0x600:42,0xa00:41,0x860:37,0x998:34,0x128:29,0x5c8:28	
165	0x9a24c	632	22	fit	9	0	0	9	5	5	632	632	100.0	robust	0x390:271,0xa68:94,0xaa0:31,0x860:31,0x658:29,0x90:27,0x200:20,0x4e8:16	y0=0;y1=0;y2=0;y3=b0.0;y4=b0.1;y5=b0.2;y6=b0.3;y7=b0.4;y8=b0.5;y9=b0.6;y10=b0.7;y11=b1.0;y12=0
239	0xa991e	619	48	inconsistent	0	0	0	0	5	0	619	0	0.0	no_train_fit	0x948:98,0xa00:44,0xe0:43,0x638:37,0x4e8:26,0x620:25,0x810:25,0x230:23	
183	0x9d495	611	30	inconsistent	0	0	0	0	5	0	611	0	0.0	no_train_fit	0xa88:37,0x90:35,0x4e8:33,0x560:32,0x390:31,0xaa0:27,0x6e0:27,0x620:26	
