source_entry	source_target	events	unique_post_states	full_status	matched_events	coverage_pct	inconsistent_rows	total_terms	state_terms	flag_terms	vm_byte_terms	byte_terms	tested_folds	train_fit_folds	test_events	cv_matched_events	cv_coverage_pct	cv_status	top_post_states	bit_formulas
62	0x84aa3	36	11	fit	36	100.0	0	146	133	0	0	0	5	5	36	28	77.8	partial	0xdb047aa7:14,0x171070c7:12,0xd2bcf2a6:2,0xc348da38:1,0x9f106d6f:1,0xc1444007:1,0xbf4469c2:1,0xcf64669d:1	s0=1^state.0;s1=1^state.1;s2=1^state.2;s3=state.2^state.6^state.30;s4=state.1;s5=state.3^state.4^state.6^state.30;s6=1^state.3^state.4^state.5^state.6;s7=1^state.1^state.3^state.7^state.30;s8=state.0^state.2^state.3^state.5^state.7^state.12^state.30;s9=state.0^state.1^state.4^state.5^state.6^state.7^state.12;s10=state.0^state.1^state.3^state.5^state.7^state.12^state.30;s11=state.0^state.3^state.30;s12=1^state.0^state.1^state.4^state.5^state.6^state.7^state.12^state.30;s13=1^state.2^state.3^state.4^state.6;s14=1;s15=state.0^state.2^state.3^state.4^state.5^state.6^state.7;s16=0;s17=state.0^state.1^state.2^state.3^state.4^state.5^state.7^state.12;s18=state.2^state.6;s19=state.0^state.2^state.4^state.6;s20=1^state.0^state.4;s21=state.0^state.1^state.2^state.3^state.4^state.5^state.6^state.7;s22=state.0^state.2^state.4^state.5^state.6^state.12;s23=state.0^state.2^state.4^state.7;s24=1^state.0^state.2^state.4^state.7;s25=1^state.2^state.5^state.7;s26=1^state.0^state.2^state.3^state.4^state.5^state.12;s27=state.0^state.1^state.4^state.5^state.30;s28=1^state.1^state.2^state.4^state.5;s29=state.0^state.1^state.6^state.12;s30=state.0^state.1^state.2^state.6^state.7^state.12;s31=state.1^state.3^state.5^state.6^state.30
151	0x97311	34	9	fit	34	100.0	0	155	138	0	0	0	5	5	34	34	100.0	robust	0x972464f1:5,0x89e5e62f:5,0x892dd590:4,0xbf2c8143:4,0x8b6bea15:4,0x8bddc61d:4,0x8964983c:4,0x9b2db8cc:2	s0=state.1^state.3^state.4^state.6^state.8^state.10;s1=state.0^state.1^state.4^state.7^state.10;s2=1^state.0^state.1^state.4^state.10;s3=1^state.0^state.1^state.3^state.4^state.8^state.10;s4=state.4^state.7^state.8^state.10;s5=state.0^state.3^state.4^state.6^state.7^state.10;s6=1^state.0^state.1^state.3^state.7^state.10;s7=1^state.1^state.8^state.10;s8=state.0^state.3^state.7^state.8;s9=state.1^state.3^state.8;s10=state.0^state.1^state.10;s11=1^state.0^state.3^state.6^state.7^state.8^state.10;s12=1^state.1^state.3^state.4^state.6^state.8^state.10;s13=1^state.4^state.8;s14=state.0^state.1^state.3^state.8^state.10;s15=1^state.1^state.6^state.10;s16=1^state.1^state.3^state.6;s17=state.4^state.6^state.7;s18=1^state.4^state.6^state.7;s19=1^state.0^state.3^state.4^state.6^state.7^state.10;s20=state.0^state.1^state.3^state.4^state.6^state.8^state.10;s21=1^state.0^state.1^state.3^state.4^state.6^state.8^state.10;s22=state.3^state.6^state.7^state.10;s23=state.1^state.3^state.4^state.6^state.7^state.8;s24=1^state.3^state.4^state.6^state.7^state.8;s25=1^state.3^state.4^state.6^state.7;s26=state.4^state.6^state.10;s27=1^state.1^state.3^state.4^state.7^state.8^state.10;s28=1^state.0^state.1^state.3^state.7^state.10;s29=state.1^state.3^state.6^state.7^state.8;s30=0;s31=1
336	0xbe8cd	33	10	fit	33	100.0	0	46	45	0	0	0	5	5	33	33	100.0	robust	0x160:4,0x10000000:4,0x11400800:4,0x100:4,0x400800:4,0x1000030:4,0x0:3,0x68:2	s0=0;s1=0;s2=0;s3=state.0^state.1^state.7^state.14;s4=state.3^state.5;s5=state.1^state.2^state.4^state.5^state.6;s6=state.1^state.2^state.3^state.4^state.6;s7=state.1^state.2^state.4^state.6;s8=state.0^state.2^state.3^state.14;s9=0;s10=0;s11=state.3^state.4^state.5^state.6^state.7^state.14;s12=0;s13=0;s14=0;s15=0;s16=0;s17=0;s18=0;s19=0;s20=0;s21=0;s22=state.0^state.1^state.2;s23=0;s24=state.0^state.4^state.6^state.7^state.14;s25=0;s26=0;s27=0;s28=1^state.0^state.1^state.2^state.3^state.5^state.6^state.14;s29=0;s30=0;s31=0
326	0xbc06d	31	2	fit	31	100.0	0	33	19	0	0	0	5	5	31	31	100.0	robust	0xa1488460:18,0x5694cb44:13	s0=0;s1=0;s2=1^state.0;s3=0;s4=0;s5=state.0;s6=1;s7=0;s8=1^state.0;s9=1^state.0;s10=state.0;s11=1^state.0;s12=0;s13=0;s14=1^state.0;s15=1;s16=0;s17=0;s18=1^state.0;s19=state.0;s20=1^state.0;s21=0;s22=state.0;s23=1^state.0;s24=state.0;s25=1^state.0;s26=1^state.0;s27=0;s28=1^state.0;s29=state.0;s30=1^state.0;s31=state.0
186	0x9dcae	29	8	fit	29	100.0	0	102	88	0	0	0	5	5	29	29	100.0	robust	0x0:6,0x1040080:5,0x60100808:5,0x701a0800:4,0x72190060:3,0x9810400:2,0x9800800:2,0x80010400:2	s0=0;s1=0;s2=0;s3=1^state.1^state.3^state.9^state.12;s4=0;s5=1^state.1^state.2^state.3^state.7^state.9^state.12;s6=1^state.1^state.2^state.3^state.7^state.9^state.12;s7=state.0^state.5^state.9;s8=0;s9=0;s10=1^state.0^state.1^state.5^state.12;s11=1^state.0^state.1^state.7^state.9^state.12;s12=0;s13=0;s14=0;s15=0;s16=state.0^state.2^state.3^state.5^state.7^state.9;s17=1^state.0^state.1^state.3^state.9^state.12;s18=state.0^state.5^state.9;s19=state.0^state.2^state.7;s20=1^state.0^state.1^state.2^state.3^state.7^state.9^state.12;s21=0;s22=0;s23=1^state.5^state.7^state.12;s24=1^state.0^state.7^state.9^state.12;s25=1^state.1^state.2^state.3^state.7^state.9^state.12;s26=0;s27=1^state.5^state.7^state.12;s28=state.0^state.2^state.7;s29=1^state.0^state.1^state.2^state.3^state.7^state.9^state.12;s30=1^state.0^state.1^state.2^state.3^state.7^state.9^state.12;s31=1^state.0^state.9^state.12
348	0xc0d7d	28	10	fit	28	100.0	0	37	35	0	0	0	5	5	28	24	85.7	partial	0x1000500:7,0x0:5,0x1000200:4,0x1000610:3,0x1000300:2,0x1000400:2,0x1000000:2,0x10800000:1	s0=0;s1=0;s2=0;s3=0;s4=state.1^state.4^state.7^state.8;s5=0;s6=0;s7=0;s8=1^state.0^state.1^state.2^state.3^state.4^state.10;s9=state.0^state.2^state.5^state.6^state.8;s10=state.1^state.3;s11=0;s12=0;s13=0;s14=0;s15=0;s16=0;s17=0;s18=0;s19=0;s20=0;s21=0;s22=0;s23=state.1^state.3^state.4^state.8^state.9;s24=state.3^state.4^state.5^state.6^state.7^state.8^state.10;s25=0;s26=0;s27=0;s28=1^state.2^state.3^state.4^state.6^state.8^state.9;s29=0;s30=0;s31=0
74	0x86d43	25	8	fit	25	100.0	0	129	111	0	0	0	5	5	25	22	88.0	partial	0xec53214c:5,0x6d25a014:5,0x991ea155:4,0x3925ef3a:4,0x6d1f803c:4,0x483dcb46:1,0xb7251f2c:1,0xc925f74f:1	s0=state.2^state.3;s1=1^state.2^state.4^state.5;s2=state.0^state.1^state.3^state.5;s3=1^state.3^state.4^state.5^state.6;s4=1^state.1^state.2^state.3^state.4^state.5^state.6;s5=1^state.0^state.2^state.6;s6=state.1^state.2^state.3^state.5;s7=0;s8=1^state.1;s9=1^state.0^state.1^state.4^state.5;s10=1^state.0^state.1^state.2^state.4^state.5^state.6;s11=1^state.3^state.5^state.6;s12=state.2^state.3^state.4^state.6;s13=1^state.1^state.3^state.5;s14=1^state.2^state.4^state.5;s15=1^state.0^state.5^state.6;s16=1^state.0^state.1^state.2^state.4^state.6;s17=state.3^state.4^state.6;s18=1^state.1^state.2^state.5^state.6;s19=state.1^state.3^state.4^state.5^state.6;s20=state.2^state.3^state.4;s21=1^state.3^state.4^state.6;s22=state.1^state.2^state.5^state.6;s23=0;s24=1^state.1^state.5;s25=state.0^state.1^state.2;s26=state.0^state.1^state.5^state.6;s27=1^state.0^state.1^state.2;s28=1^state.0^state.1^state.3^state.4^state.5^state.6;s29=1^state.3^state.6;s30=state.0^state.1^state.3^state.4^state.5^state.6;s31=state.0^state.2^state.3^state.5^state.6
125	0x922c4	19	7	fit	19	100.0	0	65	58	0	0	0	5	5	19	13	68.4	partial	0x430108c0:13,0x382501e0:1,0x58:1,0x52200488:1,0x28c001e0:1,0x10110:1,0x6a040490:1	s0=0;s1=0;s2=0;s3=state.2^state.5;s4=1^state.0^state.5;s5=state.2;s6=state.0^state.2;s7=state.1^state.2^state.4;s8=1^state.2^state.3;s9=0;s10=state.0^state.2^state.3;s11=state.0^state.1^state.2^state.3^state.4;s12=0;s13=0;s14=0;s15=0;s16=state.2^state.3^state.4;s17=0;s18=1^state.2^state.3^state.4^state.5;s19=0;s20=0;s21=1^state.0^state.4^state.5;s22=1^state.0^state.1^state.2^state.3;s23=1^state.0^state.1^state.2^state.3;s24=state.0^state.1^state.2^state.3^state.4;s25=state.1^state.4;s26=0;s27=state.0^state.1^state.4^state.5;s28=1^state.0^state.4^state.5;s29=state.0^state.1^state.4^state.5;s30=state.1^state.4;s31=0
321	0xbb1dd	19	3	fit	19	100.0	0	38	23	0	0	0	5	5	19	19	100.0	robust	0x3f06a742:13,0x3f06018a:3,0xd7b4a7cd:3	s0=state.0;s1=1^state.0;s2=state.0;s3=state.3;s4=0;s5=0;s6=1^state.0^state.3;s7=state.3;s8=1;s9=1^state.0^state.3;s10=1^state.0^state.3;s11=0;s12=0;s13=1^state.0^state.3;s14=0;s15=1^state.0^state.3;s16=0;s17=1^state.0;s18=1;s19=0;s20=state.0;s21=state.0;s22=0;s23=state.0;s24=1;s25=1;s26=1;s27=1^state.0;s28=1;s29=1^state.0;s30=state.0;s31=state.0
251	0xacbc5	17	1	fit	17	100.0	0	13	0	0	0	0	5	5	17	17	100.0	robust	0x7cf10610:17	s0=0;s1=0;s2=0;s3=0;s4=1;s5=0;s6=0;s7=0;s8=0;s9=1;s10=1;s11=0;s12=0;s13=0;s14=0;s15=0;s16=1;s17=0;s18=0;s19=0;s20=1;s21=1;s22=1;s23=1;s24=0;s25=0;s26=1;s27=1;s28=1;s29=1;s30=1;s31=0
290	0xb4c00	17	2	fit	17	100.0	0	12	6	0	0	0	5	5	17	17	100.0	robust	0x20800:10,0x16040808:7	s0=0;s1=0;s2=0;s3=1^state.4;s4=0;s5=0;s6=0;s7=0;s8=0;s9=0;s10=0;s11=1;s12=0;s13=0;s14=0;s15=0;s16=0;s17=state.4;s18=1^state.4;s19=0;s20=0;s21=0;s22=0;s23=0;s24=0;s25=1^state.4;s26=1^state.4;s27=0;s28=1^state.4;s29=0;s30=0;s31=0
248	0xac110	15	5	fit	15	100.0	0	72	62	0	0	0	5	5	15	13	86.7	partial	0xe1298c86:9,0x20258d06:2,0x160b258a:2,0x559bdb46:1,0x80cc315e:1	s0=0;s1=1;s2=1^state.0;s3=state.1;s4=state.0^state.1;s5=0;s6=state.2^state.6;s7=state.0^state.1^state.2;s8=1^state.1^state.2;s9=state.0^state.1^state.2^state.6;s10=1^state.2^state.6;s11=1^state.1;s12=state.2^state.6;s13=state.1;s14=state.0^state.1^state.2^state.6;s15=1^state.1;s16=1^state.0^state.1;s17=state.1^state.2^state.6;s18=1^state.6;s19=state.0^state.1^state.6;s20=state.0^state.1^state.2^state.6;s21=1^state.0^state.2^state.6;s22=state.0^state.1;s23=state.2^state.6;s24=state.0^state.6;s25=state.0;s26=state.1^state.2^state.6;s27=0;s28=state.1^state.2^state.6;s29=1^state.0^state.2^state.6;s30=state.0^state.6;s31=state.0^state.2
