source_entry	source_target	events	target_matched_events	target_coverage_pct	target_mismatched_events	ip_matched_events	ip_coverage_pct	ip_mismatched_events	unknown_ops	branch_unknown	avg_steps	unique_paths	branch_sites	top_paths	statuses
307	0xb8064	7050	7050	100.0	0	7050	100.0	0	56400	7050	168.0	1	0xb80ac,0xb8188	7050:594cbf6454cdfe82:0xb80ac:je:?;0xb8188:je:1	ok:7050
297	0xb64d7	6483	6483	100.0	0	6483	100.0	0	376014	12966	214.8	2	0xb64f9,0xb651f,0xb654f,0xb65c8,0xb65f5	4530:544fc165c2f587e5:0xb64f9:je:?;0xb651f:je:?;0xb654f:je:1;0xb65c8:je:0;0xb65f5:je:1|1953:dd7429ceb8820140:0xb64f9:je:?;0xb651f:je:?;0xb654f:je:0;0xb65c8:je:0;0xb65f5:je:1	ok:6483
199	0xa0631	6207	6207	100.0	0	6207	100.0	0	254487	6207	231.3	2	0xa0676,0xa0921,0xa094b,0xa0985	4842:e093012d964a45b0:0xa0676:je:1;0xa0921:je:0;0xa094b:je:?;0xa0985:je:0|1365:cb141dee8e919ff1:0xa0676:je:0;0xa0921:je:0;0xa094b:je:?;0xa0985:je:0	ok:6207
64	0x85059	6175	6175	100.0	0	6175	100.0	0	67925	0	158.2	2	0x8507f,0x850d9	3435:362f895a05304b24:0x8507f:je:1;0x850d9:je:1|2740:4db1c9febad343e7:0x8507f:je:0;0x850d9:je:1	ok:6175
185	0x9d964	6172	6172	100.0	0	6172	100.0	0	141956	6172	171.0	1	0x9da8d,0x9dace,0x9db05,0x9db82	6172:6a2102f5edeb1c96:0x9da8d:je:0;0x9dace:je:0;0x9db05:je:0;0x9db82:je:?	ok:6172
43	0x8173d	5309	5309	100.0	0	5309	100.0	0	233596	5309	221.5	2	0x81762,0x817a0,0x81818	2665:cd5d6af99a29906c:0x81762:je:0;0x817a0:je:1;0x81818:je:?|2644:67213943b44586b3:0x81762:je:0;0x817a0:je:0;0x81818:je:?	ok:5309
196	0x9fbcd	4953	4953	100.0	0	4953	100.0	0	212979	0	237.2	2	0x9fd8f,0x9fdf5	4088:44a20faf942e72a8:0x9fd8f:je:1;0x9fdf5:je:1|865:9917c35930d48ca1:0x9fd8f:je:0;0x9fdf5:je:1	ok:4953
157	0x98a9a	4834	4834	100.0	0	4834	100.0	0	188526	4834	268.7	4	0x98ab4,0x98afb,0x98b42,0x98d6b,0x98db0,0x98e31,0x98e54	1559:e0d685545e474961:0x98ab4:je:1;0x98afb:je:1;0x98b42:je:1;0x98d6b:je:1;0x98db0:je:1;0x98e31:je:?;0x98e54:je:1|1227:428d22ea362d575c:0x98ab4:je:1;0x98afb:je:1;0x98b42:je:1;0x98d6b:je:0;0x98db0:je:0;0x98e31:je:?;0x98e54:je:0|1073:c5125e5d424d2fe7:0x98ab4:je:0;0x98afb:je:1;0x98b42:je:1;0x98d6b:je:0;0x98db0:je:0;0x98e31:je:?;0x98e54:je:0|975:9befb84c13a95252:0x98ab4:je:0;0x98afb:je:1;0x98b42:je:1;0x98d6b:je:1;0x98db0:je:1;0x98e31:je:?;0x98e54:je:1	ok:4834
168	0x9aa83	4535	4535	100.0	0	4535	100.0	0	294775	9070	228.5	2	0x9aa9c,0x9aadd,0x9ab2f,0x9ab7f,0x9ad6a,0x9ad85	2629:e7cc215af77d8ef7:0x9aa9c:je:1;0x9aadd:je:1;0x9ab2f:je:1;0x9ab7f:je:?;0x9ad6a:je:?;0x9ad85:je:0|1906:10bb5c4fd8158911:0x9aa9c:je:0;0x9aadd:je:1;0x9ab2f:je:1;0x9ab7f:je:?;0x9ad6a:je:?;0x9ad85:je:0	ok:4535
172	0x9b68a	4530	4530	100.0	0	4530	100.0	0	289920	0	215.3	2	0x9b76c	2423:5946e91076802daf:0x9b76c:je:1|2107:9f43d3ef44650cf6:0x9b76c:je:0	ok:4530
268	0xb0007	3696	3696	100.0	0	3696	100.0	0	170016	7392	231.2	2	0xb01e9,0xb0218,0xb026a,0xb029a,0xb02eb,0xb0307	2583:2a7cfed8554aeeea:0xb01e9:je:?;0xb0218:je:0;0xb026a:je:1;0xb029a:je:?;0xb02eb:je:0;0xb0307:je:1|1113:2f800efc03f55feb:0xb01e9:je:?;0xb0218:je:1;0xb026a:je:1;0xb029a:je:?;0xb02eb:je:0;0xb0307:je:1	ok:3696
333	0xbd8af	3602	3602	100.0	0	3602	100.0	0	14408	3602	235.0	1	0xbd8d9,0xbd9ec,0xbda3c	3602:9d487206b525255d:0xbd8d9:je:?;0xbd9ec:je:0;0xbda3c:je:0	ok:3602
174	0x9bd8f	3318	3318	100.0	0	3318	100.0	0	165900	0	169.0	1	0x9bf10	3318:1d005b75b3304463:0x9bf10:jne:1	ok:3318
315	0xb9451	3298	3298	100.0	0	3298	100.0	0	181390	3298	193.9	2	0xb94cc,0xb961d,0xb9652,0xb9690,0xb969f,0xb971f	2024:bf4929f2b479b9b6:0xb94cc:je:1;0xb961d:jne:?;0xb9652:jne:1;0xb9690:je:0;0xb969f:je:1;0xb971f:je:0|1274:9796936e710897cc:0xb94cc:je:0;0xb961d:jne:?;0xb9652:jne:1;0xb9690:je:0;0xb969f:je:1;0xb971f:je:0	ok:3298
