source_entry	source_target	events	target_matched_events	target_coverage_pct	target_mismatched_events	ip_matched_events	ip_coverage_pct	ip_mismatched_events	unknown_ops	branch_unknown	avg_steps	statuses	unique_target_exprs	unique_slot_exprs	unique_ip_exprs	top_target_exprs	top_slot_exprs	top_ip_exprs	example_status	example_pred_entry	example_actual_entry	example_bytes	example_target_expr
311	0xb86f8	67	0	0.0	67	0	0.0	67	536	0	242.0	unknown_target:67	1	1	1	67=T[(mask32((mask32(u16_3 ^ (mask32((mask32(state0 - 0x1889c111)) - (mask32((mask32((mask32(flags0 - (mask32((mask32(state0 - 0x1889c111)) + 0x3cae9026)))) | 0x2b959efa)) | 0x35e8abc1)))))) ^ 0xa9f4228)) & 0xffff]	67=(mask32((mask32(u16_3 ^ (mask32((mask32(state0 - 0x1889c111)) - (mask32((mask32((mask32(flags0 - (mask32((mask32(state0 - 0x1889c111)) + 0x3cae9026)))) | 0x2b959efa)) | 0x35e8abc1)))))) ^ 0xa9f4228)) & 0xffff	67=0x5	unknown_target	-1	169	dff82600800000fd0100	T[(mask32((mask32(u16_3 ^ (mask32((mask32(state0 - 0x1889c111)) - (mask32((mask32((mask32(flags0 - (mask32((mask32(state0 - 0x1889c111)) + 0x3cae9026)))) | 0x2b959efa)) | 0x35e8abc1)))))) ^ 0xa9f4228)) & 0xffff]
317	0xba1e2	66	66	100.0	0	66	100.0	0	0	0	241.7	ok:66	3	3	1	47=T[(mask32((mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - flags0)) | flags0)) ^ (mask32(u16_2 + flags0)))) & (mask32(flags0 & 0x19a77ba)))) + flags0)) | flags0)) ^ (mask32(flags0 | 0x501e3e6c)))) ^ flags0)))) + 0x18e7b255)) & 0xffff];12=T[(mask32((mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - (mask32((mask32((mask32((mask32(flags0 + 0x189c9c80)) - 0x4373d071)) ^ 0x12461866)) & 0x2d8e67e2)))) | (mask32((mask32((mask32((mask32(flags0 + 0x189c9c80)) - 0x4373d071)) ^ 0x12461866)) & 0x2d8e67e2)))) ...#4eb5310d9457;7=T[(mask32((mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - (mask32((mask32(flags0 + 0x189c9c80)) - 0x4373d071)))) | (mask32((mask32(flags0 + 0x189c9c80)) - 0x4373d071)))) ^ (mask32(u16_2 + (mask32((mask32(flags0 + 0x189c9c80)) - 0x4373d071)))))) & (mask32((mask32...#ec1cdfcd7464	47=(mask32((mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - flags0)) | flags0)) ^ (mask32(u16_2 + flags0)))) & (mask32(flags0 & 0x19a77ba)))) + flags0)) | flags0)) ^ (mask32(flags0 | 0x501e3e6c)))) ^ flags0)))) + 0x18e7b255)) & 0xffff;12=(mask32((mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - (mask32((mask32((mask32((mask32(flags0 + 0x189c9c80)) - 0x4373d071)) ^ 0x12461866)) & 0x2d8e67e2)))) | (mask32((mask32((mask32((mask32(flags0 + 0x189c9c80)) - 0x4373d071)) ^ 0x12461866)) & 0x2d8e67e2)))) ^ ...#3c36dcb3546a;7=(mask32((mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - (mask32((mask32(flags0 + 0x189c9c80)) - 0x4373d071)))) | (mask32((mask32(flags0 + 0x189c9c80)) - 0x4373d071)))) ^ (mask32(u16_2 + (mask32((mask32(flags0 + 0x189c9c80)) - 0x4373d071)))))) & (mask32((mask32((...#6112e3293856	66=0x4					
102	0x8d71d	64	64	100.0	0	64	100.0	0	66	0	146.6	ok:64	1	1	1	64=T[(mask32((mask32(u16_11 + state0)) + 0x7b88d4e3)) & 0xffff]	64=(mask32((mask32(u16_11 + state0)) + 0x7b88d4e3)) & 0xffff	64=0xd					
264	0xaf4cf	49	0	0.0	49	0	0.0	49	686	0	230.0	unknown_target:49	1	1	1	49=T[(mask32((mask32(u16_8 + state0)) - 0x6fba3362)) & 0xffff]	49=(mask32((mask32(u16_8 + state0)) - 0x6fba3362)) & 0xffff	49=0x22	unknown_target	-1	310	84f72600800000fd0100	T[(mask32((mask32(u16_8 + state0)) - 0x6fba3362)) & 0xffff]
0	0x78561	48	48	100.0	0	48	100.0	0	624	0	155.0	ok:48	1	1	1	48=T[(mask32((mask32(u16_0 + (mask32(state0 ^ 0x1966e0e7)))) - 0x251a0141)) & 0xffff]	48=(mask32((mask32(u16_0 + (mask32(state0 ^ 0x1966e0e7)))) - 0x251a0141)) & 0xffff	48=0x5					
242	0xaa87d	43	43	100.0	0	43	100.0	0	43	0	149.8	ok:43	1	1	1	43=T[(mask32((mask32(u16_3 - state0)) ^ 0x5c05e9b5)) & 0xffff]	43=(mask32((mask32(u16_3 - state0)) ^ 0x5c05e9b5)) & 0xffff	43=0x5					
62	0x84aa3	36	36	100.0	0	36	100.0	0	216	0	183.2	ok:36	1	1	1	36=T[(mask32((mask32(u16_0 ^ (mask32((mask32(state0 | (mask32(u16_2 ^ (mask32(flags0 + 0xd90ded5)))))) ^ 0x5dbb6647)))) + 0x7ebb48a2)) & 0xffff]	36=(mask32((mask32(u16_0 ^ (mask32((mask32(state0 | (mask32(u16_2 ^ (mask32(flags0 + 0xd90ded5)))))) ^ 0x5dbb6647)))) + 0x7ebb48a2)) & 0xffff	36=0x4					
151	0x97311	34	34	100.0	0	34	100.0	0	68	0	183.0	ok:34	1	1	1	34=T[(mask32((mask32(u16_3 + (mask32(state0 + flags0)))) + 0x77236c60)) & 0xffff]	34=(mask32((mask32(u16_3 + (mask32(state0 + flags0)))) + 0x77236c60)) & 0xffff	34=0x5					
336	0xbe8cd	33	33	100.0	0	33	100.0	0	33	0	164.0	ok:33	1	1	1	33=T[(mask32(u16_2 ^ 0x114009e8)) & 0xffff]	33=(mask32(u16_2 ^ 0x114009e8)) & 0xffff	33=0x5					
326	0xbc06d	31	31	100.0	0	31	100.0	0	62	0	146.0	ok:31	1	1	1	31=T[(mask32(u16_1 ^ 0x50d4eebe)) & 0xffff]	31=(mask32(u16_1 ^ 0x50d4eebe)) & 0xffff	31=0x5					
