source_entry	source_target	path_hash	events	target_matched_events	target_coverage_pct	ip_matched_events	ip_coverage_pct	statuses	top_actual_targets	path
26	0x7dbbb	8623fffaa53cc3c3	1190	1190	100.0	1190	100.0	ok:1190	114@0x90319:302,43@0x8173d:106,258@0xadf2c:104,268@0xb0007:84,157@0x98a9a:81,347@0xc088d:49,28@0x7e390:47,18@0x7be9b:40	0x7dc03:je:1;0x7dc9b:je:0;0x7dd00:je:0;0x7dd5d:je:1;0x7ddeb:jne:?;0x7ddfc:jne:1;0x7de1d:je:0;0x7de2c:je:1;0x7de4d:je:0;0x7dea3:je:1
256	0xad849	1413958a75f2cf9a	1176	1176	100.0	1176	100.0	ok:1176	340@0xbf435:295,157@0x98a9a:78,268@0xb0007:75,337@0xbec0e:73,273@0xb11ca:66,189@0x9e7af:51,114@0x90319:40,168@0x9aa83:38	0xad89b:jne:1;0xad8a7:jne:1;0xad8b4:jne:1;0xad8e1:jne:0;0xad973:je:0;0xad9da:je:0;0xada6f:je:0
350	0xc1926	4fe792b99d9f1417	1176	1176	100.0	1176	100.0	ok:1176	258@0xadf2c:257,281@0xb2db6:257,114@0x90319:80,215@0xa4609:67,185@0x9d964:66,220@0xa522e:64,320@0xbada5:64,183@0x9d495:62	0xc1974:je:0
352	0xc1ec4	40091eb38d674e38	1131	1131	100.0	1131	100.0	ok:1131	292@0xb540f:257,258@0xadf2c:87,121@0x91379:79,208@0xa2361:66,196@0x9fbcd:54,340@0xbf435:45,307@0xb8064:39,347@0xc088d:35	0xc1f17:je:0;0xc1f5b:je:?;0xc1fba:jne:1;0xc1fc6:jne:1;0xc1fd3:jne:1;0xc2000:jne:0;0xc2027:je:0
268	0xb0007	2f800efc03f55feb	1113	1113	100.0	1113	100.0	ok:1113	28@0x7e390:211,215@0xa4609:109,337@0xbec0e:83,332@0xbd36d:74,154@0x97ce6:68,307@0xb8064:48,340@0xbf435:42,305@0xb78b0:41	0xb01e9:je:?;0xb0218:je:1;0xb026a:je:1;0xb029a:je:?;0xb02eb:je:0;0xb0307:je:1
287	0xb45d2	c14b247d650ba764	1102	1102	100.0	1102	100.0	ok:1102	297@0xb64d7:309,28@0x7e390:288,258@0xadf2c:40,340@0xbf435:38,189@0x9e7af:32,307@0xb8064:32,338@0xbf128:29,66@0x855ff:29	0xb461d:je:0;0xb464a:je:0;0xb468d:je:0;0xb46fa:je:1;0xb47a7:jne:?;0xb47b8:jne:1;0xb47d9:je:0;0xb47e8:je:1;0xb4810:je:?
157	0x98a9a	c5125e5d424d2fe7	1073	1073	100.0	1073	100.0	ok:1073	18@0x7be9b:257,346@0xc0535:83,179@0x9ca8d:68,66@0x855ff:67,49@0x82820:66,83@0x8947b:65,337@0xbec0e:60,189@0x9e7af:49	0x98ab4:je:0;0x98afb:je:1;0x98b42:je:1;0x98d6b:je:0;0x98db0:je:0;0x98e31:je:?;0x98e54:je:0
273	0xb11ca	e3b0c44298fc1c14	1072	1072	100.0	1072	100.0	ok:1072	199@0xa0631:258,183@0x9d495:93,196@0x9fbcd:81,347@0xc088d:78,64@0x85059:68,307@0xb8064:67,105@0x8e6b4:64,70@0x8610e:64	-
171	0x9b4b3	6a4f585c5930d681	1069	1069	100.0	1069	100.0	ok:1069	196@0x9fbcd:351,322@0xbb3c9:256,337@0xbec0e:73,185@0x9d964:69,333@0xbd8af:29,43@0x8173d:28,340@0xbf435:23,66@0x855ff:22	0x9b594:je:1
20	0x7c62b	91581e7b11756f10	1056	1056	100.0	1056	100.0	ok:1056	114@0x90319:324,258@0xadf2c:138,64@0x85059:104,18@0x7be9b:51,189@0x9e7af:45,337@0xbec0e:43,185@0x9d964:42,347@0xc088d:35	0x7c649:je:?;0x7c702:je:0;0x7c858:jne:1
