source_entry	source_target	events	unique_targets	best_class	best_formula	matched_events	coverage_pct	top_targets
239	0xa991e	619	48	constant_target	constant:0x948	98	15.8	0x948:98,0xa00:44,0xe0:43,0x638:37,0x4e8:26,0x620:25,0x810:25,0x230:23
183	0x9d495	611	30	constant_target	constant:0xa88	37	6.1	0xa88:37,0x90:35,0x4e8:33,0x560:32,0x390:31,0xaa0:27,0x6e0:27,0x620:26
140	0x94e5a	560	40	constant_target	constant:0x998	67	12.0	0x998:67,0x5f0:64,0x5c8:48,0xaa0:29,0xad8:29,0x200:23,0xe0:23,0x5e8:21
91	0x8b6de	546	30	state_expr	(state^u16_0)&0x1fff	546	100.0	0x810:42,0xaa0:41,0x278:34,0x298:32,0xa88:32,0x18:28,0xad8:27,0x6e0:27
351	0xc1d48	542	29	constant_target	constant:0x948	256	47.2	0x948:256,0x810:28,0x5e8:28,0x560:26,0xe0:21,0x3c8:17,0x7f0:17,0xa68:16
99	0x8c99a	531	8	constant_target	constant:0x630	384	72.3	0x630:384,0x568:129,0x800:6,0x500:4,0x360:3,0x480:2,0x808:2,0xb00:1
180	0x9cf32	478	30	constant_target	constant:0x540	44	9.2	0x540:44,0x278:38,0x948:30,0x4e8:30,0x868:29,0x658:25,0x90:23,0xa88:22
292	0xb540f	476	26	constant_target	constant:0x5c8	259	54.4	0x5c8:259,0xaf0:64,0x998:64,0x2e0:8,0x638:7,0x2d0:7,0xac8:6,0xa60:6
208	0xa2361	456	26	constant_target	constant:0x278	75	16.4	0x278:75,0xaa0:66,0x560:65,0x948:64,0x188:64,0x998:21,0x158:14,0x390:13
181	0x9d13f	453	14	constant_target	constant:0x6b8	256	56.5	0x6b8:256,0x5e8:32,0xa88:27,0xad8:18,0x390:17,0x200:17,0x210:16,0x810:16
90	0x8b334	441	34	constant_target	constant:0x188	257	58.3	0x188:257,0x820:64,0xa50:16,0xe0:11,0x210:10,0x960:8,0x778:6,0x968:6
200	0xa0a9e	437	47	direct_u16	u16_4	437	100.0	0x948:39,0x90:30,0x638:28,0x5c8:26,0x158:24,0xa68:22,0x860:16,0x210:15
105	0x8e6b4	414	33	direct_u16	u16_2	414	100.0	0xaf0:256,0x918:71,0x9e8:7,0x90:6,0x7f0:5,0x948:5,0x3d0:5,0x8c8:4
118	0x90c23	390	6	constant_target	constant:0xa60	256	65.6	0xa60:256,0xa10:64,0x6c8:64,0x560:3,0x680:2,0x318:1
338	0xbf128	387	3	constant_target	constant:0x8d8	175	45.2	0x8d8:175,0xaf8:110,0x938:102
127	0x926c3	384	3	constant_target	constant:0x360	256	66.7	0x360:256,0x480:64,0x808:64
283	0xb3612	381	32	constant_target	constant:0x810	86	22.6	0x810:86,0x820:66,0xa68:29,0x540:27,0x6b8:27,0x5c8:17,0x998:17,0x5e8:15
349	0xc140b	366	29	direct_u16	u16_2	366	100.0	0x88:260,0xe0:17,0x8d0:14,0x90:7,0x188:6,0xac8:5,0x348:5,0x638:5
281	0xb2db6	347	34	constant_target	constant:0x868	257	74.1	0x868:257,0x920:9,0x348:7,0x180:5,0xa50:5,0x278:4,0x1c0:4,0x7f0:4
17	0x7bae9	346	26	constant_target	constant:0x960	256	74.0	0x960:256,0x5c8:8,0x6e0:6,0x298:6,0x460:6,0xe0:5,0x2d0:5,0xf0:5
201	0xa0dca	340	6	constant_target	constant:0x568	257	75.6	0x568:257,0x800:71,0x500:4,0x480:4,0x630:2,0x808:2
354	0xc2241	334	29	other_expr	(u16_0&0x1ff)*8	334	100.0	0xaa0:37,0x540:33,0x5e8:31,0x4e8:31,0x158:22,0x860:21,0x5c8:21,0x658:17
291	0xb4edd	311	31	constant_target	constant:0xa50	68	21.9	0xa50:68,0x90:64,0x920:64,0x278:18,0x998:11,0x460:9,0xe0:8,0x868:7
169	0x9af18	296	3	other_expr	(u16_0&0x1ff)*8	296	100.0	0x558:124,0xb10:110,0x528:62
179	0x9ca8d	271	26	constant_target	constant:0x90	69	25.5	0x90:69,0x860:27,0xa88:26,0x158:19,0x658:15,0x4e8:11,0x560:10,0x18:9
310	0xb8556	266	3	other_expr	(u16_2&0x1ff)*8	266	100.0	0x528:113,0xb10:91,0x558:62
107	0x8eef4	256	1	state_expr	(state-u16_0)&0x7ff	256	100.0	0x500:256
261	0xaeda2	250	13	constant_target	constant:0xad8	102	40.8	0xad8:102,0x948:30,0x390:30,0x90:27,0xa88:18,0x6b8:14,0x5e8:14,0x810:7
119	0x90ebc	243	14	constant_target	constant:0xad8	70	28.8	0xad8:70,0x200:29,0xe0:28,0xaa0:26,0xa88:19,0x948:16,0x6b8:15,0x90:14
146	0x96407	238	27	constant_target	constant:0x230	64	26.9	0x230:64,0x810:30,0xe0:25,0x560:19,0x278:18,0xa88:9,0x210:8,0x5e8:8
40	0x8115d	235	15	constant_target	constant:0x390	69	29.4	0x390:69,0x210:21,0x200:21,0x6b8:20,0xaa0:20,0x948:17,0x638:16,0x90:15
217	0xa4b11	206	8	state_expr	(u16_1-post)&0x1fff	206	100.0	0xb00:66,0x630:66,0x480:64,0x360:4,0x568:3,0x500:1,0x800:1,0x808:1
295	0xb60e0	190	27	constant_target	constant:0x810	32	16.8	0x810:32,0xe0:27,0x210:27,0x200:18,0x158:16,0x4e8:14,0x620:13,0x390:6
222	0xa5f3c	177	26	constant_target	constant:0x6e0	66	37.3	0x6e0:66,0x948:9,0x5e8:9,0x868:9,0x860:8,0xe0:7,0x968:7,0x658:7
330	0xbc9b8	169	29	direct_u16	u16_0	169	100.0	0x90:68,0x820:14,0x3d0:12,0x918:9,0xae8:6,0x8c8:6,0x868:4,0x18:4
282	0xb3128	165	32	constant_target	constant:0x8c0	64	38.8	0x8c0:64,0x638:12,0x2d0:11,0x2e0:7,0x8c8:7,0x90:6,0x3e0:5,0x5c8:5
92	0x8b8cb	158	31	constant_target	constant:0x8d0	67	42.4	0x8d0:67,0x6b8:8,0x180:7,0x90:7,0xe0:6,0x298:6,0xa10:5,0x88:4
88	0x8aa14	145	5	constant_target	constant:0xb00	65	44.8	0xb00:65,0x808:64,0x568:8,0x800:6,0x360:2
129	0x92f21	136	8	other_expr	(b1&0x1ff)*8	64	47.1	0x6b8:64,0x318:64,0x6c8:2,0x638:2,0x560:1,0x960:1,0x490:1,0xad8:1
