entry	target	tail_site	tail_reg	tail_distance	target_hits	tail_site_hits	observed_target
148	0x96b6e	0x96eb1	r14	0x343	105	105	1
149	0x96eb4	0x9730e	r10	0x45a	0	0	0
150	0x96f2a	0x9730e	r10	0x3e4	0	0	0
151	0x97311	0x97689	r11	0x378	34	34	1
152	0x9768c	0x979a8	r13	0x31c	0	0	0
153	0x979ab	0x97ce3	r9	0x338	10	10	1
154	0x97ce6	0x980a9	rax	0x3c3	869	874	1
155	0x980ab	0x98351	r13	0x2a6	0	22	0
156	0x98354	0x98a98	rdi	0x744	0	0	0
157	0x98a9a	0x99026	r9	0x58c	4834	4834	1
158	0x99029	0x992ca	r13	0x2a1	2632	2632	1
159	0x992cd	0x994cc	r11	0x1ff	0	0	0
160	0x994cf	0x99757	r8	0x288	2706	2706	1
161	0x9975a	0x99b3a	rax	0x3e0	2666	2666	1
162	0x99b3c	0x99e1e	r15	0x2e2	0	0	0
163	0x99e21	0x9a249	r14	0x428	0	0	0
164	0x99e99	0x9a249	r14	0x3b0	0	0	0
165	0x9a24c	0x9a46b	r9	0x21f	632	632	1
166	0x9a46e	0x9a8cf	r12	0x461	0	0	0
167	0x9a8d2	0x9aa81	rdx	0x1af	726	726	1
168	0x9aa83	0x9af16	rdi	0x493	4535	4537	1
169	0x9af18	0x9b0c5	r10	0x1ad	1788	513	1
170	0x9b0c8	0x9b4b0	r10	0x3e8	0	0	0
171	0x9b4b3	0x9b687	r14	0x1d4	1069	1069	1
172	0x9b68a	0x9ba72	rsi	0x3e8	4530	4531	1
173	0x9ba74	0x9bd8c	r11	0x318	2374	2374	1
174	0x9bd8f	0x9c08c	r15	0x2fd	3318	3318	1
175	0x9c08f	0x9c3f4	r13	0x365	1	2512	1
176	0x9c10b	0x9c3f4	r13	0x2e9	2512	2512	1
177	0x9c3f7	0x9c748	rcx	0x351	0	0	0
178	0x9c74a	0x9ca8a	r9	0x340	0	0	0
179	0x9ca8d	0x9cf2f	r12	0x4a2	271	271	1
180	0x9cf32	0x9d13d	rdx	0x20b	478	478	1
181	0x9d13f	0x9d24a	rax	0x10b	453	453	1
182	0x9d24c	0x9d492	r15	0x246	0	0	0
183	0x9d495	0x9d692	rcx	0x1fd	611	611	1
184	0x9d694	0x9d961	r13	0x2cd	3100	3100	1
185	0x9d964	0x9dcab	r10	0x347	6172	6172	1
186	0x9dcae	0x9e07a	r8	0x3cc	29	29	1
187	0x9e07d	0x9e333	r10	0x2b6	5	5	1
188	0x9e336	0x9e7ac	r9	0x476	0	0	0
189	0x9e7af	0x9eac9	rdx	0x31a	7459	7466	1
190	0x9eacb	0x9ede7	rax	0x31c	81	81	1
191	0x9ede9	0x9f007	r15	0x21e	0	0	0
192	0x9f00a	0x9f779	r14	0x76f	1120	1120	1
193	0x9f77c	0x9faa2	rbx	0x326	0	0	0
194	0x9faa4	0xa0068	r10	0x5c4	0	4957	0
195	0x9fb50	0xa0068	r10	0x518	11	4957	1
196	0x9fbcd	0xa0068	r10	0x49b	4953	4957	1
197	0xa006b	0xa037b	r8	0x310	0	0	0
198	0xa037e	0xa062e	r14	0x2b0	2441	2441	1
199	0xa0631	0xa0a9c	rax	0x46b	6207	6207	1
200	0xa0a9e	0xa0dc7	r10	0x329	437	437	1
201	0xa0dca	0xa13d3	r10	0x609	340	340	1
202	0xa13d6	0xa1936	r12	0x560	0	3283	0
203	0xa1484	0xa1936	r12	0x4b2	3283	3283	1
204	0xa1939	0xa1a92	r12	0x159	0	0	0
205	0xa1a95	0xa1ecd	rbx	0x438	0	0	0
206	0xa1b3e	0xa1ecd	rbx	0x38f	0	0	0
207	0xa1ecf	0xa235e	r14	0x48f	0	0	0
208	0xa2361	0xa2933	rbx	0x5d2	456	456	1
209	0xa2935	0xa2da1	rdi	0x46c	1	1	1
210	0xa2da3	0xa35dd	r13	0x83a	80	9	1
211	0xa36c9	0xa3a49	rdx	0x380	0	0	0
212	0xa3a4b	0xa3dc4	r14	0x379	0	7	0
213	0xa3dc7	0xa3fe7	rdx	0x220	0	0	0
214	0xa3fe9	0xa4606	r13	0x61d	4	4	1
215	0xa4609	0xa4a5e	r14	0x455	7121	7122	1
216	0xa4a61	0xa4df4	r14	0x393	124	206	1
217	0xa4b11	0xa4df4	r14	0x2e3	206	206	1
218	0xa4df7	0xa5178	r12	0x381	0	0	0
219	0xa517b	0xa5886	r10	0x70b	0	1926	0
220	0xa522e	0xa5886	r10	0x658	1926	1926	1
221	0xa5889	0xa5f3a	rdi	0x6b1	4	4	1
222	0xa5f3c	0xa646d	r13	0x531	177	177	1
223	0xa6470	0xa68bf	r10	0x44f	0	0	0
224	0xa68c2	0xa6af6	r14	0x234	0	0	0
225	0xa6af9	0xa6e53	rdx	0x35a	0	0	0
226	0xa6e55	0xa71fb	r8	0x3a6	0	0	0
227	0xa6f03	0xa71fb	r8	0x2f8	0	0	0
228	0xa6f79	0xa71fb	r8	0x282	0	0	0
229	0xa71fe	0xa757c	r11	0x37e	0	0	0
230	0xa757f	0xa7999	rdi	0x41a	0	0	0
231	0xa799b	0xa7ef6	rsi	0x55b	4	4	1
232	0xa7ef8	0xa81c1	r12	0x2c9	0	48	0
233	0xa81c4	0xa844e	rdi	0x28a	0	0	0
234	0xa823e	0xa844e	rdi	0x210	0	0	0
235	0xa8450	0xa87b4	rbx	0x364	0	0	0
236	0xa87b6	0xa8e1d	rsi	0x667	0	0	0
237	0xa8e1f	0xa94a3	rdx	0x684	706	706	1
238	0xa94a5	0xa991c	rdx	0x477	0	0	0
239	0xa991e	0xa9cf4	r8	0x3d6	619	619	1
240	0xa9cf7	0xa9ff7	r8	0x300	5	5	1
241	0xa9ffa	0xaa87a	r13	0x880	1	1	1
242	0xaa87d	0xaab67	r8	0x2ea	43	43	1
243	0xaab6a	0xaaf3c	rsi	0x3d2	2189	2189	1
244	0xaaf3e	0xab13e	r14	0x200	0	0	0
245	0xab141	0xab424	r12	0x2e3	12	12	1
246	0xab427	0xabc56	r9	0x82f	34	9	1
247	0xabd6f	0xac10e	rdx	0x39f	0	0	0
248	0xac110	0xac43d	r11	0x32d	15	15	1
249	0xac440	0xac7ff	r11	0x3bf	0	0	0
250	0xac802	0xacbc3	rbx	0x3c1	72	72	1
251	0xacbc5	0xacefb	rsi	0x336	17	17	1
252	0xacefd	0xad329	r8	0x42c	0	708	0
253	0xacfb1	0xad329	r8	0x378	708	708	1
254	0xad32c	0xad766	rsi	0x43a	822	828	1
255	0xad768	0xad847	rdi	0xdf	0	0	0
256	0xad849	0xadbfa	r9	0x3b1	1516	1516	1
