source_block	source_range	target_block	target_range	class	events	unique_start_ips	top_sources	top_targets	top_deltas	byte_statuses
126	0x312868-0x31297d	126	0x312868-0x31297d	intra_block	936	72	305:78,64:78,333:65,168:52,189:39,28:39,196:39,307:39	305:78,64:78,333:65,168:52,189:39,28:39,196:39,307:39	+0x4:676,+0x3:221,+0x2:13,+0x6:13,+0x5:13	exact:936
148	0x3156ca-0x3157e1	148	0x3156ca-0x3157e1	intra_block	936	72	305:52,333:52,189:52,157:39,199:39,66:39,346:39,43:39	305:52,333:52,189:52,157:39,199:39,66:39,346:39,43:39	+0x4:663,+0x3:221,+0x6:26,+0x2:13,+0x5:13	exact:936
253	0x33dcce-0x33de22	253	0x33dcce-0x33de22	intra_block	906	89	340:63,297:48,114:48,174:48,199:48,185:48,123:48,337:39	340:63,123:60,297:48,114:48,174:48,199:48,185:48,337:39	+0x4:510,+0x3:249,+0x2:57,+0x5:48,+0x6:42	exact:906
256	0x33e15d-0x33e2da	256	0x33e15d-0x33e2da	intra_block	900	100	114:63,18:45,307:45,340:36,215:36,347:36,297:36,176:36	114:63,307:45,340:36,215:36,347:36,297:36,18:36,176:36	+0x4:477,+0x3:225,+0x5:90,+0x2:72,+0x6:36	exact:900
209	0x334cab-0x33518c	209	0x334cab-0x33518c	intra_block	886	322	28:29,173:27,347:26,203:25,108:24,340:24,183:23,352:23	28:29,173:27,347:26,203:25,108:24,340:24,183:23,352:23	+0x4:359,+0x5:179,+0x2:142,+0x3:141,+0x6:65	exact:886
102	0x30eeea-0x30f3c5	102	0x30eeea-0x30f3c5	intra_block	882	321	199:28,347:28,108:27,173:26,352:26,301:25,333:24,337:23	199:28,347:28,108:27,173:26,352:26,301:25,333:24,337:23	+0x4:359,+0x5:179,+0x2:142,+0x3:141,+0x6:61	exact:882
151	0x315bbf-0x315cc0	151	0x315bbf-0x315cc0	intra_block	871	67	157:78,18:65,64:52,315:52,189:39,196:39,28:39,33:39	157:78,18:65,64:52,315:52,189:39,196:39,28:39,33:39	+0x4:637,+0x3:208,+0x2:13,+0x6:13	exact:871
255	0x33e03b-0x33e14c	255	0x33e03b-0x33e14c	intra_block	852	71	215:48,258:48,18:48,337:48,333:48,340:48,28:36,287:36	215:48,258:48,18:48,337:48,333:48,340:48,28:36,287:36	+0x4:612,+0x3:204,+0x2:12,+0x6:12,+0x5:12	exact:852
95	0x26e8ba-0x26ebb3	95	0x26e8ba-0x26ebb3	intra_block	796	199	307:44,28:40,114:40,337:32,347:28,64:28,189:24,196:24	307:44,28:40,114:40,337:32,347:28,64:28,189:24,196:24	+0x4:452,+0x3:184,+0x5:68,+0x2:56,+0x6:36	exact:796
90	0x26dc7b-0x26dee4	90	0x26dc7b-0x26dee4	intra_block	648	162	18:40,337:28,64:28,297:24,347:24,258:24,66:20,215:20	18:40,337:28,64:28,297:24,347:24,258:24,66:20,215:20	+0x4:396,+0x3:160,+0x5:36,+0x2:32,+0x6:24	exact:648
