source_block	source_range	target_block	target_range	class	events	unique_start_ips	top_sources	top_targets	top_deltas	byte_statuses
83	0x26cd71-0x26cf1b	83	0x26cd71-0x26cf1b	intra_block	444	111	66:28,340:20,189:20,307:20,43:20,337:20,157:16,287:16	66:28,340:20,189:20,307:20,43:20,337:20,157:16,287:16	+0x4:272,+0x3:96,+0x5:36,+0x2:28,+0x6:12	exact:444
78	0x24b060-0x24b39b	78	0x24b060-0x24b39b	intra_block	434	217	340:22,297:20,114:18,189:16,18:16,307:14,268:12,185:12	340:22,297:20,114:18,189:16,18:16,307:14,268:12,185:12	+0x4:244,+0x3:98,+0x5:40,+0x2:34,+0x6:18	exact:434
179	0x33cd1f-0x33d2d9	179	0x33cd1f-0x33d2d9	intra_block	385	385	337:21,297:21,18:18,114:18,189:15,258:14,174:13,347:12	337:21,297:21,18:18,114:18,189:15,258:14,174:13,347:12	+0x4:236,+0x3:97,+0x5:21,+0x2:18,+0x6:11,+0xa:2	exact:385
81	0x24b891-0x24bb69	81	0x24b891-0x24bb69	intra_block	384	192	258:20,18:18,114:18,66:16,307:14,347:12,337:12,64:12	258:20,18:18,114:18,66:16,307:14,347:12,337:12,64:12	+0x4:226,+0x3:90,+0x5:30,+0x2:26,+0x6:12	exact:384
67	0x249468-0x24972b	67	0x249468-0x24972b	intra_block	374	187	28:22,347:16,340:16,337:14,189:12,43:12,18:12,333:12	28:22,347:16,340:16,337:14,189:12,43:12,18:12,333:12	+0x4:226,+0x3:88,+0x5:26,+0x2:24,+0x6:10	exact:374
2	0xd0d51-0xd0eab	2	0xd0d51-0xd0eab	intra_block	360	90	18:32,189:20,64:20,347:16,28:16,268:16,196:12,33:12	18:32,189:20,64:20,347:16,28:16,268:16,196:12,33:12	+0x4:228,+0x3:80,+0x5:24,+0x2:16,+0x6:12	exact:360
75	0x24a8d3-0x24ab6a	75	0x24a8d3-0x24ab6a	intra_block	348	174	28:18,340:18,18:18,64:14,258:14,347:14,189:12,243:10	28:18,340:18,18:18,64:14,258:14,347:14,189:12,243:10	+0x4:208,+0x3:84,+0x5:22,+0x2:20,+0x6:14	exact:348
76	0x24ab78-0x24ae0f	76	0x24ab78-0x24ae0f	intra_block	348	174	18:28,64:20,258:18,114:14,340:12,28:12,215:12,185:10	18:28,64:20,258:18,114:14,340:12,28:12,215:12,123:12	+0x4:208,+0x3:84,+0x5:22,+0x2:20,+0x6:14	exact:348
79	0x24b3a9-0x24b640	79	0x24b3a9-0x24b640	intra_block	348	174	337:16,18:16,199:14,347:14,297:14,340:14,189:14,66:12	337:16,18:16,199:14,347:14,297:14,340:14,189:14,66:12	+0x4:208,+0x3:84,+0x5:22,+0x2:20,+0x6:14	exact:348
154	0x3355e0-0x335853	154	0x3355e0-0x335853	intra_block	324	162	307:18,168:14,220:12,28:12,108:10,173:10,258:10,256:8	307:18,168:14,220:12,28:12,256:10,108:10,173:10,258:10	+0x4:134,+0x5:70,+0x3:52,+0x2:50,+0x6:18	exact:324
199	0x340b20-0x340d92	199	0x340b20-0x340d92	intra_block	324	162	168:16,297:12,160:12,183:10,340:10,185:10,108:10,189:8	168:16,297:12,160:12,340:10,185:10,108:10,189:8,301:8	+0x4:132,+0x5:70,+0x3:54,+0x2:50,+0x6:18	exact:324
209	0x3423d2-0x342644	209	0x3423d2-0x342644	intra_block	324	162	347:12,157:10,18:10,160:10,337:10,257:10,268:8,114:8	347:12,18:10,160:10,337:10,144:10,257:10,268:8,114:8	+0x4:132,+0x5:70,+0x3:54,+0x2:50,+0x6:18	exact:324
215	0x343132-0x3433a5	215	0x343132-0x3433a5	intra_block	324	162	108:14,18:14,189:10,154:10,203:10,28:10,114:10,3:10	108:14,18:14,154:10,203:10,28:10,114:10,3:10,352:8	+0x4:134,+0x5:70,+0x3:52,+0x2:50,+0x6:18	exact:324
72	0x24a02d-0x24a292	72	0x24a02d-0x24a292	intra_block	322	161	189:18,28:16,18:16,337:14,340:12,307:12,123:12,168:10	189:18,28:16,18:16,337:14,340:12,307:12,123:12,168:10	+0x4:196,+0x3:80,+0x5:18,+0x2:16,+0x6:12	exact:322
197	0x3406dc-0x34094b	197	0x3406dc-0x34094b	intra_block	322	161	28:12,297:10,64:10,160:10,198:10,340:10,91:8,257:8	160:12,28:12,64:10,198:10,340:10,91:8,257:8,66:8	+0x4:132,+0x5:70,+0x3:52,+0x2:50,+0x6:18	exact:322
207	0x341f8e-0x3421fd	207	0x341f8e-0x3421fd	intra_block	322	161	144:12,114:12,333:12,28:10,185:10,199:10,352:10,64:10	144:14,114:12,333:12,28:10,185:10,199:10,352:10,64:10	+0x4:132,+0x5:70,+0x3:52,+0x2:50,+0x6:18	exact:322
95	0x31aed4-0x31b31b	95	0x31aed4-0x31b31b	intra_block	320	285	337:15,168:14,43:13,307:12,258:10,28:9,124:9,215:8	337:15,168:14,43:13,307:12,258:10,28:9,124:9,215:8	+0x4:154,+0x3:58,+0x2:43,+0x5:43,+0x6:22	exact:320
190	0x33f278-0x33f6e0	190	0x33f278-0x33f6e0	intra_block	320	295	347:20,185:13,28:12,189:11,196:11,18:10,337:10,157:9	347:20,185:13,28:12,189:11,196:11,18:10,337:10,157:9	+0x4:189,+0x3:71,+0x2:24,+0x5:19,+0x6:16,+0xa:1	exact:320
180	0x33db28-0x33dcbd	180	0x33db28-0x33dcbd	intra_block	312	104	307:15,43:15,315:15,333:12,64:12,26:12,189:12,66:12	307:15,43:15,315:15,333:12,64:12,26:12,189:12,66:12	+0x4:189,+0x3:66,+0x5:24,+0x2:18,+0x6:15	exact:312
94	0x31aa27-0x31aec3	94	0x31aa27-0x31aec3	intra_block	306	306	66:11,28:10,258:9,340:9,157:9,337:9,199:9,307:8	66:11,28:10,258:9,340:9,157:9,337:9,199:9,307:8	+0x4:155,+0x3:62,+0x5:40,+0x2:31,+0x6:18	exact:306
